tier,layer,component,perturbation,mean_delta,std_delta
tier_1,0,attn_out,code_switching,-0.146875,0.5421499999999999
tier_1,0,attn_out,standard_translation,-0.202675,0.250675
tier_1,0,attn_out,transliteration,0.0032750000000000105,0.18955
tier_1,0,mlp_out,code_switching,-0.40215,0.8207249999999999
tier_1,0,mlp_out,standard_translation,-0.406675,0.5738749999999999
tier_1,0,mlp_out,transliteration,-0.2363,0.564925
tier_1,0,residual,code_switching,-0.6652750000000001,1.02905
tier_1,0,residual,standard_translation,-0.382625,0.616425
tier_1,0,residual,transliteration,-0.173875,0.587375
tier_1,1,attn_out,code_switching,-0.17135,0.477
tier_1,1,attn_out,standard_translation,-0.042375,0.13115
tier_1,1,attn_out,transliteration,-0.005675000000000001,0.2536
tier_1,1,mlp_out,code_switching,-0.3761,0.443075
tier_1,1,mlp_out,standard_translation,-0.030625000000000003,0.126925
tier_1,1,mlp_out,transliteration,-0.15245,0.23
tier_1,1,residual,code_switching,-0.851175,1.219825
tier_1,1,residual,standard_translation,-0.35797500000000004,0.5709
tier_1,1,residual,transliteration,-0.158725,0.66415
tier_1,2,attn_out,code_switching,-0.13067499999999999,0.337925
tier_1,2,attn_out,standard_translation,0.0008249999999999993,0.158725
tier_1,2,attn_out,transliteration,0.014299999999999998,0.0952
tier_1,2,mlp_out,code_switching,-0.16125,0.450275
tier_1,2,mlp_out,standard_translation,-0.0157,0.113025
tier_1,2,mlp_out,transliteration,-0.092775,0.248525
tier_1,2,residual,code_switching,-0.9169,1.2856
tier_1,2,residual,standard_translation,-0.34605,0.56045
tier_1,2,residual,transliteration,-0.17875000000000002,0.560925
tier_1,3,attn_out,code_switching,-0.261675,0.36172499999999996
tier_1,3,attn_out,standard_translation,-0.0049250000000000006,0.06484999999999999
tier_1,3,attn_out,transliteration,0.006925000000000001,0.1653
tier_1,3,mlp_out,code_switching,-0.06382499999999999,0.4579
tier_1,3,mlp_out,standard_translation,0.034574999999999995,0.1182
tier_1,3,mlp_out,transliteration,-0.015199999999999998,0.230775
tier_1,3,residual,code_switching,-0.9482250000000001,1.1767750000000001
tier_1,3,residual,standard_translation,-0.35375,0.5549999999999999
tier_1,3,residual,transliteration,-0.18485000000000001,0.528325
tier_1,4,attn_out,code_switching,-0.024075,0.1328
tier_1,4,attn_out,standard_translation,0.028825000000000003,0.083625
tier_1,4,attn_out,transliteration,-0.0298,0.08825
tier_1,4,mlp_out,code_switching,-0.57125,0.7494749999999999
tier_1,4,mlp_out,standard_translation,0.05,0.21875
tier_1,4,mlp_out,transliteration,-0.010549999999999997,0.33194999999999997
tier_1,4,residual,code_switching,-0.919775,1.1470250000000002
tier_1,4,residual,standard_translation,-0.345675,0.51915
tier_1,4,residual,transliteration,-0.17352499999999998,0.5231250000000001
tier_1,5,attn_out,code_switching,-0.530275,0.63025
tier_1,5,attn_out,standard_translation,-0.177675,0.146725
tier_1,5,attn_out,transliteration,0.007025,0.14855000000000002
tier_1,5,mlp_out,code_switching,-0.07982500000000001,0.63605
tier_1,5,mlp_out,standard_translation,0.002975,0.15865
tier_1,5,mlp_out,transliteration,-0.053,0.22875
tier_1,5,residual,code_switching,-1.142425,1.3933499999999999
tier_1,5,residual,standard_translation,-0.3425,0.468125
tier_1,5,residual,transliteration,-0.1336,0.49485
tier_1,6,attn_out,code_switching,-0.094525,0.19937500000000002
tier_1,6,attn_out,standard_translation,-0.04645,0.08297500000000001
tier_1,6,attn_out,transliteration,0.006700000000000002,0.11147499999999999
tier_1,6,mlp_out,code_switching,-0.5439,0.7329
tier_1,6,mlp_out,standard_translation,-0.0542,0.1367
tier_1,6,mlp_out,transliteration,-0.0587,0.1857
