layer,component,language,tier,perturbation,mean_restoration,std_restoration,n_pairs_used,n_pairs_skipped
0,residual,de,tier_1,standard_translation,0.0212,0.0502,20,0
0,attn_out,de,tier_1,standard_translation,0.0384,0.0342,20,0
0,mlp_out,de,tier_1,standard_translation,0.0268,0.0443,20,0
1,residual,de,tier_1,standard_translation,0.0198,0.0425,20,0
1,attn_out,de,tier_1,standard_translation,0.004,0.0129,20,0
1,mlp_out,de,tier_1,standard_translation,-0.0003,0.0154,20,0
2,residual,de,tier_1,standard_translation,0.0229,0.0506,20,0
2,attn_out,de,tier_1,standard_translation,0.0081,0.0056,20,0
2,mlp_out,de,tier_1,standard_translation,0.0014,0.0075,20,0
3,residual,de,tier_1,standard_translation,0.0222,0.0484,20,0
3,attn_out,de,tier_1,standard_translation,-0.004,0.013,20,0
3,mlp_out,de,tier_1,standard_translation,-0.0002,0.0159,20,0
4,residual,de,tier_1,standard_translation,0.0244,0.0432,20,0
4,attn_out,de,tier_1,standard_translation,0.0034,0.0056,20,0
4,mlp_out,de,tier_1,standard_translation,0.0043,0.0158,20,0
5,residual,de,tier_1,standard_translation,0.0195,0.0416,20,0
5,attn_out,de,tier_1,standard_translation,0.0111,0.0155,20,0
5,mlp_out,de,tier_1,standard_translation,0.0119,0.0121,20,0
6,residual,de,tier_1,standard_translation,0.0154,0.0449,20,0
6,attn_out,de,tier_1,standard_translation,-0.0035,0.0025,20,0
6,mlp_out,de,tier_1,standard_translation,0.0085,0.0158,20,0
7,residual,de,tier_1,standard_translation,-0.0068,0.046,20,0
7,attn_out,de,tier_1,standard_translation,0.0164,0.0079,20,0
7,mlp_out,de,tier_1,standard_translation,-0.0032,0.0226,20,0
8,residual,de,tier_1,standard_translation,-0.0044,0.0413,20,0
8,attn_out,de,tier_1,standard_translation,0.0016,0.0048,20,0
8,mlp_out,de,tier_1,standard_translation,0.006,0.0287,20,0
9,residual,de,tier_1,standard_translation,-0.0115,0.0378,20,0
9,attn_out,de,tier_1,standard_translation,0.0029,0.0046,20,0
9,mlp_out,de,tier_1,standard_translation,-0.0057,0.0164,20,0
10,residual,de,tier_1,standard_translation,-0.0143,0.038,20,0
10,attn_out,de,tier_1,standard_translation,-0.0056,0.0091,20,0
10,mlp_out,de,tier_1,standard_translation,0.0139,0.0157,20,0
11,residual,de,tier_1,standard_translation,-0.0172,0.0303,20,0
11,attn_out,de,tier_1,standard_translation,0.0002,0.0052,20,0
11,mlp_out,de,tier_1,standard_translation,-0.005,0.0062,20,0
12,residual,de,tier_1,standard_translation,-0.0247,0.0336,20,0
12,attn_out,de,tier_1,standard_translation,0.0009,0.0062,20,0
12,mlp_out,de,tier_1,standard_translation,-0.0045,0.0207,20,0
