layer,language,effective_rank,top_sv
0,en,108,20.001998901367188
1,en,112,38.50357437133789
2,en,113,46.18014907836914
3,en,130,52.611083984375
4,en,136,52.406585693359375
5,en,151,62.32703399658203
6,en,156,65.81969451904297
7,en,154,80.75472259521484
8,en,149,92.61381530761719
9,en,152,113.09355163574219
10,en,154,121.30440521240234
11,en,156,126.33296966552734
12,en,158,129.23338317871094
13,en,156,139.07977294921875
14,en,157,161.74087524414062
15,en,154,181.88975524902344
16,en,144,213.9440155029297
17,en,144,247.39137268066406
18,en,137,267.4283752441406
19,en,133,290.8507385253906
20,en,130,310.30029296875
21,en,128,343.4297790527344
22,en,129,365.93060302734375
23,en,130,399.7351989746094
24,en,132,435.0245361328125
25,en,134,483.20135498046875
26,en,137,518.242919921875
27,en,140,572.3515014648438
28,en,145,652.046875
29,en,144,741.1615600585938
30,en,144,917.6123046875
31,en,130,1157.7064208984375
0,de,79,22.423879623413086
1,de,82,36.96169662475586
2,de,83,46.269744873046875
3,de,112,50.500511169433594
4,de,124,51.01776123046875
5,de,142,63.135162353515625
6,de,145,66.99642181396484
7,de,138,82.09453582763672
8,de,132,92.2845230102539
9,de,144,106.78152465820312
10,de,146,113.15913391113281
11,de,147,115.1635513305664
12,de,148,118.08177185058594
13,de,147,126.40097045898438
14,de,150,141.7779541015625
15,de,148,155.05393981933594
16,de,138,188.17356872558594
17,de,138,229.754638671875
18,de,129,255.97996520996094
19,de,126,279.0216369628906
20,de,123,302.0101318359375
21,de,122,328.918701171875
22,de,122,362.7564697265625
23,de,122,403.8577575683594
24,de,122,449.28997802734375
25,de,121,510.7843322753906
26,de,121,570.557373046875
27,de,122,635.99853515625
28,de,122,739.628173828125
29,de,123,827.4432983398438
30,de,123,946.8216552734375
31,de,115,1042.1282958984375
0,fr,92,21.564733505249023
1,fr,86,38.05214309692383
2,fr,85,51.92715835571289
3,fr,111,57.16633224487305
4,fr,121,60.07579040527344
5,fr,139,78.99272155761719
6,fr,143,87.04219055175781
7,fr,140,101.3218994140625
8,fr,134,109.71326446533203
9,fr,146,115.10824584960938
10,fr,149,115.57603454589844
11,fr,151,118.982177734375
12,fr,152,121.185791015625
13,fr,151,128.91929626464844
14,fr,154,139.54600524902344
15,fr,154,150.21075439453125
16,fr,143,195.0006103515625
17,fr,144,239.4676513671875
18,fr,135,275.4837646484375
19,fr,132,305.0193786621094
20,fr,129,335.2647399902344
21,fr,128,367.74237060546875
22,fr,129,404.60064697265625
23,fr,129,452.1249084472656
24,fr,130,501.5654602050781
25,fr,130,582.1510009765625
26,fr,131,644.9651489257812
27,fr,133,703.68603515625
28,fr,134,827.7393188476562
29,fr,132,944.7996215820312
30,fr,131,1113.6583251953125
31,fr,126,1169.48095703125
0,zh,81,20.839773178100586
1,zh,65,42.76641845703125
2,zh,64,56.548004150390625
3,zh,89,63.12882614135742
4,zh,101,65.21882629394531
