tier,layer,component,perturbation,mean_delta,std_delta
tier_1,0,attn_out,code_switching,0.026099999999999998,0.08829999999999999
tier_1,0,attn_out,standard_translation,-0.0023749999999999995,0.039175
tier_1,0,attn_out,transliteration,0.013150000000000002,0.035475
tier_1,0,mlp_out,code_switching,0.0446,0.0557
tier_1,0,mlp_out,standard_translation,0.027374999999999997,0.08209999999999999
tier_1,0,mlp_out,transliteration,0.032874999999999995,0.04455
tier_1,0,residual,code_switching,0.016475,0.10165
tier_1,0,residual,standard_translation,0.01975,0.09275
tier_1,0,residual,transliteration,0.06645,0.07725
tier_1,1,attn_out,code_switching,0.028974999999999997,0.031525000000000004
tier_1,1,attn_out,standard_translation,-0.0024749999999999998,0.030275
tier_1,1,attn_out,transliteration,0.004574999999999999,0.030825
tier_1,1,mlp_out,code_switching,0.051199999999999996,0.072175
tier_1,1,mlp_out,standard_translation,0.009750000000000002,0.038325
tier_1,1,mlp_out,transliteration,0.0042,0.038
tier_1,1,residual,code_switching,0.039375,0.13490000000000002
tier_1,1,residual,standard_translation,0.012800000000000002,0.088825
tier_1,1,residual,transliteration,0.052875000000000005,0.058175
tier_1,2,attn_out,code_switching,0.01405,0.0161
tier_1,2,attn_out,standard_translation,-0.00415,0.013175
tier_1,2,attn_out,transliteration,0.004875,0.014525
tier_1,2,mlp_out,code_switching,0.062525,0.075675
tier_1,2,mlp_out,standard_translation,0.00032499999999999977,0.055475000000000003
tier_1,2,mlp_out,transliteration,0.006849999999999999,0.033225000000000005
tier_1,2,residual,code_switching,0.050824999999999995,0.1358
tier_1,2,residual,standard_translation,0.013124999999999998,0.0832
tier_1,2,residual,transliteration,0.05115,0.056100000000000004
tier_1,3,attn_out,code_switching,0.022925,0.0317
tier_1,3,attn_out,standard_translation,0.0060999999999999995,0.0288
tier_1,3,attn_out,transliteration,-0.065275,0.06315
tier_1,3,mlp_out,code_switching,0.02335,0.057300000000000004
tier_1,3,mlp_out,standard_translation,0.0020750000000000005,0.03415
tier_1,3,mlp_out,transliteration,0.01275,0.02475
tier_1,3,residual,code_switching,0.052724999999999994,0.135225
tier_1,3,residual,standard_translation,0.00805,0.0827
tier_1,3,residual,transliteration,0.053625,0.04665
tier_1,4,attn_out,code_switching,0.0030000000000000005,0.023675
tier_1,4,attn_out,standard_translation,0.00425,0.019425
tier_1,4,attn_out,transliteration,0.0006749999999999999,0.014725
tier_1,4,mlp_out,code_switching,0.005925,0.04605
tier_1,4,mlp_out,standard_translation,-0.02,0.0342
tier_1,4,mlp_out,transliteration,0.00825,0.0235
tier_1,4,residual,code_switching,0.041425,0.118825
tier_1,4,residual,standard_translation,0.0014000000000000002,0.060524999999999995
tier_1,4,residual,transliteration,0.056424999999999996,0.054425
tier_1,5,attn_out,code_switching,0.010575000000000001,0.0201
tier_1,5,attn_out,standard_translation,-0.00665,0.0148
tier_1,5,attn_out,transliteration,0.0004750000000000001,0.009025
tier_1,5,mlp_out,code_switching,0.02145,0.042525
tier_1,5,mlp_out,standard_translation,-0.014525,0.024399999999999998
tier_1,5,mlp_out,transliteration,0.009874999999999998,0.032875
tier_1,5,residual,code_switching,0.035,0.097
tier_1,5,residual,standard_translation,0.00135,0.052125
tier_1,5,residual,transliteration,0.0553,0.0507
tier_1,6,attn_out,code_switching,0.00315,0.018449999999999998
tier_1,6,attn_out,standard_translation,-0.010225,0.01435
tier_1,6,attn_out,transliteration,0.001925,0.019575
tier_1,6,mlp_out,code_switching,0.0127,0.027424999999999998
tier_1,6,mlp_out,standard_translation,-0.025225,0.020725
tier_1,6,mlp_out,transliteration,0.00545,0.02805
tier_1,6,residual,code_switching,0.005199999999999996,0.081925
tier_1,6,residual,standard_translation,-0.000725,0.0433
tier_1,6,residual,transliteration,0.04305,0.048975
tier_1,7,attn_out,code_switching,0.007325,0.019725
tier_1,7,attn_out,standard_translation,-0.0063750000000000005,0.018325
tier_1,7,attn_out,transliteration,-0.0026999999999999997,0.014025
tier_1,7,mlp_out,code_switching,0.012175,0.028325
tier_1,7,mlp_out,standard_translation,-0.016774999999999998,0.022449999999999998
tier_1,7,mlp_out,transliteration,0.003575000000000001,0.02265
tier_1,7,residual,code_switching,-0.017625,0.076725
tier_1,7,residual,standard_translation,-0.00022500000000000037,0.041575
tier_1,7,residual,transliteration,0.047424999999999995,0.04305
tier_1,8,attn_out,code_switching,0.00012499999999999995,0.010475
tier_1,8,attn_out,standard_translation,-0.01235,0.01325
tier_1,8,attn_out,transliteration,-0.005425,0.01115
tier_1,8,mlp_out,code_switching,-0.00044999999999999977,0.017525
tier_1,8,mlp_out,standard_translation,-0.013025000000000002,0.0245
tier_1,8,mlp_out,transliteration,-0.0014500000000000001,0.013975
tier_1,8,residual,code_switching,-0.033775,0.06835
tier_1,8,residual,standard_translation,-0.00029999999999999905,0.036225
tier_1,8,residual,transliteration,0.0381,0.037275
tier_1,9,attn_out,code_switching,0.00235,0.008775
tier_1,9,attn_out,standard_translation,-0.009525,0.01455
tier_1,9,attn_out,transliteration,0.0077,0.014725
tier_1,9,mlp_out,code_switching,0.007575,0.01525
tier_1,9,mlp_out,standard_translation,-0.0057,0.027525
tier_1,9,mlp_out,transliteration,0.00745,0.0154
tier_1,9,residual,code_switching,-0.028675,0.059925
tier_1,9,residual,standard_translation,0.006599999999999999,0.035475
tier_1,9,residual,transliteration,0.048675,0.037175
tier_1,10,attn_out,code_switching,0.003725,0.005575
tier_1,10,attn_out,standard_translation,-0.0034,0.012325
tier_1,10,attn_out,transliteration,0.0009000000000000001,0.00675
tier_1,10,mlp_out,code_switching,0.0037,0.010175
tier_1,10,mlp_out,standard_translation,-0.012275,0.01505
tier_1,10,mlp_out,transliteration,0.009025,0.0161
tier_1,10,residual,code_switching,-0.03385,0.053025
tier_1,10,residual,standard_translation,0.013775,0.0226
tier_1,10,residual,transliteration,0.0466,0.03725
tier_1,11,attn_out,code_switching,0.004925,0.009575
tier_1,11,attn_out,standard_translation,-0.00215,0.0072
tier_1,11,attn_out,transliteration,-0.0008499999999999996,0.00615
tier_1,11,mlp_out,code_switching,0.003575,0.01885
tier_1,11,mlp_out,standard_translation,-0.007824999999999999,0.018325
tier_1,11,mlp_out,transliteration,0.01165,0.01485
tier_1,11,residual,code_switching,-0.028874999999999998,0.0507
tier_1,11,residual,standard_translation,0.023775,0.0297
tier_1,11,residual,transliteration,0.039175,0.03025
tier_1,12,attn_out,code_switching,0.003275,0.0052
tier_1,12,attn_out,standard_translation,0.006075,0.007875
tier_1,12,attn_out,transliteration,0.0027,0.010675
tier_1,12,mlp_out,code_switching,-0.0035499999999999998,0.007075
tier_1,12,mlp_out,standard_translation,0.00040000000000000013,0.0076
tier_1,12,mlp_out,transliteration,0.011075,0.015575
tier_1,12,residual,code_switching,-0.015975,0.043875
tier_1,12,residual,standard_translation,0.0335,0.02455
tier_1,12,residual,transliteration,0.033424999999999996,0.023875
tier_1,13,attn_out,code_switching,0.001,0.002175
tier_1,13,attn_out,standard_translation,0.003275,0.0039
tier_1,13,attn_out,transliteration,0.001275,0.007075
tier_1,13,mlp_out,code_switching,-0.003675,0.006925000000000001
tier_1,13,mlp_out,standard_translation,-0.002275,0.006274999999999999
tier_1,13,mlp_out,transliteration,0.007375,0.01315
tier_1,13,residual,code_switching,-0.0144,0.043825
tier_1,13,residual,standard_translation,0.021325,0.010925
tier_1,13,residual,transliteration,0.0229,0.022324999999999998
tier_1,14,attn_out,code_switching,0.001575,0.0026
tier_1,14,attn_out,standard_translation,0.0033,0.003325
tier_1,14,attn_out,transliteration,0.0094,0.0079
tier_1,14,mlp_out,code_switching,-0.005,0.0063
tier_1,14,mlp_out,standard_translation,-0.0024999999999999996,0.006925
tier_1,14,mlp_out,transliteration,-0.00565,0.013000000000000001
tier_1,14,residual,code_switching,-0.009875,0.03795
tier_1,14,residual,standard_translation,0.020825,0.00935
tier_1,14,residual,transliteration,0.01745,0.021125
tier_1,15,attn_out,code_switching,0.00085,0.002175
tier_1,15,attn_out,standard_translation,-0.0005499999999999999,0.0027500000000000003
tier_1,15,attn_out,transliteration,0.00275,0.00425
tier_1,15,mlp_out,code_switching,-0.0007,0.009850000000000001
tier_1,15,mlp_out,standard_translation,-0.0011500000000000002,0.006575
tier_1,15,mlp_out,transliteration,0.0057,0.007475
tier_1,15,residual,code_switching,-0.0018999999999999998,0.03225
tier_1,15,residual,standard_translation,0.013900000000000001,0.008799999999999999
tier_1,15,residual,transliteration,0.014424999999999999,0.0177
tier_1,16,attn_out,code_switching,-0.00039999999999999996,0.0021
tier_1,16,attn_out,standard_translation,0.002625,0.0026750000000000003
tier_1,16,attn_out,transliteration,0.003225,0.00425
tier_1,16,mlp_out,code_switching,0.001275,0.004325
tier_1,16,mlp_out,standard_translation,-0.001,0.00485
tier_1,16,mlp_out,transliteration,-0.000675,0.0074
tier_1,16,residual,code_switching,-0.007125000000000001,0.023899999999999998
tier_1,16,residual,standard_translation,0.016,0.0092
tier_1,16,residual,transliteration,0.016,0.0149
tier_1,17,attn_out,code_switching,-0.000625,0.00265
tier_1,17,attn_out,standard_translation,0.000375,0.001075
tier_1,17,attn_out,transliteration,0.0027,0.00275
tier_1,17,mlp_out,code_switching,0.000625,0.004
tier_1,17,mlp_out,standard_translation,0.000825,0.003775
tier_1,17,mlp_out,transliteration,0.00305,0.0068000000000000005
tier_1,17,residual,code_switching,-0.004,0.0203
tier_1,17,residual,standard_translation,0.012400000000000001,0.008225
tier_1,17,residual,transliteration,0.015,0.01185
tier_1,18,attn_out,code_switching,-2.500000000000001e-05,0.000875
tier_1,18,attn_out,standard_translation,7.500000000000001e-05,0.00105
tier_1,18,attn_out,transliteration,0.00135,0.001125
tier_1,18,mlp_out,code_switching,-0.0006999999999999999,0.003775
tier_1,18,mlp_out,standard_translation,0.000125,0.0032
tier_1,18,mlp_out,transliteration,0.001825,0.005275
tier_1,18,residual,code_switching,-0.005925,0.020775000000000002
tier_1,18,residual,standard_translation,0.009825,0.005125
tier_1,18,residual,transliteration,0.016375,0.012
tier_1,19,attn_out,code_switching,7.499999999999997e-05,0.001375
tier_1,19,attn_out,standard_translation,0.0004249999999999999,0.000925
tier_1,19,attn_out,transliteration,-0.0007,0.00225
tier_1,19,mlp_out,code_switching,-0.0013,0.0039
tier_1,19,mlp_out,standard_translation,5.000000000000002e-05,0.002325
tier_1,19,mlp_out,transliteration,0.0031999999999999997,0.0036
tier_1,19,residual,code_switching,-0.0060999999999999995,0.0204
tier_1,19,residual,standard_translation,0.009525,0.005275
tier_1,19,residual,transliteration,0.014074999999999999,0.0107
tier_1,20,attn_out,code_switching,7.499999999999998e-05,0.000825
tier_1,20,attn_out,standard_translation,-0.00075,0.001025
tier_1,20,attn_out,transliteration,-0.0016749999999999998,0.001725
tier_1,20,mlp_out,code_switching,0.00245,0.005175
tier_1,20,mlp_out,standard_translation,0.0014750000000000002,0.0027749999999999997
tier_1,20,mlp_out,transliteration,0.0063,0.0059
tier_1,20,residual,code_switching,-0.0063,0.020125
tier_1,20,residual,standard_translation,0.009075,0.0049
tier_1,20,residual,transliteration,0.014825,0.0092
tier_1,21,attn_out,code_switching,-0.00015000000000000001,0.00145
tier_1,21,attn_out,standard_translation,0.00025,0.00105
tier_1,21,attn_out,transliteration,-0.00025,0.0013
tier_1,21,mlp_out,code_switching,-0.000325,0.0033
tier_1,21,mlp_out,standard_translation,0.0015,0.00235
tier_1,21,mlp_out,transliteration,-0.0005249999999999999,0.003825
tier_1,21,residual,code_switching,-0.004625,0.019325000000000002
tier_1,21,residual,standard_translation,0.00915,0.0044
tier_1,21,residual,transliteration,0.013025,0.008075
tier_1,22,attn_out,code_switching,-0.00017500000000000003,0.0008500000000000001
tier_1,22,attn_out,standard_translation,4.9999999999999975e-05,0.000975
tier_1,22,attn_out,transliteration,-0.0005499999999999999,0.00135
tier_1,22,mlp_out,code_switching,-0.00075,0.0044
tier_1,22,mlp_out,standard_translation,0.0024,0.002175
tier_1,22,mlp_out,transliteration,0.00145,0.00395
tier_1,22,residual,code_switching,-0.0049250000000000006,0.0181
tier_1,22,residual,standard_translation,0.0076749999999999995,0.0036
tier_1,22,residual,transliteration,0.01585,0.008324999999999999
tier_1,23,attn_out,code_switching,-5e-05,0.0005
tier_1,23,attn_out,standard_translation,0.00035,0.00065
tier_1,23,attn_out,transliteration,0.000175,0.00115
tier_1,23,mlp_out,code_switching,-0.00045,0.003275
tier_1,23,mlp_out,standard_translation,0.0018,0.002025
tier_1,23,mlp_out,transliteration,0.0044,0.003375
tier_1,23,residual,code_switching,-0.003974999999999999,0.017375
tier_1,23,residual,standard_translation,0.0072,0.003525
tier_1,23,residual,transliteration,0.01565,0.008150000000000001
tier_1,24,attn_out,code_switching,0.00017500000000000003,0.000725
tier_1,24,attn_out,standard_translation,0.000225,0.000675
tier_1,24,attn_out,transliteration,0.0029249999999999996,0.002325
tier_1,24,mlp_out,code_switching,-0.0005,0.00195
tier_1,24,mlp_out,standard_translation,-0.00035,0.0017499999999999998
tier_1,24,mlp_out,transliteration,0.003,0.0039
tier_1,24,residual,code_switching,-0.005549999999999999,0.0075250000000000004
