layer,component,language,tier,perturbation,mean_delta,std_delta,n_pairs_used,n_pairs_skipped
0,residual,de,tier_1,standard_translation,0.0805,0.0545,20,0
0,attn_out,de,tier_1,standard_translation,0.0174,0.0196,20,0
0,mlp_out,de,tier_1,standard_translation,0.072,0.0372,20,0
1,residual,de,tier_1,standard_translation,0.0519,0.0514,20,0
1,attn_out,de,tier_1,standard_translation,-0.0074,0.0157,20,0
1,mlp_out,de,tier_1,standard_translation,0.0094,0.0259,20,0
2,residual,de,tier_1,standard_translation,0.0443,0.0539,20,0
2,attn_out,de,tier_1,standard_translation,-0.0067,0.0141,20,0
2,mlp_out,de,tier_1,standard_translation,0.0034,0.0301,20,0
3,residual,de,tier_1,standard_translation,0.0244,0.0569,20,0
3,attn_out,de,tier_1,standard_translation,0.0431,0.0594,20,0
3,mlp_out,de,tier_1,standard_translation,0.0019,0.0246,20,0
4,residual,de,tier_1,standard_translation,0.0137,0.0499,20,0
4,attn_out,de,tier_1,standard_translation,0.0052,0.0274,20,0
4,mlp_out,de,tier_1,standard_translation,-0.0075,0.017,20,0
5,residual,de,tier_1,standard_translation,0.0062,0.048,20,0
5,attn_out,de,tier_1,standard_translation,-0.006,0.0175,20,0
5,mlp_out,de,tier_1,standard_translation,-0.0199,0.0201,20,0
6,residual,de,tier_1,standard_translation,0.0005,0.0375,20,0
6,attn_out,de,tier_1,standard_translation,-0.0,0.0182,20,0
6,mlp_out,de,tier_1,standard_translation,-0.0351,0.0209,20,0
7,residual,de,tier_1,standard_translation,-0.0023,0.038,20,0
7,attn_out,de,tier_1,standard_translation,0.0042,0.0198,20,0
7,mlp_out,de,tier_1,standard_translation,-0.0199,0.0116,20,0
8,residual,de,tier_1,standard_translation,-0.0086,0.0387,20,0
8,attn_out,de,tier_1,standard_translation,-0.0165,0.0143,20,0
8,mlp_out,de,tier_1,standard_translation,-0.0124,0.029,20,0
9,residual,de,tier_1,standard_translation,0.0,0.0333,20,0
9,attn_out,de,tier_1,standard_translation,0.0022,0.0075,20,0
9,mlp_out,de,tier_1,standard_translation,-0.0088,0.0425,20,0
10,residual,de,tier_1,standard_translation,0.0177,0.0115,20,0
10,attn_out,de,tier_1,standard_translation,-0.0035,0.0142,20,0
10,mlp_out,de,tier_1,standard_translation,-0.0162,0.0162,20,0
11,residual,de,tier_1,standard_translation,0.0357,0.0162,20,0
11,attn_out,de,tier_1,standard_translation,-0.0043,0.0068,20,0
11,mlp_out,de,tier_1,standard_translation,-0.0121,0.0162,20,0
12,residual,de,tier_1,standard_translation,0.0404,0.0152,20,0
12,attn_out,de,tier_1,standard_translation,0.0103,0.0048,20,0
12,mlp_out,de,tier_1,standard_translation,0.0056,0.0083,20,0
13,residual,de,tier_1,standard_translation,0.0304,0.0106,20,0
13,attn_out,de,tier_1,standard_translation,0.0021,0.0016,20,0
13,mlp_out,de,tier_1,standard_translation,0.0045,0.0036,20,0
14,residual,de,tier_1,standard_translation,0.0303,0.0091,20,0
14,attn_out,de,tier_1,standard_translation,0.0056,0.0043,20,0
14,mlp_out,de,tier_1,standard_translation,-0.0013,0.005,20,0
15,residual,de,tier_1,standard_translation,0.0239,0.006,20,0
15,attn_out,de,tier_1,standard_translation,-0.0017,0.0054,20,0
15,mlp_out,de,tier_1,standard_translation,0.0033,0.0102,20,0
16,residual,de,tier_1,standard_translation,0.0283,0.0069,20,0
16,attn_out,de,tier_1,standard_translation,0.0032,0.0022,20,0
16,mlp_out,de,tier_1,standard_translation,0.0005,0.0034,20,0
17,residual,de,tier_1,standard_translation,0.0188,0.0103,20,0
17,attn_out,de,tier_1,standard_translation,0.0001,0.002,20,0
17,mlp_out,de,tier_1,standard_translation,0.0014,0.0018,20,0
18,residual,de,tier_1,standard_translation,0.0152,0.0091,20,0
18,attn_out,de,tier_1,standard_translation,0.0008,0.0012,20,0
18,mlp_out,de,tier_1,standard_translation,0.0011,0.0061,20,0
19,residual,de,tier_1,standard_translation,0.0147,0.0096,20,0
19,attn_out,de,tier_1,standard_translation,0.0002,0.0007,20,0
19,mlp_out,de,tier_1,standard_translation,0.0023,0.0042,20,0
20,residual,de,tier_1,standard_translation,0.0147,0.0096,20,0
20,attn_out,de,tier_1,standard_translation,-0.0009,0.002,20,0
20,mlp_out,de,tier_1,standard_translation,0.0016,0.0033,20,0
21,residual,de,tier_1,standard_translation,0.0155,0.0086,20,0
21,attn_out,de,tier_1,standard_translation,0.0006,0.0019,20,0
21,mlp_out,de,tier_1,standard_translation,0.002,0.0038,20,0
22,residual,de,tier_1,standard_translation,0.0122,0.0087,20,0
22,attn_out,de,tier_1,standard_translation,0.0006,0.0015,20,0
22,mlp_out,de,tier_1,standard_translation,0.0038,0.0056,20,0
23,residual,de,tier_1,standard_translation,0.0109,0.0083,20,0
23,attn_out,de,tier_1,standard_translation,0.0006,0.0007,20,0
23,mlp_out,de,tier_1,standard_translation,0.0043,0.0031,20,0
24,residual,de,tier_1,standard_translation,0.0126,0.0098,20,0
24,attn_out,de,tier_1,standard_translation,-0.0003,0.0013,20,0
24,mlp_out,de,tier_1,standard_translation,-0.0019,0.0033,20,0
25,residual,de,tier_1,standard_translation,0.0124,0.0103,20,0
25,attn_out,de,tier_1,standard_translation,0.0006,0.0008,20,0
25,mlp_out,de,tier_1,standard_translation,0.0029,0.0026,20,0
26,residual,de,tier_1,standard_translation,0.0102,0.0099,20,0
26,attn_out,de,tier_1,standard_translation,-0.0002,0.0008,20,0
26,mlp_out,de,tier_1,standard_translation,-0.0012,0.0027,20,0
27,residual,de,tier_1,standard_translation,0.0107,0.009,20,0
27,attn_out,de,tier_1,standard_translation,0.0005,0.0002,20,0
27,mlp_out,de,tier_1,standard_translation,-0.0017,0.0017,20,0
28,residual,de,tier_1,standard_translation,0.009,0.0065,20,0
28,attn_out,de,tier_1,standard_translation,-0.0004,0.001,20,0
28,mlp_out,de,tier_1,standard_translation,-0.0025,0.0047,20,0
29,residual,de,tier_1,standard_translation,0.005,0.0045,20,0
29,attn_out,de,tier_1,standard_translation,-0.0006,0.0009,20,0
29,mlp_out,de,tier_1,standard_translation,-0.002,0.0034,20,0
30,residual,de,tier_1,standard_translation,0.0024,0.001,20,0
30,attn_out,de,tier_1,standard_translation,-0.0002,0.0007,20,0
30,mlp_out,de,tier_1,standard_translation,-0.0016,0.0007,20,0
31,residual,de,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,de,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,de,tier_1,standard_translation,0.0,0.0,20,0
0,residual,fr,tier_1,standard_translation,0.0292,0.0847,20,0
0,attn_out,fr,tier_1,standard_translation,0.0028,0.0316,20,0
0,mlp_out,fr,tier_1,standard_translation,0.0446,0.1032,20,0
1,residual,fr,tier_1,standard_translation,0.0426,0.0517,20,0
1,attn_out,fr,tier_1,standard_translation,-0.0156,0.0432,20,0
1,mlp_out,fr,tier_1,standard_translation,-0.0016,0.0518,20,0
2,residual,fr,tier_1,standard_translation,0.0331,0.0501,20,0
2,attn_out,fr,tier_1,standard_translation,-0.006,0.0207,20,0
2,mlp_out,fr,tier_1,standard_translation,0.028,0.0488,20,0
3,residual,fr,tier_1,standard_translation,0.0236,0.0587,20,0
3,attn_out,fr,tier_1,standard_translation,-0.0014,0.0259,20,0
3,mlp_out,fr,tier_1,standard_translation,0.0076,0.0232,20,0
4,residual,fr,tier_1,standard_translation,0.0016,0.0285,20,0
4,attn_out,fr,tier_1,standard_translation,0.0045,0.017,20,0
4,mlp_out,fr,tier_1,standard_translation,-0.0051,0.0104,20,0
5,residual,fr,tier_1,standard_translation,-0.001,0.0231,20,0
5,attn_out,fr,tier_1,standard_translation,-0.0056,0.0073,20,0
5,mlp_out,fr,tier_1,standard_translation,-0.0062,0.0242,20,0
6,residual,fr,tier_1,standard_translation,-0.0003,0.0277,20,0
6,attn_out,fr,tier_1,standard_translation,0.0023,0.0119,20,0
6,mlp_out,fr,tier_1,standard_translation,-0.0098,0.0183,20,0
7,residual,fr,tier_1,standard_translation,0.0014,0.0287,20,0
7,attn_out,fr,tier_1,standard_translation,-0.0054,0.0074,20,0
7,mlp_out,fr,tier_1,standard_translation,-0.0036,0.0104,20,0
8,residual,fr,tier_1,standard_translation,0.0068,0.0312,20,0
