tier,layer,component,perturbation,mean_restoration,std_restoration
tier_1,0,attn_out,code_switching,-0.05744999999999999,0.851025
tier_1,0,attn_out,standard_translation,0.10187500000000001,0.39365
tier_1,0,attn_out,transliteration,0.0008000000000000004,0.055325
tier_1,0,mlp_out,code_switching,-0.143025,0.706225
tier_1,0,mlp_out,standard_translation,0.6884,1.572275
tier_1,0,mlp_out,transliteration,0.058725,0.101475
tier_1,0,residual,code_switching,-0.013875000000000012,1.0027
tier_1,0,residual,standard_translation,0.961475,2.225625
tier_1,0,residual,transliteration,0.09555,0.150825
tier_1,1,attn_out,code_switching,-0.067775,0.555875
tier_1,1,attn_out,standard_translation,-0.018,0.20265
tier_1,1,attn_out,transliteration,0.0020749999999999987,0.040125
tier_1,1,mlp_out,code_switching,-0.07952500000000001,0.637625
tier_1,1,mlp_out,standard_translation,0.12032500000000002,0.416875
tier_1,1,mlp_out,transliteration,0.0056250000000000015,0.065475
tier_1,1,residual,code_switching,-0.009300000000000003,1.244575
tier_1,1,residual,standard_translation,0.7733249999999999,1.6571
tier_1,1,residual,transliteration,0.051949999999999996,0.08335
tier_1,2,attn_out,code_switching,0.0046,0.27615
tier_1,2,attn_out,standard_translation,-0.030600000000000002,0.131825
tier_1,2,attn_out,transliteration,-0.0009000000000000006,0.0309
tier_1,2,mlp_out,code_switching,-0.17267500000000002,0.88445
tier_1,2,mlp_out,standard_translation,0.2607,0.6079749999999999
tier_1,2,mlp_out,transliteration,0.019225,0.061375
tier_1,2,residual,code_switching,-0.05964999999999998,1.269625
tier_1,2,residual,standard_translation,0.64925,1.4580250000000001
tier_1,2,residual,transliteration,0.048725000000000004,0.08460000000000001
tier_1,3,attn_out,code_switching,-0.145075,0.368325
tier_1,3,attn_out,standard_translation,0.191,0.638525
tier_1,3,attn_out,transliteration,0.06885,0.109125
tier_1,3,mlp_out,code_switching,-0.10795000000000002,0.741525
tier_1,3,mlp_out,standard_translation,0.170025,0.441575
tier_1,3,mlp_out,transliteration,0.010075,0.0523
tier_1,3,residual,code_switching,-0.14379999999999998,1.263175
tier_1,3,residual,standard_translation,0.52485,1.191375
tier_1,3,residual,transliteration,0.0392,0.070925
tier_1,4,attn_out,code_switching,-0.05855,0.2141
tier_1,4,attn_out,standard_translation,-0.127975,0.30425
