layer,component,language,tier,perturbation,mean_restoration,std_restoration,n_pairs_used,n_pairs_skipped
0,residual,de,tier_1,standard_translation,3.1686,7.2156,20,0
0,attn_out,de,tier_1,standard_translation,0.327,0.7963,20,0
0,mlp_out,de,tier_1,standard_translation,2.0394,4.9322,20,0
1,residual,de,tier_1,standard_translation,2.2051,4.8501,20,0
1,attn_out,de,tier_1,standard_translation,0.0939,0.1393,20,0
1,mlp_out,de,tier_1,standard_translation,0.6096,1.3117,20,0
2,residual,de,tier_1,standard_translation,1.9215,4.224,20,0
2,attn_out,de,tier_1,standard_translation,0.0122,0.1139,20,0
2,mlp_out,de,tier_1,standard_translation,0.8274,1.6094,20,0
3,residual,de,tier_1,standard_translation,1.6211,3.3113,20,0
3,attn_out,de,tier_1,standard_translation,0.6915,2.3169,20,0
3,mlp_out,de,tier_1,standard_translation,0.6672,1.1629,20,0
4,residual,de,tier_1,standard_translation,1.24,2.4307,20,0
4,attn_out,de,tier_1,standard_translation,-0.5633,0.997,20,0
4,mlp_out,de,tier_1,standard_translation,-0.2515,0.6328,20,0
5,residual,de,tier_1,standard_translation,1.0695,2.0099,20,0
5,attn_out,de,tier_1,standard_translation,-0.6141,1.2697,20,0
5,mlp_out,de,tier_1,standard_translation,-0.9785,2.1087,20,0
6,residual,de,tier_1,standard_translation,0.7699,1.428,20,0
6,attn_out,de,tier_1,standard_translation,-0.5704,1.0293,20,0
6,mlp_out,de,tier_1,standard_translation,-0.3977,1.386,20,0
7,residual,de,tier_1,standard_translation,1.1176,2.0334,20,0
7,attn_out,de,tier_1,standard_translation,-0.5302,0.8922,20,0
7,mlp_out,de,tier_1,standard_translation,-0.1278,0.5428,20,0
8,residual,de,tier_1,standard_translation,1.0205,1.782,20,0
8,attn_out,de,tier_1,standard_translation,-0.6605,1.517,20,0
8,mlp_out,de,tier_1,standard_translation,0.4178,0.6403,20,0
9,residual,de,tier_1,standard_translation,1.1229,2.1169,20,0
9,attn_out,de,tier_1,standard_translation,0.059,0.1566,20,0
9,mlp_out,de,tier_1,standard_translation,0.5684,0.9504,20,0
10,residual,de,tier_1,standard_translation,0.4455,1.0719,20,0
10,attn_out,de,tier_1,standard_translation,-0.143,0.3893,20,0
10,mlp_out,de,tier_1,standard_translation,-0.3615,0.9358,20,0
11,residual,de,tier_1,standard_translation,0.5295,1.528,20,0
11,attn_out,de,tier_1,standard_translation,0.0163,0.0908,20,0
11,mlp_out,de,tier_1,standard_translation,-0.0826,0.3579,20,0
12,residual,de,tier_1,standard_translation,0.7974,2.1283,20,0
12,attn_out,de,tier_1,standard_translation,0.0624,0.2882,20,0
12,mlp_out,de,tier_1,standard_translation,-0.2321,0.2935,20,0
13,residual,de,tier_1,standard_translation,0.5953,1.5981,20,0
13,attn_out,de,tier_1,standard_translation,0.0619,0.144,20,0
13,mlp_out,de,tier_1,standard_translation,0.0363,0.1551,20,0
14,residual,de,tier_1,standard_translation,0.5213,1.4873,20,0
14,attn_out,de,tier_1,standard_translation,0.1067,0.2989,20,0
14,mlp_out,de,tier_1,standard_translation,-0.0596,0.1222,20,0
15,residual,de,tier_1,standard_translation,0.3422,1.0598,20,0
15,attn_out,de,tier_1,standard_translation,-0.0474,0.1393,20,0
15,mlp_out,de,tier_1,standard_translation,-0.0758,0.1057,20,0
16,residual,de,tier_1,standard_translation,0.324,1.1122,20,0
16,attn_out,de,tier_1,standard_translation,0.0247,0.112,20,0
16,mlp_out,de,tier_1,standard_translation,0.0304,0.0868,20,0
17,residual,de,tier_1,standard_translation,0.1589,0.6408,20,0
17,attn_out,de,tier_1,standard_translation,-0.0062,0.017,20,0
17,mlp_out,de,tier_1,standard_translation,0.0284,0.0761,20,0
18,residual,de,tier_1,standard_translation,0.0766,0.4339,20,0
18,attn_out,de,tier_1,standard_translation,0.0041,0.0241,20,0
18,mlp_out,de,tier_1,standard_translation,0.0968,0.1931,20,0
19,residual,de,tier_1,standard_translation,0.1074,0.4795,20,0
19,attn_out,de,tier_1,standard_translation,-0.0061,0.0092,20,0
19,mlp_out,de,tier_1,standard_translation,0.0751,0.1771,20,0
20,residual,de,tier_1,standard_translation,0.1305,0.5251,20,0
20,attn_out,de,tier_1,standard_translation,0.0546,0.0787,20,0
20,mlp_out,de,tier_1,standard_translation,0.0831,0.1844,20,0
21,residual,de,tier_1,standard_translation,0.1728,0.6085,20,0
21,attn_out,de,tier_1,standard_translation,0.0699,0.144,20,0
21,mlp_out,de,tier_1,standard_translation,0.0917,0.2109,20,0
22,residual,de,tier_1,standard_translation,0.0022,0.2423,20,0
22,attn_out,de,tier_1,standard_translation,0.0263,0.0651,20,0
22,mlp_out,de,tier_1,standard_translation,-0.011,0.0655,20,0
23,residual,de,tier_1,standard_translation,-0.0097,0.1895,20,0
23,attn_out,de,tier_1,standard_translation,-0.006,0.0063,20,0
23,mlp_out,de,tier_1,standard_translation,0.0392,0.1574,20,0
24,residual,de,tier_1,standard_translation,-0.0487,0.1867,20,0
24,attn_out,de,tier_1,standard_translation,0.0301,0.0524,20,0
24,mlp_out,de,tier_1,standard_translation,-0.0343,0.1125,20,0
25,residual,de,tier_1,standard_translation,-0.0721,0.1517,20,0
25,attn_out,de,tier_1,standard_translation,0.0117,0.0354,20,0
25,mlp_out,de,tier_1,standard_translation,0.0157,0.0979,20,0
26,residual,de,tier_1,standard_translation,-0.1149,0.0841,20,0
26,attn_out,de,tier_1,standard_translation,0.0194,0.0339,20,0
26,mlp_out,de,tier_1,standard_translation,0.0392,0.0554,20,0
27,residual,de,tier_1,standard_translation,-0.0873,0.0992,20,0
27,attn_out,de,tier_1,standard_translation,0.01,0.0273,20,0
27,mlp_out,de,tier_1,standard_translation,-0.0333,0.0961,20,0
28,residual,de,tier_1,standard_translation,-0.0653,0.091,20,0
28,attn_out,de,tier_1,standard_translation,0.0125,0.0184,20,0
28,mlp_out,de,tier_1,standard_translation,0.076,0.0989,20,0
29,residual,de,tier_1,standard_translation,-0.0882,0.0686,20,0
29,attn_out,de,tier_1,standard_translation,0.0015,0.0117,20,0
29,mlp_out,de,tier_1,standard_translation,0.0557,0.0701,20,0
30,residual,de,tier_1,standard_translation,0.0482,0.135,20,0
30,attn_out,de,tier_1,standard_translation,0.012,0.0194,20,0
30,mlp_out,de,tier_1,standard_translation,0.0015,0.0307,20,0
31,residual,de,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,de,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,de,tier_1,standard_translation,0.0,0.0,20,0
0,residual,fr,tier_1,standard_translation,0.223,0.4584,20,0
0,attn_out,fr,tier_1,standard_translation,-0.0656,0.2488,20,0
0,mlp_out,fr,tier_1,standard_translation,0.3194,0.5995,20,0
1,residual,fr,tier_1,standard_translation,0.3444,0.4862,20,0
1,attn_out,fr,tier_1,standard_translation,-0.1808,0.3969,20,0
1,mlp_out,fr,tier_1,standard_translation,-0.0085,0.2377,20,0
2,residual,fr,tier_1,standard_translation,0.2722,0.4501,20,0
2,attn_out,fr,tier_1,standard_translation,-0.1623,0.3361,20,0
2,mlp_out,fr,tier_1,standard_translation,0.0975,0.1273,20,0
3,residual,fr,tier_1,standard_translation,0.1457,0.3627,20,0
3,attn_out,fr,tier_1,standard_translation,-0.0022,0.1516,20,0
3,mlp_out,fr,tier_1,standard_translation,0.0478,0.1429,20,0
4,residual,fr,tier_1,standard_translation,0.1432,0.4463,20,0
4,attn_out,fr,tier_1,standard_translation,-0.0163,0.0669,20,0
4,mlp_out,fr,tier_1,standard_translation,-0.021,0.0625,20,0
5,residual,fr,tier_1,standard_translation,0.0882,0.3238,20,0
5,attn_out,fr,tier_1,standard_translation,-0.0515,0.0882,20,0
5,mlp_out,fr,tier_1,standard_translation,-0.0644,0.1081,20,0
6,residual,fr,tier_1,standard_translation,0.0986,0.3697,20,0
6,attn_out,fr,tier_1,standard_translation,-0.0584,0.1441,20,0
6,mlp_out,fr,tier_1,standard_translation,0.0334,0.2183,20,0
7,residual,fr,tier_1,standard_translation,0.0787,0.324,20,0
7,attn_out,fr,tier_1,standard_translation,-0.0374,0.0357,20,0
7,mlp_out,fr,tier_1,standard_translation,-0.0178,0.0716,20,0
8,residual,fr,tier_1,standard_translation,-0.0167,0.1198,20,0
8,attn_out,fr,tier_1,standard_translation,-0.0269,0.0399,20,0
8,mlp_out,fr,tier_1,standard_translation,-0.1539,0.3135,20,0
9,residual,fr,tier_1,standard_translation,0.0618,0.1337,20,0
9,attn_out,fr,tier_1,standard_translation,-0.0515,0.0596,20,0
9,mlp_out,fr,tier_1,standard_translation,0.0159,0.1156,20,0
10,residual,fr,tier_1,standard_translation,-0.0457,0.1634,20,0
10,attn_out,fr,tier_1,standard_translation,-0.0003,0.0496,20,0
10,mlp_out,fr,tier_1,standard_translation,-0.1665,0.2095,20,0
11,residual,fr,tier_1,standard_translation,0.0378,0.1305,20,0
11,attn_out,fr,tier_1,standard_translation,-0.0541,0.1467,20,0
11,mlp_out,fr,tier_1,standard_translation,-0.1267,0.2465,20,0
12,residual,fr,tier_1,standard_translation,0.2351,0.2345,20,0
12,attn_out,fr,tier_1,standard_translation,0.0292,0.0226,20,0
12,mlp_out,fr,tier_1,standard_translation,-0.0347,0.046,20,0
13,residual,fr,tier_1,standard_translation,0.1801,0.1992,20,0
13,attn_out,fr,tier_1,standard_translation,-0.0113,0.067,20,0
13,mlp_out,fr,tier_1,standard_translation,-0.0978,0.113,20,0
14,residual,fr,tier_1,standard_translation,0.1246,0.0842,20,0
14,attn_out,fr,tier_1,standard_translation,0.0109,0.0242,20,0
14,mlp_out,fr,tier_1,standard_translation,-0.0037,0.0136,20,0
15,residual,fr,tier_1,standard_translation,0.0826,0.0819,20,0
15,attn_out,fr,tier_1,standard_translation,-0.0009,0.0103,20,0
15,mlp_out,fr,tier_1,standard_translation,-0.0544,0.0547,20,0
16,residual,fr,tier_1,standard_translation,0.0578,0.0581,20,0
16,attn_out,fr,tier_1,standard_translation,0.0123,0.0193,20,0
16,mlp_out,fr,tier_1,standard_translation,0.0005,0.0228,20,0
17,residual,fr,tier_1,standard_translation,0.0438,0.0316,20,0
17,attn_out,fr,tier_1,standard_translation,0.002,0.002,20,0
17,mlp_out,fr,tier_1,standard_translation,0.0133,0.0283,20,0
18,residual,fr,tier_1,standard_translation,0.0083,0.0148,20,0
18,attn_out,fr,tier_1,standard_translation,-0.0036,0.01,20,0
18,mlp_out,fr,tier_1,standard_translation,-0.0152,0.0186,20,0
19,residual,fr,tier_1,standard_translation,-0.0004,0.0166,20,0
19,attn_out,fr,tier_1,standard_translation,-0.0098,0.0172,20,0
