language,layer,harm_component_norm,refusal_component_norm,t_inst_harm_signal,t_post_inst_refusal_signal,failure_type
ar,10,1.452,0.045,0.2264,0.1272,mixed
ar,11,1.4852,0.0077,0.0962,0.1272,mixed
ar,12,0.7231,0.0199,0.0966,0.1272,mixed
ar,13,1.3356,0.0413,0.1364,0.1272,mixed
ar,14,0.7051,0.0219,0.1711,0.1272,mixed
ar,15,0.7111,0.0047,0.2407,0.1272,mixed
ar,16,0.7056,0.0152,0.0691,0.1272,mixed
ar,17,0.7094,0.0168,0.1809,0.1272,mixed
ar,18,0.7145,0.0184,0.1454,0.1272,mixed
ar,19,1.5676,0.0545,0.0941,0.1272,mixed
ar,20,1.6049,0.0626,0.0336,0.1272,mixed
ar,21,1.6288,0.0412,0.0718,0.1272,mixed
de,10,1.9529,0.0496,0.2978,0.2163,mixed
de,11,2.4428,0.025,0.1843,0.2163,mixed
de,12,1.2091,0.0397,0.0095,0.2163,mixed
de,13,1.9389,0.0808,-0.0163,0.2163,mixed
de,14,2.0752,0.1039,0.0171,0.2163,mixed
de,15,2.0722,0.1185,0.0745,0.2163,mixed
de,16,2.1139,0.1276,0.0755,0.2163,mixed
de,17,2.2499,0.1306,0.2811,0.2163,mixed
de,18,2.1942,0.0955,0.1992,0.2163,mixed
de,19,2.2602,0.0883,0.1528,0.2163,mixed
de,20,2.5085,0.1091,0.1275,0.2163,mixed
de,21,2.2697,0.1299,0.1464,0.2163,mixed
en,10,1.2674,0.0344,0.1267,-0.1099,downstream
en,11,1.391,0.051,0.1211,-0.1099,downstream
en,12,1.0905,0.0728,0.1839,-0.1099,downstream
en,13,0.6929,0.049,0.177,-0.1099,downstream
en,14,0.9784,0.071,0.206,-0.1099,downstream
en,15,0.9855,0.0522,0.2028,-0.1099,downstream
en,16,0.7084,0.0364,0.1562,-0.1099,downstream
en,17,0.719,0.0441,0.2035,-0.1099,downstream
en,18,0.7105,0.0404,0.181,-0.1099,downstream
en,19,0.7139,0.031,0.1115,-0.1099,downstream
en,20,0.7256,0.0284,0.0706,-0.1099,downstream
en,21,1.0186,0.0391,0.1659,-0.1099,downstream
es,10,1.8594,0.0129,0.1725,0.2115,mixed
es,11,1.987,0.0045,0.2057,0.2115,mixed
es,12,1.756,0.0368,0.0576,0.2115,mixed
es,13,1.3861,0.0311,0.0973,0.2115,mixed
es,14,1.4348,0.0357,0.0737,0.2115,mixed
es,15,1.7776,0.0533,0.0553,0.2115,mixed
es,16,1.7696,0.0598,-0.076,0.2115,mixed
es,17,1.6053,0.0412,0.0141,0.2115,mixed
es,18,1.6032,0.0457,-0.1401,0.2115,mixed
es,19,1.6283,0.0449,-0.046,0.2115,mixed
es,20,1.6523,0.0441,-0.0373,0.2115,mixed
es,21,1.6541,0.0574,0.0281,0.2115,mixed
fr,10,1.1534,0.0117,0.3706,0.2177,mixed
fr,11,1.1352,0.0142,0.3077,0.2177,mixed
fr,12,0.5571,0.0198,0.2895,0.2177,mixed
fr,13,0.9025,0.0357,0.2759,0.2177,mixed
fr,14,0.5087,0.0207,0.1895,0.2177,mixed
fr,15,1.3588,0.0471,0.0661,0.2177,mixed
fr,16,0.4915,0.0209,0.1135,0.2177,mixed
fr,17,0.4978,0.0188,0.2013,0.2177,mixed
fr,18,0.4961,0.0159,0.0519,0.2177,mixed
fr,19,0.4992,0.0168,-0.0347,0.2177,mixed
fr,20,0.9408,0.0182,-0.1984,0.2177,mixed
fr,21,1.4675,0.0454,-0.1716,0.2177,mixed
gd,10,2.9032,0.0304,0.1037,0.4624,mixed
gd,11,2.9409,0.0481,0.0651,0.4624,mixed
gd,12,2.9019,0.031,0.013,0.4624,mixed
gd,13,1.1808,0.0352,0.0215,0.4624,mixed
gd,14,2.8517,0.0581,0.0764,0.4624,mixed
gd,15,2.9381,0.0988,0.1228,0.4624,mixed
gd,16,1.1825,0.0279,0.1348,0.4624,mixed
gd,17,1.1853,0.0222,0.1617,0.4624,mixed
gd,18,3.2094,0.0331,0.2288,0.4624,mixed
gd,19,3.2608,0.0102,0.1268,0.4624,mixed
gd,20,3.2829,0.0408,0.1979,0.4624,mixed
gd,21,3.35,0.0073,0.1655,0.4624,mixed
gn,10,1.0729,0.0332,-0.1461,0.5298,mixed
gn,11,1.0879,0.0056,-0.0433,0.5298,mixed
gn,12,1.0863,0.0057,0.0318,0.5298,mixed
gn,13,1.0665,0.0193,-0.0848,0.5298,mixed
gn,14,1.0738,0.0464,-0.0467,0.5298,mixed
gn,15,1.0811,0.0347,-0.1372,0.5298,mixed
gn,16,1.0849,0.0329,-0.0999,0.5298,mixed
gn,17,2.7545,0.0233,-0.1548,0.5298,mixed
gn,18,2.8752,0.0716,-0.1235,0.5298,mixed
gn,19,2.8986,0.0221,-0.1113,0.5298,mixed
gn,20,2.9693,0.0146,-0.0925,0.5298,mixed
gn,21,2.9633,0.0152,-0.0987,0.5298,mixed
hi,10,1.5659,0.0247,0.1406,0.3201,mixed
hi,11,1.562,0.0006,0.1558,0.3201,mixed
hi,12,1.4825,0.0084,-0.0102,0.3201,mixed
hi,13,1.4585,0.0514,0.0458,0.3201,mixed
hi,14,1.4618,0.0296,-0.0264,0.3201,mixed
hi,15,0.748,0.0166,-0.0704,0.3201,mixed
hi,16,0.7532,0.002,-0.187,0.3201,mixed
hi,17,0.7623,0.0021,-0.0872,0.3201,mixed
hi,18,0.766,0.0107,-0.0954,0.3201,mixed
hi,19,0.7657,0.0059,-0.0832,0.3201,mixed
hi,20,0.7669,0.0031,-0.0597,0.3201,mixed
hi,21,0.7705,0.0094,-0.086,0.3201,mixed
id,10,2.018,0.0147,0.1723,0.1826,mixed
id,11,2.0113,0.0033,0.2331,0.1826,mixed
id,12,1.8638,0.0685,0.0354,0.1826,mixed
id,13,2.0387,0.0886,0.1229,0.1826,mixed
id,14,2.0683,0.0476,-0.0799,0.1826,mixed
id,15,1.2329,0.008,-0.0125,0.1826,mixed
id,16,1.2735,0.0334,0.0301,0.1826,mixed
id,17,1.2739,0.0289,0.1569,0.1826,mixed
id,18,1.2787,0.0167,0.112,0.1826,mixed
id,19,2.0197,0.0254,0.0522,0.1826,mixed
id,20,2.0907,0.007,-0.0036,0.1826,mixed
id,21,2.8324,0.0061,-0.0742,0.1826,mixed
ja,10,1.6233,0.0358,0.4409,0.3162,mixed
ja,11,2.6332,0.0099,0.1679,0.3162,mixed
ja,12,1.5227,0.0122,0.1578,0.3162,mixed
ja,13,2.6584,0.099,0.2166,0.3162,mixed
ja,14,2.1283,0.0298,0.1753,0.3162,mixed
ja,15,3.0224,0.032,0.0616,0.3162,mixed
ja,16,3.2156,0.021,-0.0865,0.3162,mixed
ja,17,3.3023,0.0083,-0.2064,0.3162,mixed
ja,18,3.4358,0.0268,-0.1312,0.3162,mixed
ja,19,3.4453,0.0554,-0.1736,0.3162,mixed
ja,20,3.5187,0.0468,-0.1905,0.3162,mixed
ja,21,3.4599,0.0377,-0.1952,0.3162,mixed
ko,10,2.265,0.0121,0.3705,0.1515,mixed
ko,11,2.2459,0.0058,0.1571,0.1515,mixed
ko,12,0.6415,0.0189,0.2511,0.1515,mixed
ko,13,1.0814,0.0262,0.1503,0.1515,mixed
ko,14,1.0895,0.0006,-0.0469,0.1515,mixed
ko,15,1.1385,0.0007,0.1569,0.1515,mixed
ko,16,2.0119,0.0061,0.0073,0.1515,mixed
ko,17,1.1654,0.0008,-0.0271,0.1515,mixed
ko,18,2.1303,0.0154,0.0082,0.1515,mixed
ko,19,2.1631,0.0255,0.0238,0.1515,mixed
ko,20,1.8395,0.0218,0.0373,0.1515,mixed
ko,21,2.4702,0.0214,0.0339,0.1515,mixed
ru,10,2.126,0.0214,0.1947,0.212,mixed
ru,11,2.1739,0.0456,0.1057,0.212,mixed
ru,12,2.4506,0.014,0.1274,0.212,mixed
ru,13,1.2781,0.0031,0.1834,0.212,mixed
ru,14,1.3052,0.0196,0.0965,0.212,mixed
ru,15,2.7583,0.0323,0.0284,0.212,mixed
ru,16,2.2058,0.0184,-0.0013,0.212,mixed
ru,17,3.026,0.0787,-0.0261,0.212,mixed
ru,18,2.3327,0.0463,-0.0303,0.212,mixed
ru,19,3.0571,0.0781,0.0066,0.212,mixed
ru,20,2.371,0.0396,-0.0372,0.212,mixed
ru,21,3.2112,0.0433,-0.0642,0.212,mixed
sw,10,4.2533,0.0435,-0.2493,0.4065,mixed
sw,11,2.5347,0.0067,-0.2309,0.4065,mixed
sw,12,2.4024,0.0678,-0.0695,0.4065,mixed
sw,13,2.3503,0.0341,0.1354,0.4065,mixed
sw,14,2.4194,0.0154,-0.0629,0.4065,mixed
sw,15,2.5742,0.0534,-0.007,0.4065,mixed
sw,16,2.6864,0.0262,-0.059,0.4065,mixed
sw,17,2.7761,0.0396,0.0348,0.4065,mixed
sw,18,2.797,0.0012,-0.0242,0.4065,mixed
sw,19,2.8731,0.0182,0.0144,0.4065,mixed
sw,20,2.9335,0.0153,-0.0038,0.4065,mixed
sw,21,2.9865,0.0274,-0.0134,0.4065,mixed
tr,10,1.8413,0.0024,0.1937,0.2009,mixed
tr,11,3.0151,0.0179,0.3116,0.2009,mixed
tr,12,1.7291,0.0092,0.1306,0.2009,mixed
