layer,language,effective_rank,top_sv
0,en,79,0.9011091589927673
1,en,110,1.0318971872329712
2,en,37,5.601736545562744
3,en,71,8.38239574432373
4,en,105,10.142464637756348
5,en,105,12.843505859375
6,en,105,14.187551498413086
7,en,106,15.211050033569336
8,en,107,18.17624855041504
9,en,110,19.506986618041992
10,en,108,24.97757339477539
11,en,105,26.251976013183594
12,en,103,34.613101959228516
13,en,111,29.993846893310547
14,en,110,29.147300720214844
15,en,99,28.60165023803711
16,en,96,32.26812744140625
17,en,94,33.32008743286133
18,en,93,36.22210693359375
19,en,95,39.284088134765625
20,en,96,44.201416015625
21,en,101,46.41574478149414
22,en,101,52.54902648925781
23,en,104,56.616363525390625
24,en,108,62.59755325317383
25,en,112,69.27465057373047
26,en,117,76.48502349853516
27,en,122,84.24956512451172
28,en,128,92.33899688720703
29,en,133,102.96208953857422
30,en,135,125.31338500976562
31,en,134,143.85702514648438
0,de,58,1.7359063625335693
1,de,88,1.8309087753295898
2,de,15,7.629640579223633
3,de,53,10.992733001708984
4,de,91,13.815828323364258
5,de,95,17.277263641357422
6,de,99,19.0419921875
7,de,98,21.11733055114746
8,de,95,27.07944107055664
9,de,104,28.8742618560791
10,de,111,31.81155776977539
11,de,104,34.83029556274414
12,de,104,38.706031799316406
13,de,112,35.24964141845703
14,de,109,36.01651382446289
15,de,84,44.0643424987793
16,de,77,48.71860122680664
17,de,74,51.38328552246094
18,de,72,57.787010192871094
19,de,74,61.20270919799805
20,de,77,65.88090515136719
21,de,83,68.41388702392578
22,de,80,80.65526580810547
23,de,82,87.32548522949219
24,de,87,95.45464324951172
25,de,92,102.8870620727539
26,de,98,111.48303985595703
27,de,104,123.54859161376953
28,de,111,135.15377807617188
29,de,115,153.83367919921875
30,de,118,189.6378631591797
31,de,113,234.81642150878906
0,fr,59,1.5476572513580322
1,fr,86,1.6746858358383179
2,fr,16,7.637773513793945
3,fr,61,10.657668113708496
4,fr,100,13.250551223754883
5,fr,103,16.812414169311523
6,fr,106,18.739850997924805
7,fr,105,20.95110511779785
8,fr,103,27.150800704956055
9,fr,110,28.50579261779785
10,fr,115,31.224838256835938
11,fr,108,34.70497512817383
12,fr,109,37.447410583496094
13,fr,115,34.6894645690918
14,fr,114,36.10487365722656
15,fr,92,43.40227508544922
16,fr,85,47.7198371887207
17,fr,81,50.122310638427734
18,fr,80,55.464637756347656
19,fr,82,59.31440734863281
20,fr,85,64.34378814697266
21,fr,88,67.41446685791016
22,fr,85,78.55523681640625
23,fr,87,85.22830200195312
24,fr,90,94.37716674804688
25,fr,94,104.57678985595703
26,fr,100,114.45943450927734
27,fr,106,126.8220443725586
28,fr,114,139.4857940673828
29,fr,120,155.36526489257812
30,fr,125,186.5656280517578
31,fr,124,219.3081512451172
0,zh,53,1.953615427017212
1,zh,76,2.1217570304870605
2,zh,23,6.741058349609375
3,zh,56,9.708291053771973
4,zh,94,12.174060821533203
5,zh,95,15.578907012939453
6,zh,97,17.344528198242188
7,zh,94,19.20214080810547
8,zh,94,24.745561599731445
9,zh,102,26.295467376708984
10,zh,105,29.12666130065918
11,zh,101,31.686500549316406
12,zh,105,33.10385513305664
13,zh,109,32.444854736328125
14,zh,110,33.43333435058594
15,zh,86,42.9744758605957
16,zh,78,49.29157257080078
17,zh,71,55.7873420715332
18,zh,70,63.63703918457031
19,zh,71,69.1107406616211
20,zh,73,73.5154800415039
21,zh,75,79.971923828125
22,zh,73,91.11967468261719
23,zh,75,99.14791870117188
24,zh,79,106.01920318603516
25,zh,83,115.20612335205078
26,zh,88,123.26533508300781
27,zh,93,131.81053161621094
28,zh,99,143.04586791992188
29,zh,105,154.9449005126953
30,zh,113,170.4757843017578
31,zh,116,188.3986358642578
0,es,62,1.474136471748352
1,es,92,1.5761537551879883
2,es,21,6.8827033042907715
3,es,64,9.711913108825684
4,es,97,12.251082420349121
5,es,99,15.468245506286621
6,es,102,16.712438583374023
7,es,101,18.122661590576172
8,es,99,22.567346572875977
9,es,105,23.854578018188477
10,es,109,25.748645782470703
11,es,100,29.275461196899414
12,es,102,32.591453552246094
13,es,108,29.325321197509766
14,es,108,29.170719146728516
15,es,89,32.4915657043457
16,es,83,36.23849105834961
17,es,82,36.965023040771484
18,es,81,41.332252502441406
19,es,84,44.265350341796875
20,es,86,46.600852966308594
21,es,90,49.164581298828125
22,es,88,55.62208557128906
23,es,90,62.43238067626953
24,es,94,69.32140350341797
25,es,98,76.33834838867188
26,es,103,82.21733093261719
27,es,107,93.83013916015625
28,es,114,102.58645629882812
29,es,119,114.12836456298828
30,es,121,138.43963623046875
31,es,118,168.94155883789062
0,ar,54,2.0276458263397217
1,ar,89,2.1381499767303467
2,ar,24,7.055632591247559
3,ar,57,10.065290451049805
4,ar,101,13.040287017822266
5,ar,103,16.98274803161621
6,ar,105,19.4121150970459
7,ar,105,21.662500381469727
8,ar,106,27.47862434387207
9,ar,116,28.924108505249023
10,ar,126,30.73784065246582
11,ar,119,34.1612663269043
12,ar,126,34.44401931762695
13,ar,126,34.52450942993164
14,ar,121,35.6556282043457
15,ar,95,43.898284912109375
16,ar,86,49.12741470336914
17,ar,80,51.08039855957031
18,ar,76,57.44850540161133
19,ar,75,62.98766326904297
20,ar,75,67.2289047241211
21,ar,77,71.59510803222656
22,ar,71,84.94046020507812
23,ar,70,94.49655151367188
24,ar,70,106.32725524902344
25,ar,72,117.4222412109375
26,ar,73,132.2393341064453
27,ar,78,144.83580017089844
28,ar,81,160.27952575683594
29,ar,86,174.60763549804688
30,ar,89,197.95211791992188
31,ar,92,221.30987548828125
0,ru,46,2.2996253967285156
1,ru,70,2.598755359649658
2,ru,18,7.358176231384277
3,ru,51,10.278359413146973
4,ru,86,13.226612091064453
5,ru,88,16.971532821655273
6,ru,92,18.965267181396484
7,ru,91,21.12972068786621
8,ru,87,27.46462059020996
9,ru,94,29.928346633911133
10,ru,102,31.89288330078125
11,ru,96,34.39811706542969
12,ru,102,35.62646484375
13,ru,104,34.95329284667969
14,ru,104,36.44057083129883
15,ru,82,43.448116302490234
16,ru,73,49.99327087402344
17,ru,69,55.6657829284668
18,ru,65,64.26317596435547
19,ru,63,72.75130462646484
20,ru,66,76.99678802490234
21,ru,69,80.6098861694336
22,ru,65,94.27745056152344
23,ru,64,106.4217758178711
24,ru,68,115.44989776611328
25,ru,70,130.06085205078125
26,ru,75,141.06204223632812
27,ru,81,152.17800903320312
28,ru,87,162.45587158203125
29,ru,93,173.79403686523438
30,ru,100,188.3094482421875
31,ru,105,223.5856475830078
0,ko,57,2.0127124786376953
1,ko,81,2.1189324855804443
2,ko,24,6.676908493041992
3,ko,54,9.415830612182617
4,ko,84,12.17821979522705
5,ko,84,15.81407356262207
6,ko,85,17.406156539916992
7,ko,87,18.87270164489746
8,ko,86,23.9551944732666
9,ko,97,25.522470474243164
10,ko,104,28.225831985473633
11,ko,99,30.59680938720703
12,ko,102,32.10698699951172
13,ko,109,31.338523864746094
14,ko,108,30.922672271728516
15,ko,83,38.83515548706055
16,ko,77,43.56228256225586
17,ko,74,44.25930404663086
18,ko,72,51.17532730102539
19,ko,73,55.77516174316406
20,ko,76,59.82508087158203
21,ko,81,63.60404968261719
22,ko,79,73.58518981933594
23,ko,82,81.57069396972656
24,ko,87,88.31848907470703
25,ko,91,98.2743911743164
26,ko,96,106.46363830566406
27,ko,101,116.46318054199219
28,ko,109,123.79434967041016
29,ko,114,137.31338500976562
30,ko,118,157.4139404296875
31,ko,115,199.87234497070312
0,ja,49,2.064908027648926
1,ja,65,2.3145751953125
2,ja,17,7.181236743927002
3,ja,41,10.384734153747559
4,ja,71,13.227714538574219
5,ja,75,16.596773147583008
6,ja,75,18.949922561645508
7,ja,76,21.16243553161621
8,ja,76,27.84401512145996
9,ja,89,29.542797088623047
10,ja,96,33.31169509887695
11,ja,90,36.74678039550781
12,ja,93,39.01092529296875
13,ja,96,39.080623626708984
14,ja,95,39.87562561035156
15,ja,68,46.35970687866211
16,ja,60,53.277347564697266
17,ja,56,58.054656982421875
18,ja,57,62.84648895263672
19,ja,56,69.81856536865234
20,ja,58,75.98292541503906
21,ja,58,86.08529663085938
22,ja,57,99.03407287597656
23,ja,57,111.92958068847656
24,ja,62,119.01049041748047
25,ja,66,131.62576293945312
26,ja,71,140.0813446044922
27,ja,78,148.50880432128906
28,ja,84,162.2816162109375
29,ja,91,179.65072631835938
30,ja,103,203.019775390625
31,ja,107,244.75628662109375
0,tr,58,1.8729966878890991
1,tr,88,1.8012231588363647
2,tr,21,6.9014811515808105
3,tr,54,9.884324073791504
4,tr,85,12.47895336151123
5,tr,87,15.936476707458496
6,tr,91,17.215368270874023
7,tr,90,19.24384117126465
8,tr,89,24.403963088989258
9,tr,96,27.126827239990234
10,tr,98,31.270248413085938
11,tr,92,32.642574310302734
12,tr,94,34.028343200683594
13,tr,93,36.70962142944336
14,tr,95,37.55964279174805
15,tr,67,47.617088317871094
16,tr,57,58.03396987915039
17,tr,51,65.87135314941406
18,tr,54,68.15567779541016
19,tr,51,74.71763610839844
20,tr,54,77.2987289428711
21,tr,55,85.4642562866211
22,tr,52,96.02894592285156
23,tr,48,115.68312072753906
24,tr,52,123.26382446289062
25,tr,55,134.7751007080078
26,tr,59,149.36477661132812
27,tr,66,160.01846313476562
28,tr,73,171.9892578125
29,tr,80,184.3687286376953
30,tr,88,204.383056640625
31,tr,90,243.8201141357422
0,id,48,1.7662477493286133
1,id,76,1.819259524345398
2,id,12,7.507870197296143
3,id,45,10.744016647338867
4,id,81,13.474559783935547
5,id,85,17.152437210083008
6,id,91,18.45641326904297
7,id,92,20.02806854248047
8,id,92,25.31358528137207
9,id,102,26.956241607666016
10,id,110,29.579265594482422
11,id,103,32.37742233276367
12,id,107,34.451656341552734
13,id,111,32.32210159301758
14,id,110,32.28554916381836
15,id,86,37.793128967285156
16,id,76,44.63717269897461
17,id,74,47.10911560058594
18,id,72,52.999080657958984
19,id,72,59.16318130493164
20,id,74,62.43594741821289
21,id,75,67.33853149414062
22,id,70,80.17142486572266
23,id,69,91.32445526123047
24,id,72,101.03624725341797
25,id,75,112.57489013671875
26,id,79,124.4007339477539
27,id,83,138.22720336914062
28,id,89,149.16433715820312
29,id,93,167.2410125732422
30,id,96,189.8154754638672
31,id,93,221.43536376953125
0,hi,21,2.9170174598693848
1,hi,38,3.2537403106689453
2,hi,7,8.841392517089844
3,hi,22,12.254746437072754
4,hi,46,15.833553314208984
5,hi,50,20.019786834716797
6,hi,57,22.327917098999023
7,hi,61,25.44985008239746
8,hi,58,33.996604919433594
9,hi,67,37.563053131103516
10,hi,75,41.818359375
11,hi,72,44.22519302368164
12,hi,76,46.11627960205078
13,hi,81,44.96611404418945
14,hi,80,46.222782135009766
15,hi,61,49.758968353271484
16,hi,53,55.719200134277344
17,hi,50,59.935882568359375
18,hi,49,65.04853057861328
19,hi,50,69.64909362792969
20,hi,53,75.1107177734375
21,hi,53,85.51131439208984
22,hi,52,96.20077514648438
23,hi,55,104.43547821044922
24,hi,59,113.13421630859375
25,hi,64,124.27175903320312
26,hi,69,137.96615600585938
27,hi,77,146.3717041015625
28,hi,84,161.79840087890625
29,hi,91,184.03298950195312
30,hi,97,227.07530212402344
31,hi,99,285.51409912109375
0,sw,39,1.8887557983398438
