language,layer,angle_idx,angle_rad,angle_deg
de,10,0,1.1701762179911621,67.04615857747417
de,11,0,1.2036731059851373,68.9653888863514
de,12,0,1.1450743238038863,65.6079259827593
de,13,0,1.1349557539864603,65.02817463751234
de,14,0,1.1334595299005152,64.94244731218186
de,15,0,1.1476301071501174,65.75436158184817
de,16,0,1.1920678937631906,68.30045920568021
de,17,0,1.2420528300666267,71.16438509509734
de,18,0,1.2545457442640782,71.88017635243038
de,19,0,1.2866889318923633,73.72184534362825
de,20,0,1.3352079133028107,76.50177820472058
de,21,0,1.3453692343835841,77.08397901692621
fr,10,0,1.0631390687177444,60.91338167299556
fr,11,0,1.1258872236504098,64.50858612287028
fr,12,0,1.0717355538042683,61.405923987100536
fr,13,0,1.0800526118685787,61.882456312150765
fr,14,0,1.042884211996259,59.75286386821225
fr,15,0,1.1504796377108852,65.91762765657371
fr,16,0,1.1435993436599996,65.523415845649
fr,17,0,1.2066232190364163,69.13441791327615
fr,18,0,1.213364380210798,69.52065799758567
fr,19,0,1.226455291777189,70.27071198031886
fr,20,0,1.2943674217889323,74.1617904077355
fr,21,0,1.3463826852870948,77.1420454764411
zh,10,0,1.1452128864284365,65.61586503634429
zh,11,0,1.1899207127003493,68.17743479292899
zh,12,0,1.146860893608048,65.71028889234329
zh,13,0,1.1802897344027805,67.6256203838962
zh,14,0,1.1868178155946978,67.9996518845118
zh,15,0,1.2501311893778202,71.62724098901894
zh,16,0,1.2989479540626612,74.42423557494362
zh,17,0,1.340358845682761,76.79690489064902
zh,18,0,1.3531013448959575,77.52699631601394
zh,19,0,1.367101360833622,78.329138142358
zh,20,0,1.4059179838484819,80.55316681605986
zh,21,0,1.447969428027344,82.96253708993864
es,10,0,1.0323899904330127,59.151589263363064
es,11,0,1.1018904830091767,63.133674162057574
es,12,0,1.0773459016122944,61.7273732381009
es,13,0,1.0389632706963488,59.52821048000886
es,14,0,1.0311205883013776,59.07885787871547
es,15,0,1.0709973074401513,61.36362558619575
es,16,0,1.097513786267697,62.88290791056212
es,17,0,1.1503354117219955,65.90936411611423
es,18,0,1.1685105374484728,66.95072211236102
es,19,0,1.1900273929641307,68.18354712180101
es,20,0,1.2402311665979242,71.06001146664754
es,21,0,1.2698127833953556,72.75491326031366
ar,10,0,1.1563981982104194,66.25673619398987
ar,11,0,1.216011985846022,69.67235462629907
ar,12,0,1.1701977646464161,67.04739310988286
ar,13,0,1.2153154178450731,69.63244421970083
ar,14,0,1.216616187788807,69.70697284759424
ar,15,0,1.2872015356849906,73.75121537750819
ar,16,0,1.3279940703033226,76.08845544677992
ar,17,0,1.375052719349963,78.78471742673975
ar,18,0,1.391054133725352,79.7015309366895
ar,19,0,1.430051214270655,81.9358990652671
ar,20,0,1.4782087477786168,84.69512248703315
ar,21,0,1.4803135065874518,84.81571628367237
ru,10,0,1.2125666354397622,69.47495058907668
ru,11,0,1.2580382340825218,72.08028127901962
ru,12,0,1.237711222356587,70.91562929701061
ru,13,0,1.2339660312604295,70.70104565373082
ru,14,0,1.227167340830564,70.31150938588354
ru,15,0,1.2797478226820702,73.32414908073906
ru,16,0,1.3018596059580387,74.59106093996002
ru,17,0,1.3496960100228879,77.33188499995833
ru,18,0,1.3397010095172242,76.75921365475267
ru,19,0,1.3890051939117891,79.58413533289603
ru,20,0,1.4202775886314605,81.37591156560039
ru,21,0,1.4454349684201404,82.81732325109948
ko,10,0,1.2345079881807584,70.73209749794357
ko,11,0,1.2698928189567362,72.75949896019172
ko,12,0,1.1684574447995044,66.94768012765196
ko,13,0,1.2120113406360273,69.44313454043713
ko,14,0,1.252850456462856,71.78304351636034
ko,15,0,1.2492132615254588,71.57464759718113
ko,16,0,1.2809045264781056,73.39042332639866
ko,17,0,1.3398852999884323,76.76977272095738
ko,18,0,1.3492695307689542,77.30744953865805
ko,19,0,1.3867286346378906,79.45369809469028
ko,20,0,1.4275817063918539,81.79440668633748
ko,21,0,1.4374827800214398,82.36169641796103
ja,10,0,1.2466448044294545,71.42748584571966
ja,11,0,1.3019572995317445,74.59665836941892
ja,12,0,1.238665580550678,70.97030999367577
ja,13,0,1.2552821295250203,71.922368119978
ja,14,0,1.321151592944383,75.69641037269885
ja,15,0,1.3427441420272328,76.93357230407523
ja,16,0,1.3465309694999987,77.1505415360089
ja,17,0,1.39624549777108,79.99897418642568
ja,18,0,1.4041352983930737,80.4510264632656
ja,19,0,1.4196644768420508,81.34078284769751
ja,20,0,1.4506040432565988,83.11348942321581
ja,21,0,1.4721289288925556,84.34677452465792
tr,10,0,1.2950510909451691,74.20096176497114
tr,11,0,1.353468631761892,77.54804030330257
tr,12,0,1.312109295741526,75.17832490587219
tr,13,0,1.2902206636576745,73.92419866815287
tr,14,0,1.3450883062683172,77.06788302157484
tr,15,0,1.3473817996455488,77.19929051243143
tr,16,0,1.3968175427928182,80.03174995186275
tr,17,0,1.440051634808961,82.50888095546797
tr,18,0,1.4522311752796773,83.2067172208488
tr,19,0,1.4706873831196887,84.26418003589771
tr,20,0,1.4808229587791097,84.84490574411807
tr,21,0,1.498827082022797,85.87646601981473
id,10,0,1.1704753382416744,67.06329690539543
id,11,0,1.2168820625938621,69.72220635180277
id,12,0,1.191585799413481,68.27283723411475
id,13,0,1.2124739427172133,69.46963968728306
id,14,0,1.2445990503982163,71.31027277380784
id,15,0,1.2709177542514358,72.81822342685201
id,16,0,1.295852082079567,74.24685517639952
id,17,0,1.377391250466199,78.91870538996008
id,18,0,1.387409603069756,79.49271471181781
id,19,0,1.4116209313697532,80.87992163981329
id,20,0,1.4340342946699551,82.16411276160828
id,21,0,1.4548053509443064,83.35420662215734
hi,10,0,1.2765404751040377,73.1403816010863
hi,11,0,1.2802324660512194,73.35191710036032
hi,12,0,1.2991599676629377,74.43638305943884
hi,13,0,1.3151393341113065,75.35193331622332
hi,14,0,1.3109353372576895,75.1110620394248
hi,15,0,1.3080753966030878,74.94719951025823
hi,16,0,1.3151070080375138,75.35008116862677
hi,17,0,1.3718743478668145,78.6026101550306
hi,18,0,1.3999523435619101,80.21136080554608
hi,19,0,1.4212185278526768,81.42982341175441
hi,20,0,1.4367267491119824,82.31837903766768
hi,21,0,1.4541393028521354,83.3160448775232
sw,10,0,1.3675310538960805,78.35375774132292
sw,11,0,1.3866270907256093,79.4478800570813
sw,12,0,1.361084699358941,77.98440883309982
sw,13,0,1.3804236929668545,79.09245154686374
sw,14,0,1.4135093284644165,80.98811882338227
sw,15,0,1.4457904863381177,82.83769292734085
sw,16,0,1.4730914318619914,84.4019218825754
sw,17,0,1.4750610267913462,84.51477135937779
sw,18,0,1.4784793635137763,84.71062762652761
sw,19,0,1.4788684392772058,84.73292002568296
sw,20,0,1.4941736548517397,85.60984428264165
sw,21,0,1.501376557575065,86.02254020893147
yo,10,0,1.5574681784372608,89.23635335038325
yo,11,0,1.5549602590742424,89.09266015552316
yo,12,0,1.547644148071088,88.6734778725932
yo,13,0,1.5119689199648565,86.62943786893963
yo,14,0,1.522429185286191,87.22876692443916
yo,15,0,1.5632227337284936,89.56606508154557
yo,16,0,1.5583387739155425,89.28623479695197
yo,17,0,1.563356645474093,89.57373765939565
yo,18,0,1.5577732118594356,89.2538304780843
yo,19,0,1.5572985052051609,89.22663179028758
yo,20,0,1.5485488801902703,88.72531520461226
yo,21,0,1.5409801348021963,88.29165803766652
zu,10,0,1.5367383042337777,88.04861904868655
zu,11,0,1.5181451886215946,86.98331199610966
zu,12,0,1.5663228905632516,89.74369098400584
zu,13,0,1.4900800145235598,85.37529596899239
zu,14,0,1.5130490583631646,86.69132524045271
zu,15,0,1.5498905928105642,88.80218967507454
zu,16,0,1.534349064723858,87.91172570852224
zu,17,0,1.558583853745577,89.30027683685672
zu,18,0,1.5351322364409363,87.95659814254485
zu,19,0,1.5389593214521575,88.1758739615256
zu,20,0,1.537638081646037,88.10017249691022
zu,21,0,1.5486354558271052,88.73027562321155
gd,10,0,1.4350637852178114,82.22309822504906
gd,11,0,1.45299132967099,83.25027085924935
gd,12,0,1.433196462111494,82.11610849206981
gd,13,0,1.4342328224411622,82.17548756501458
gd,14,0,1.468251275109174,84.12460132845722
gd,15,0,1.4745730708565183,84.4868135437238
gd,16,0,1.448317557392587,82.98248343329162
gd,17,0,1.4677969026459574,84.09856770398794
gd,18,0,1.485067035471985,85.08807342654966
gd,19,0,1.4953038076711824,85.67459726940052
gd,20,0,1.5230775307710769,87.26591438438948
gd,21,0,1.5156009649943896,86.83753872013334
gn,10,0,1.3964871635859906,80.01282061767265
gn,11,0,1.3987881064861027,80.14465493474967
gn,12,0,1.4003094190499539,80.23181972397856
gn,13,0,1.38642740825066,79.43643909402398
gn,14,0,1.3947437247108598,79.91292892828861
gn,15,0,1.4049746652890673,80.49911864386904
gn,16,0,1.4258098069782656,81.69288432821718
gn,17,0,1.4629251667795118,83.81943779993809
gn,18,0,1.4451626550483974,82.80172084419362
gn,19,0,1.444230973740946,82.74833943742543
gn,20,0,1.468766718758066,84.15413407411555
gn,21,0,1.4893820003000007,85.33530269994235
