language,layer,silhouette_score
en,10,0.7914927665849691
en,11,0.8060234428435352
en,12,0.821594519312031
en,13,0.8356440707397073
en,14,0.8383217271108516
en,15,0.8394849138941908
en,16,0.8482506742861601
en,17,0.8568432347427507
en,18,0.8551405112173804
en,19,0.8536346222448077
en,20,0.8538534926952334
en,21,0.8511574516584752
de,10,0.754325111860569
de,11,0.7610129192753714
de,12,0.7726644267631849
de,13,0.7886858834737579
de,14,0.7993405856939475
de,15,0.806714976914202
de,16,0.8051073045188758
de,17,0.8038513344484693
de,18,0.805750537596178
de,19,0.8085559605633289
de,20,0.8066455970265388
de,21,0.8099796646840739
fr,10,0.7099332027856892
fr,11,0.706468260538633
fr,12,0.7580676066219828
fr,13,0.8048844171175507
fr,14,0.7979531094180126
fr,15,0.8194446667231885
fr,16,0.8270843845836563
fr,17,0.8330021462696097
fr,18,0.8349132049632156
fr,19,0.8347704767805881
fr,20,0.8418892962061036
fr,21,0.8453601738392557
zh,10,0.7537848517264122
zh,11,0.7594652529591551
zh,12,0.7812666531665636
zh,13,0.7745444426852505
zh,14,0.7813811511897732
zh,15,0.7920775855192798
zh,16,0.797600960975999
zh,17,0.7935550581345566
zh,18,0.799424113659234
zh,19,0.7906445819605573
zh,20,0.7894558058131297
zh,21,0.7959530343008865
es,10,0.7542658419316095
es,11,0.7570361840513948
es,12,0.7849121344428968
es,13,0.7997331463633134
es,14,0.8088330909050655
es,15,0.8061767341115033
es,16,0.8056564808759906
es,17,0.8077839567471449
es,18,0.8095017770356514
es,19,0.8109478750876518
es,20,0.811392185587609
es,21,0.8115486242290055
ar,10,0.7008908442154489
ar,11,0.6815937789115117
ar,12,0.693757756534529
ar,13,0.7102194053295476
ar,14,0.6986792379407111
ar,15,0.6878311771194453
ar,16,0.7136361369639137
ar,17,0.7058780779029497
ar,18,0.7018725821328103
ar,19,0.712668245205216
ar,20,0.7045734164257826
ar,21,0.7242227291517912
ru,10,0.7383293793465135
ru,11,0.737904287257319
ru,12,0.7725748087604428
ru,13,0.7755271406556802
ru,14,0.7801629639296422
ru,15,0.7846230574744034
ru,16,0.7870687717717839
ru,17,0.7916176104649949
ru,18,0.792091653220676
ru,19,0.8013096295847583
ru,20,0.7975598044262551
ru,21,0.7925138247731986
ko,10,0.7276355933167521
ko,11,0.7309276188434803
ko,12,0.713067194639784
ko,13,0.7610503754034963
ko,14,0.7893958110698923
ko,15,0.7844476479111281
ko,16,0.7966504686788788
ko,17,0.7901860083715585
ko,18,0.7982112519550725
ko,19,0.7984457827456714
ko,20,0.8013864629996027
ko,21,0.8078307152040568
ja,10,0.7082570579413173
ja,11,0.7396477595219131
ja,12,0.7381652395307752
ja,13,0.7658505797739442
ja,14,0.7770540229431525
ja,15,0.7764554414612316
ja,16,0.7804535192184242
ja,17,0.778588859229874
ja,18,0.7743866509498737
ja,19,0.7759770134098535
ja,20,0.7713359354027731
ja,21,0.7667186467801557
tr,10,0.6430636400225874
tr,11,0.6676007059234325
tr,12,0.6268587993689044
tr,13,0.6425896345774867
tr,14,0.6756014062868326
tr,15,0.6424188703831404
tr,16,0.6590489640683284
tr,17,0.6590646604875963
tr,18,0.6592457988362065
tr,19,0.6533211727649136
tr,20,0.6420926170048907
tr,21,0.6508564602662403
id,10,0.7230220308825496
id,11,0.7066155430228654
id,12,0.7408104052532497
id,13,0.748214971990603
id,14,0.7597864629031429
id,15,0.7503930369325018
id,16,0.7568258493658675
id,17,0.7619064832593113
id,18,0.762311486540821
id,19,0.7745377713771884
id,20,0.7668530384538584
id,21,0.7766382964379618
hi,10,0.6586177074526541
hi,11,0.6584055965639269
hi,12,0.6789199088723071
hi,13,0.7035999069636579
hi,14,0.7155698889265474
hi,15,0.6557213121632083
hi,16,0.6538388323454185
hi,17,0.6524353888188835
hi,18,0.6476376069275197
hi,19,0.6499997635287473
hi,20,0.6303097495729855
hi,21,0.6444295079330614
sw,10,0.6897841083896635
sw,11,0.6723155505002744
sw,12,0.6643191864663532
sw,13,0.610202548562861
sw,14,0.6364036053569199
sw,15,0.5979871692785144
sw,16,0.6064242495637971
sw,17,0.6296753124828917
sw,18,0.6263931145538362
sw,19,0.5784159368574917
sw,20,0.6055338692125525
sw,21,0.5842123531396557
yo,10,0.4802593322216973
yo,11,0.6587834996878572
yo,12,0.47285142188855206
yo,13,0.6291055229465884
yo,14,0.3868417088431951
yo,15,0.6254405036497612
yo,16,0.6179396358876051
yo,17,0.5338361282649727
yo,18,0.13797472767037575
yo,19,0.4653193064180572
yo,20,0.3511205401792053
yo,21,0.46293895406915214
zu,10,0.6983058701141331
zu,11,0.6816293976320514
zu,12,0.6284492017127549
zu,13,0.5486478672691448
zu,14,0.6691084051829573
zu,15,0.6295141578439316
zu,16,0.6049135242685715
zu,17,0.538392133670877
zu,18,0.5482148088856441
zu,19,0.3235836427703469
zu,20,0.5761163951856506
zu,21,0.43073922531964026
gd,10,0.6814564388050203
gd,11,0.6917372473119213
gd,12,0.6967952952753635
gd,13,0.6195416704594611
gd,14,0.6891055967830688
gd,15,0.6626632065393612
gd,16,0.585239984296367
gd,17,0.5562335291079141
gd,18,0.6053251119816747
gd,19,0.426754449355043
gd,20,0.619906611308594
gd,21,0.5350887878504178
gn,10,0.6210270861122249
gn,11,0.6167932866707527
gn,12,0.6148400754008166
gn,13,0.6020620226048718
gn,14,0.6027467641294243
gn,15,0.5896164345219058
gn,16,0.5777818268435861
gn,17,0.6240720034493155
gn,18,0.6208793478474129
gn,19,0.6401771349441258
gn,20,0.6332842341753361
gn,21,0.6477446303369953
