tier,layer,component,perturbation,mean_delta,std_delta
tier_1,0,attn_out,code_switching,0.30435,0.608225
tier_1,0,attn_out,standard_translation,-0.752675,0.499375
tier_1,0,attn_out,transliteration,-0.70435,0.67955
tier_1,0,mlp_out,code_switching,0.383775,0.566325
tier_1,0,mlp_out,standard_translation,-0.60375,0.588675
tier_1,0,mlp_out,transliteration,-0.387775,0.605
tier_1,0,residual,code_switching,0.31105,0.611575
tier_1,0,residual,standard_translation,-0.7481,0.48945
tier_1,0,residual,transliteration,-0.6775249999999999,0.7051000000000001
tier_1,1,attn_out,code_switching,-0.077925,0.33565
tier_1,1,attn_out,standard_translation,-0.030074999999999998,0.17425000000000002
tier_1,1,attn_out,transliteration,-0.10845,0.1753
tier_1,1,mlp_out,code_switching,0.010025,0.295675
tier_1,1,mlp_out,standard_translation,0.027000000000000003,0.133275
tier_1,1,mlp_out,transliteration,-0.10515,0.27349999999999997
tier_1,1,residual,code_switching,0.427,0.707075
tier_1,1,residual,standard_translation,-0.64105,0.5116499999999999
tier_1,1,residual,transliteration,-0.501325,0.6384
tier_1,2,attn_out,code_switching,0.14047500000000002,0.2204
tier_1,2,attn_out,standard_translation,-0.036625,0.172325
tier_1,2,attn_out,transliteration,-0.088475,0.157425
tier_1,2,mlp_out,code_switching,0.117475,0.31345
tier_1,2,mlp_out,standard_translation,-0.0154,0.174225
tier_1,2,mlp_out,transliteration,-0.269875,0.5272
tier_1,2,residual,code_switching,0.5115500000000001,0.600925
tier_1,2,residual,standard_translation,-0.45682500000000004,0.43222499999999997
tier_1,2,residual,transliteration,-0.468425,0.57995
tier_1,3,attn_out,code_switching,0.11345,0.300025
tier_1,3,attn_out,standard_translation,0.047075,0.17664999999999997
tier_1,3,attn_out,transliteration,0.028099999999999997,0.21792499999999998
tier_1,3,mlp_out,code_switching,0.109325,0.2491
tier_1,3,mlp_out,standard_translation,-0.07985,0.35845
tier_1,3,mlp_out,transliteration,-0.09259999999999999,0.23854999999999998
tier_1,3,residual,code_switching,0.58625,0.608425
tier_1,3,residual,standard_translation,-0.45835000000000004,0.453225
tier_1,3,residual,transliteration,-0.315975,0.51015
tier_1,4,attn_out,code_switching,-0.0178,0.147975
tier_1,4,attn_out,standard_translation,0.0822,0.15515
tier_1,4,attn_out,transliteration,0.0172,0.13069999999999998
tier_1,4,mlp_out,code_switching,-0.0035499999999999976,0.2928
tier_1,4,mlp_out,standard_translation,-0.03135,0.2025
tier_1,4,mlp_out,transliteration,-0.172475,0.323275
tier_1,4,residual,code_switching,0.5839,0.6047
tier_1,4,residual,standard_translation,-0.431825,0.46415
tier_1,4,residual,transliteration,-0.306225,0.53415
tier_1,5,attn_out,code_switching,0.0218,0.130425
tier_1,5,attn_out,standard_translation,-0.08315,0.189075
tier_1,5,attn_out,transliteration,-0.035925,0.1653
tier_1,5,mlp_out,code_switching,0.009349999999999997,0.33765
tier_1,5,mlp_out,standard_translation,-0.068075,0.331075
tier_1,5,mlp_out,transliteration,-0.144625,0.374175
tier_1,5,residual,code_switching,0.581025,0.6269750000000001
tier_1,5,residual,standard_translation,-0.298625,0.47662499999999997
tier_1,5,residual,transliteration,-0.06665000000000001,0.53235
tier_1,6,attn_out,code_switching,0.234225,0.3321
tier_1,6,attn_out,standard_translation,-0.01695,0.267675
tier_1,6,attn_out,transliteration,-0.11255,0.1609
tier_1,6,mlp_out,code_switching,0.544875,0.49312500000000004
tier_1,6,mlp_out,standard_translation,0.017174999999999996,0.39392499999999997
tier_1,6,mlp_out,transliteration,0.13879999999999998,0.4121
tier_1,6,residual,code_switching,0.666325,0.6636
tier_1,6,residual,standard_translation,-0.31465,0.462
tier_1,6,residual,transliteration,0.38825,0.5972999999999999
tier_1,7,attn_out,code_switching,0.020699999999999996,0.24765
tier_1,7,attn_out,standard_translation,-0.009750000000000002,0.2478
tier_1,7,attn_out,transliteration,-0.1098,0.2145
tier_1,7,mlp_out,code_switching,0.156825,0.21835
tier_1,7,mlp_out,standard_translation,-0.18359999999999999,0.435425
tier_1,7,mlp_out,transliteration,-0.012149999999999998,0.3236
tier_1,7,residual,code_switching,0.714475,0.68145
tier_1,7,residual,standard_translation,-0.2823,0.455275
tier_1,7,residual,transliteration,0.44665,0.7499500000000001
tier_1,8,attn_out,code_switching,0.06925,0.182375
tier_1,8,attn_out,standard_translation,-0.031149999999999997,0.164325
tier_1,8,attn_out,transliteration,0.047225,0.13665
tier_1,8,mlp_out,code_switching,0.1684,0.272825
tier_1,8,mlp_out,standard_translation,-0.172975,0.32945
tier_1,8,mlp_out,transliteration,0.133625,0.2695
tier_1,8,residual,code_switching,0.73715,0.6957749999999999
tier_1,8,residual,standard_translation,-0.24712499999999998,0.459475
tier_1,8,residual,transliteration,0.4917,0.798675
tier_1,9,attn_out,code_switching,0.04075,0.171425
tier_1,9,attn_out,standard_translation,-0.068375,0.1927
tier_1,9,attn_out,transliteration,0.053200000000000004,0.14675
tier_1,9,mlp_out,code_switching,0.049275,0.23954999999999999
tier_1,9,mlp_out,standard_translation,-0.104025,0.40937500000000004
tier_1,9,mlp_out,transliteration,0.309,0.30205
tier_1,9,residual,code_switching,0.737025,0.721825
tier_1,9,residual,standard_translation,-0.2531,0.467775
tier_1,9,residual,transliteration,0.429175,0.812775
tier_1,10,attn_out,code_switching,-0.011375,0.0944
tier_1,10,attn_out,standard_translation,0.07455,0.2582
tier_1,10,attn_out,transliteration,-0.0727,0.1322
tier_1,10,mlp_out,code_switching,0.079275,0.1561
tier_1,10,mlp_out,standard_translation,0.184275,0.277775
tier_1,10,mlp_out,transliteration,0.27525,0.254175
tier_1,10,residual,code_switching,0.749525,0.6727
tier_1,10,residual,standard_translation,-0.242375,0.469325
tier_1,10,residual,transliteration,0.32475,0.87065
tier_1,11,attn_out,code_switching,-0.0023749999999999995,0.0872
tier_1,11,attn_out,standard_translation,0.055999999999999994,0.3221
tier_1,11,attn_out,transliteration,-0.067325,0.167
tier_1,11,mlp_out,code_switching,0.055375,0.266975
tier_1,11,mlp_out,standard_translation,0.10985,0.31155
tier_1,11,mlp_out,transliteration,0.0946,0.33055
tier_1,11,residual,code_switching,0.71355,0.596825
tier_1,11,residual,standard_translation,-0.199475,0.47662499999999997
tier_1,11,residual,transliteration,0.421725,0.86775
tier_1,12,attn_out,code_switching,-0.028875,0.07015
tier_1,12,attn_out,standard_translation,-0.03535,0.315475
tier_1,12,attn_out,transliteration,0.059275,0.143125
tier_1,12,mlp_out,code_switching,0.01305,0.151175
tier_1,12,mlp_out,standard_translation,0.09025,0.338475
tier_1,12,mlp_out,transliteration,0.231125,0.261675
tier_1,12,residual,code_switching,0.6083500000000001,0.56985
tier_1,12,residual,standard_translation,-0.229825,0.507525
tier_1,12,residual,transliteration,0.46952499999999997,0.8574499999999999
tier_1,13,attn_out,code_switching,0.029475,0.061075
tier_1,13,attn_out,standard_translation,0.006800000000000004,0.1893
tier_1,13,attn_out,transliteration,-0.007499999999999998,0.16847499999999999
tier_1,13,mlp_out,code_switching,0.06822500000000001,0.12467500000000001
tier_1,13,mlp_out,standard_translation,0.198725,0.2811
tier_1,13,mlp_out,transliteration,0.12455,0.22842500000000002
tier_1,13,residual,code_switching,0.3523,0.452625
tier_1,13,residual,standard_translation,-0.245725,0.35912499999999997
tier_1,13,residual,transliteration,0.353075,0.7944
tier_1,14,attn_out,code_switching,0.004274999999999999,0.046775
tier_1,14,attn_out,standard_translation,-0.0613,0.119825
tier_1,14,attn_out,transliteration,0.012674999999999999,0.09355
tier_1,14,mlp_out,code_switching,0.055224999999999996,0.13965
tier_1,14,mlp_out,standard_translation,-0.08697500000000001,0.27405
