layer,component,language,tier,perturbation,mean_delta,std_delta,n_pairs_used,n_pairs_skipped
0,residual,de,tier_1,standard_translation,-1.5593,0.0362,20,0
0,attn_out,de,tier_1,standard_translation,-1.5325,0.0588,20,0
0,mlp_out,de,tier_1,standard_translation,-1.021,0.5717,20,0
1,residual,de,tier_1,standard_translation,-1.5652,0.3794,20,0
1,attn_out,de,tier_1,standard_translation,-0.0472,0.2501,20,0
1,mlp_out,de,tier_1,standard_translation,-0.0331,0.1888,20,0
2,residual,de,tier_1,standard_translation,-1.4012,0.3555,20,0
2,attn_out,de,tier_1,standard_translation,-0.036,0.3545,20,0
2,mlp_out,de,tier_1,standard_translation,-0.1247,0.3972,20,0
3,residual,de,tier_1,standard_translation,-1.2679,0.4711,20,0
3,attn_out,de,tier_1,standard_translation,-0.0084,0.1541,20,0
3,mlp_out,de,tier_1,standard_translation,-0.3983,0.8286,20,0
4,residual,de,tier_1,standard_translation,-1.1653,0.5802,20,0
4,attn_out,de,tier_1,standard_translation,0.1717,0.3218,20,0
4,mlp_out,de,tier_1,standard_translation,-0.0722,0.1709,20,0
5,residual,de,tier_1,standard_translation,-0.9017,0.5346,20,0
5,attn_out,de,tier_1,standard_translation,0.0243,0.3617,20,0
5,mlp_out,de,tier_1,standard_translation,-0.0346,0.3951,20,0
6,residual,de,tier_1,standard_translation,-0.7228,0.3035,20,0
6,attn_out,de,tier_1,standard_translation,-0.1356,0.7405,20,0
6,mlp_out,de,tier_1,standard_translation,-0.3555,0.7551,20,0
7,residual,de,tier_1,standard_translation,-0.7258,0.3138,20,0
7,attn_out,de,tier_1,standard_translation,0.0773,0.4586,20,0
7,mlp_out,de,tier_1,standard_translation,-0.6496,0.5404,20,0
8,residual,de,tier_1,standard_translation,-0.8469,0.2972,20,0
8,attn_out,de,tier_1,standard_translation,-0.0775,0.2775,20,0
8,mlp_out,de,tier_1,standard_translation,-0.4589,0.7109,20,0
9,residual,de,tier_1,standard_translation,-0.8189,0.3391,20,0
9,attn_out,de,tier_1,standard_translation,-0.2722,0.3997,20,0
9,mlp_out,de,tier_1,standard_translation,-0.4001,0.7144,20,0
10,residual,de,tier_1,standard_translation,-0.8523,0.4129,20,0
10,attn_out,de,tier_1,standard_translation,0.0595,0.4502,20,0
10,mlp_out,de,tier_1,standard_translation,0.2692,0.3068,20,0
11,residual,de,tier_1,standard_translation,-0.8802,0.5397,20,0
11,attn_out,de,tier_1,standard_translation,0.1394,0.6666,20,0
11,mlp_out,de,tier_1,standard_translation,-0.1993,0.5959,20,0
12,residual,de,tier_1,standard_translation,-0.8969,0.6199,20,0
12,attn_out,de,tier_1,standard_translation,-0.1999,0.6718,20,0
12,mlp_out,de,tier_1,standard_translation,-0.443,0.5623,20,0
13,residual,de,tier_1,standard_translation,-0.7483,0.3359,20,0
13,attn_out,de,tier_1,standard_translation,-0.1493,0.2864,20,0
13,mlp_out,de,tier_1,standard_translation,-0.1634,0.4128,20,0
14,residual,de,tier_1,standard_translation,-0.7828,0.1866,20,0
