tier,layer,component,perturbation,mean_restoration,std_restoration
tier_1,0,attn_out,code_switching,0.6819749999999999,1.0115999999999998
tier_1,0,attn_out,standard_translation,0.11674999999999999,0.16605
tier_1,0,attn_out,transliteration,-0.435825,0.95495
tier_1,0,mlp_out,code_switching,0.297425,0.556225
tier_1,0,mlp_out,standard_translation,0.08585,0.160925
tier_1,0,mlp_out,transliteration,-0.213625,0.6731
tier_1,0,residual,code_switching,0.64225,0.93565
tier_1,0,residual,standard_translation,0.11610000000000001,0.16770000000000002
tier_1,0,residual,transliteration,-0.44405,0.9673999999999999
tier_1,1,attn_out,code_switching,-0.37370000000000003,0.7057499999999999
tier_1,1,attn_out,standard_translation,0.01735,0.045274999999999996
tier_1,1,attn_out,transliteration,-0.035125,0.097575
tier_1,1,mlp_out,code_switching,-0.0566,0.21875
tier_1,1,mlp_out,standard_translation,0.005075,0.023025
tier_1,1,mlp_out,transliteration,-0.035,0.161025
tier_1,1,residual,code_switching,0.5737,0.780275
tier_1,1,residual,standard_translation,0.10965000000000001,0.15825
tier_1,1,residual,transliteration,-0.3038,0.653425
tier_1,2,attn_out,code_switching,-0.088325,0.27077500000000004
tier_1,2,attn_out,standard_translation,0.01205,0.046275
tier_1,2,attn_out,transliteration,0.0009750000000000002,0.044975
tier_1,2,mlp_out,code_switching,0.066975,0.2737
tier_1,2,mlp_out,standard_translation,-0.0015250000000000007,0.033225
tier_1,2,mlp_out,transliteration,-0.11252500000000001,0.402125
tier_1,2,residual,code_switching,0.44332499999999997,0.609
tier_1,2,residual,standard_translation,0.097175,0.1321
tier_1,2,residual,transliteration,-0.316725,0.64085
tier_1,3,attn_out,code_switching,-0.204425,0.407225
tier_1,3,attn_out,standard_translation,-0.0034249999999999997,0.039
tier_1,3,attn_out,transliteration,0.07725,0.1742
tier_1,3,mlp_out,code_switching,-0.2891,0.7015
tier_1,3,mlp_out,standard_translation,0.033549999999999996,0.1227
tier_1,3,mlp_out,transliteration,-0.009550000000000003,0.151275
tier_1,3,residual,code_switching,0.5024,0.6229
tier_1,3,residual,standard_translation,0.087275,0.098675
tier_1,3,residual,transliteration,-0.243225,0.49212500000000003
tier_1,4,attn_out,code_switching,-0.27587500000000004,0.5777
tier_1,4,attn_out,standard_translation,-0.01515,0.026125
tier_1,4,attn_out,transliteration,0.040075,0.100025
tier_1,4,mlp_out,code_switching,-0.3389,0.7587250000000001
tier_1,4,mlp_out,standard_translation,0.016875,0.03845
tier_1,4,mlp_out,transliteration,-0.070525,0.16269999999999998
tier_1,4,residual,code_switching,0.567125,0.674
tier_1,4,residual,standard_translation,0.076375,0.088925
tier_1,4,residual,transliteration,-0.241775,0.48340000000000005
tier_1,5,attn_out,code_switching,0.218425,0.42217499999999997
tier_1,5,attn_out,standard_translation,0.011925,0.04035
tier_1,5,attn_out,transliteration,-0.009725,0.052975
tier_1,5,mlp_out,code_switching,-0.33217500000000005,0.737075
tier_1,5,mlp_out,standard_translation,0.03275,0.079025
tier_1,5,mlp_out,transliteration,-0.015600000000000003,0.16097499999999998
tier_1,5,residual,code_switching,0.446525,0.5787249999999999
tier_1,5,residual,standard_translation,0.045825,0.088225
tier_1,5,residual,transliteration,-0.1013,0.244925
tier_1,6,attn_out,code_switching,-0.37345000000000006,0.977625
tier_1,6,attn_out,standard_translation,0.0263,0.10352499999999999
tier_1,6,attn_out,transliteration,0.028425,0.05255
tier_1,6,mlp_out,code_switching,-0.2581,1.507375
tier_1,6,mlp_out,standard_translation,0.03415,0.124925
tier_1,6,mlp_out,transliteration,0.16525,0.28115
tier_1,6,residual,code_switching,0.25275000000000003,0.810725
tier_1,6,residual,standard_translation,0.047825,0.10815
tier_1,6,residual,transliteration,0.1953,0.455475
tier_1,7,attn_out,code_switching,-0.047725000000000004,0.22547500000000004
tier_1,7,attn_out,standard_translation,0.016425000000000002,0.056175
tier_1,7,attn_out,transliteration,0.10277499999999999,0.23135
