layer,component,language,tier,perturbation,mean_restoration,std_restoration,n_pairs_used,n_pairs_skipped
0,residual,de,tier_1,standard_translation,0.5492,0.3209,20,0
0,attn_out,de,tier_1,standard_translation,0.5404,0.3132,20,0
0,mlp_out,de,tier_1,standard_translation,0.3827,0.3511,20,0
1,residual,de,tier_1,standard_translation,0.5439,0.3323,20,0
1,attn_out,de,tier_1,standard_translation,0.0459,0.1017,20,0
1,mlp_out,de,tier_1,standard_translation,0.0206,0.0435,20,0
2,residual,de,tier_1,standard_translation,0.4938,0.3071,20,0
2,attn_out,de,tier_1,standard_translation,0.0308,0.1323,20,0
2,mlp_out,de,tier_1,standard_translation,0.0255,0.0808,20,0
3,residual,de,tier_1,standard_translation,0.4047,0.1997,20,0
3,attn_out,de,tier_1,standard_translation,0.0071,0.0812,20,0
3,mlp_out,de,tier_1,standard_translation,0.1732,0.4149,20,0
4,residual,de,tier_1,standard_translation,0.3413,0.181,20,0
4,attn_out,de,tier_1,standard_translation,-0.0514,0.0669,20,0
4,mlp_out,de,tier_1,standard_translation,0.0355,0.0703,20,0
5,residual,de,tier_1,standard_translation,0.2392,0.1538,20,0
5,attn_out,de,tier_1,standard_translation,0.0045,0.1008,20,0
5,mlp_out,de,tier_1,standard_translation,0.0633,0.1751,20,0
6,residual,de,tier_1,standard_translation,0.2268,0.174,20,0
6,attn_out,de,tier_1,standard_translation,0.121,0.3571,20,0
6,mlp_out,de,tier_1,standard_translation,0.1734,0.3715,20,0
7,residual,de,tier_1,standard_translation,0.2491,0.1819,20,0
7,attn_out,de,tier_1,standard_translation,0.0403,0.1517,20,0
7,mlp_out,de,tier_1,standard_translation,0.264,0.3084,20,0
8,residual,de,tier_1,standard_translation,0.3202,0.2397,20,0
8,attn_out,de,tier_1,standard_translation,0.0366,0.0983,20,0
8,mlp_out,de,tier_1,standard_translation,0.2111,0.373,20,0
9,residual,de,tier_1,standard_translation,0.2995,0.221,20,0
9,attn_out,de,tier_1,standard_translation,0.0967,0.2102,20,0
9,mlp_out,de,tier_1,standard_translation,0.1705,0.3452,20,0
10,residual,de,tier_1,standard_translation,0.3096,0.2646,20,0
10,attn_out,de,tier_1,standard_translation,-0.0698,0.1871,20,0
10,mlp_out,de,tier_1,standard_translation,-0.1345,0.1675,20,0
11,residual,de,tier_1,standard_translation,0.3138,0.3246,20,0
11,attn_out,de,tier_1,standard_translation,-0.089,0.1499,20,0
11,mlp_out,de,tier_1,standard_translation,0.0051,0.2092,20,0
12,residual,de,tier_1,standard_translation,0.2892,0.3577,20,0
12,attn_out,de,tier_1,standard_translation,0.04,0.1601,20,0
12,mlp_out,de,tier_1,standard_translation,0.1052,0.2713,20,0
13,residual,de,tier_1,standard_translation,0.2646,0.2212,20,0
13,attn_out,de,tier_1,standard_translation,0.0283,0.1029,20,0
13,mlp_out,de,tier_1,standard_translation,0.0445,0.0968,20,0
14,residual,de,tier_1,standard_translation,0.2685,0.1622,20,0
14,attn_out,de,tier_1,standard_translation,0.0531,0.0848,20,0
14,mlp_out,de,tier_1,standard_translation,0.1907,0.0676,20,0
15,residual,de,tier_1,standard_translation,0.3001,0.2099,20,0
15,attn_out,de,tier_1,standard_translation,0.0834,0.0689,20,0
15,mlp_out,de,tier_1,standard_translation,0.1495,0.0745,20,0
16,residual,de,tier_1,standard_translation,0.2686,0.2013,20,0
16,attn_out,de,tier_1,standard_translation,0.026,0.0672,20,0
16,mlp_out,de,tier_1,standard_translation,0.0041,0.1103,20,0
17,residual,de,tier_1,standard_translation,0.3174,0.2881,20,0
17,attn_out,de,tier_1,standard_translation,0.0522,0.049,20,0
17,mlp_out,de,tier_1,standard_translation,0.0763,0.1588,20,0
18,residual,de,tier_1,standard_translation,0.0901,0.1223,20,0
18,attn_out,de,tier_1,standard_translation,-0.0007,0.019,20,0
18,mlp_out,de,tier_1,standard_translation,0.0173,0.0326,20,0
19,residual,de,tier_1,standard_translation,0.1051,0.1789,20,0
19,attn_out,de,tier_1,standard_translation,-0.0205,0.0433,20,0
19,mlp_out,de,tier_1,standard_translation,0.0111,0.0362,20,0
20,residual,de,tier_1,standard_translation,0.0718,0.1078,20,0
20,attn_out,de,tier_1,standard_translation,0.0086,0.0055,20,0
20,mlp_out,de,tier_1,standard_translation,-0.0473,0.034,20,0
21,residual,de,tier_1,standard_translation,0.0177,0.0716,20,0
21,attn_out,de,tier_1,standard_translation,-0.0062,0.0103,20,0
21,mlp_out,de,tier_1,standard_translation,0.0212,0.0258,20,0
22,residual,de,tier_1,standard_translation,0.02,0.0671,20,0
22,attn_out,de,tier_1,standard_translation,-0.0041,0.0033,20,0
22,mlp_out,de,tier_1,standard_translation,-0.0046,0.0071,20,0
23,residual,de,tier_1,standard_translation,0.0197,0.0813,20,0
23,attn_out,de,tier_1,standard_translation,0.0034,0.008,20,0
23,mlp_out,de,tier_1,standard_translation,-0.0024,0.0046,20,0
24,residual,de,tier_1,standard_translation,0.0307,0.0927,20,0
24,attn_out,de,tier_1,standard_translation,0.0012,0.0044,20,0
24,mlp_out,de,tier_1,standard_translation,0.0134,0.0185,20,0
25,residual,de,tier_1,standard_translation,0.0311,0.0567,20,0
25,attn_out,de,tier_1,standard_translation,-0.0005,0.0034,20,0
25,mlp_out,de,tier_1,standard_translation,-0.0089,0.0042,20,0
26,residual,de,tier_1,standard_translation,0.0335,0.0587,20,0
26,attn_out,de,tier_1,standard_translation,0.0082,0.0079,20,0
26,mlp_out,de,tier_1,standard_translation,-0.0179,0.0122,20,0
27,residual,de,tier_1,standard_translation,0.0,0.0,20,0
27,attn_out,de,tier_1,standard_translation,0.0,0.0,20,0
27,mlp_out,de,tier_1,standard_translation,0.0,0.0,20,0
0,residual,fr,tier_1,standard_translation,0.0102,0.053,20,0
0,attn_out,fr,tier_1,standard_translation,0.0119,0.0549,20,0
0,mlp_out,fr,tier_1,standard_translation,0.0365,0.0658,20,0
1,residual,fr,tier_1,standard_translation,-0.0116,0.0435,20,0
1,attn_out,fr,tier_1,standard_translation,0.0193,0.0479,20,0
1,mlp_out,fr,tier_1,standard_translation,-0.0023,0.0095,20,0
2,residual,fr,tier_1,standard_translation,-0.0307,0.0548,20,0
2,attn_out,fr,tier_1,standard_translation,0.0132,0.0131,20,0
2,mlp_out,fr,tier_1,standard_translation,0.0011,0.0207,20,0
3,residual,fr,tier_1,standard_translation,-0.0203,0.0672,20,0
3,attn_out,fr,tier_1,standard_translation,-0.0049,0.03,20,0
3,mlp_out,fr,tier_1,standard_translation,-0.0077,0.0291,20,0
4,residual,fr,tier_1,standard_translation,-0.0215,0.067,20,0
4,attn_out,fr,tier_1,standard_translation,-0.0087,0.016,20,0
4,mlp_out,fr,tier_1,standard_translation,-0.0075,0.0221,20,0
5,residual,fr,tier_1,standard_translation,-0.0101,0.057,20,0
