language,perturbation,model,n_samples,asr_wildguard,asr_llamaguard,ci_lower_95,ci_upper_95,tier
ar,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.2161,0.0,0.1779,0.26,tier2
ar,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.0521,0.0,0.034,0.0791,tier2
ar,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.2734,0.0,0.2313,0.3201,tier2
ar,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.5208,0.0,0.4709,0.5703,tier2
de,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.1745,0.0,0.1398,0.2156,tier1
de,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.0286,0.0,0.0161,0.0506,tier1
de,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.0365,0.0,0.0218,0.0603,tier1
de,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.4271,0.0,0.3786,0.477,tier1
en,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.0156,0.0,0.0072,0.0337,tier1
en,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.0156,0.0,0.0072,0.0337,tier1
en,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.0156,0.0,0.0072,0.0337,tier1
en,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.5547,0.0,0.5047,0.6036,tier1
es,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.1224,0.0,0.0933,0.159,tier1
es,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.0182,0.0,0.0089,0.0371,tier1
es,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.0208,0.0,0.0106,0.0406,tier1
es,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.6771,0.0,0.6288,0.7219,tier1
fr,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.1484,0.0,0.1164,0.1875,tier1
fr,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.0286,0.0,0.0161,0.0506,tier1
fr,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.0443,0.0,0.0278,0.0697,tier1
fr,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.6406,0.0,0.5915,0.687,tier1
gd,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.7135,0.0,0.6664,0.7565,tier4
gd,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.901,0.0,0.8671,0.9271,tier4
gd,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.8906,0.0,0.8555,0.9181,tier4
gd,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.112,0.0,0.0842,0.1474,tier4
gn,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.3854,0.0,0.3381,0.435,tier4
gn,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.6849,0.0,0.6368,0.7293,tier4
gn,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.6536,0.0,0.6047,0.6995,tier4
gn,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.349,0.0,0.303,0.3979,tier4
hi,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.5286,0.0,0.4787,0.578,tier3
hi,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.3698,0.0,0.323,0.4191,tier3
hi,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.5885,0.0,0.5387,0.6366,tier3
hi,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.8333,0.0,0.7928,0.8673,tier3
id,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.2057,0.0,0.1683,0.249,tier3
id,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.0339,0.0,0.0199,0.0571,tier3
id,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.0521,0.0,0.034,0.0791,tier3
id,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.7839,0.0,0.74,0.8221,tier3
ja,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.3385,0.0,0.293,0.3873,tier2
ja,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.0677,0.0,0.0466,0.0974,tier2
ja,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.1615,0.0,0.128,0.2016,tier2
ja,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.7578,0.0,0.7125,0.798,tier2
jw,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.4115,0.0,0.3634,0.4613,tier4
jw,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.5026,0.0,0.4528,0.5523,tier4
jw,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.526,0.0,0.4761,0.5755,tier4
jw,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.5339,0.0,0.4839,0.5832,tier4
ko,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.3073,0.0,0.2632,0.3552,tier2
ko,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.0391,0.0,0.0238,0.0634,tier2
ko,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.3307,0.0,0.2856,0.3793,tier2
ko,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.3047,0.0,0.2608,0.3525,tier2
minionese,minionese,Qwen/Qwen2.5-7B-Instruct,384,0.2474,0.0,0.2069,0.2929,minionese
ru,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.0859,0.0,0.0618,0.1182,tier2
ru,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.0286,0.0,0.0161,0.0506,tier2
ru,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.1302,0.0,0.1002,0.1676,tier2
ru,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.0781,0.0,0.0553,0.1093,tier2
sw,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.7396,0.0,0.6935,0.781,tier3
sw,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.9635,0.0,0.9397,0.9782,tier3
sw,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.9635,0.0,0.9397,0.9782,tier3
sw,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.4766,0.0,0.4271,0.5265,tier3
tr,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.3854,0.0,0.3381,0.435,tier3
tr,standard_translation,Qwen/Qwen2.5-7B-Instruct,384,0.1458,0.0,0.114,0.1846,tier3
tr,translationese,Qwen/Qwen2.5-7B-Instruct,384,0.3177,0.0,0.2731,0.3659,tier3
tr,transliteration,Qwen/Qwen2.5-7B-Instruct,384,0.862,0.0,0.8239,0.8929,tier3
yo,code_switching,Qwen/Qwen2.5-7B-Instruct,384,0.8021,0.0,0.7593,0.8389,tier4
