language,layer,harm_component_norm,refusal_component_norm,t_inst_harm_signal,t_post_inst_refusal_signal,failure_type
ar,9,1.9705,0.0642,0.7471,0.1058,mixed
ar,10,0.7608,0.0354,0.4764,0.1058,mixed
ar,11,0.7418,0.0368,0.7436,0.1058,mixed
ar,12,1.7106,0.0662,1.3432,0.1058,mixed
ar,13,0.661,0.0362,2.2158,0.1058,mixed
ar,14,1.7111,0.0802,1.409,0.1058,mixed
ar,15,1.4517,0.0587,0.7477,0.1058,mixed
ar,16,1.7833,0.0401,0.1685,0.1058,mixed
ar,17,1.4145,0.0325,0.2398,0.1058,mixed
ar,18,1.5184,0.0065,0.4989,0.1058,mixed
de,9,1.312,0.0459,2.3313,0.1591,mixed
de,10,1.8528,0.0567,2.1352,0.1591,mixed
de,11,1.2601,0.0569,2.2674,0.1591,mixed
de,12,1.1417,0.0495,2.8345,0.1591,mixed
de,13,1.432,0.0474,2.6153,0.1591,mixed
de,14,1.3555,0.0628,2.8346,0.1591,mixed
de,15,1.3631,0.0581,2.7315,0.1591,mixed
de,16,1.5253,0.0449,1.7889,0.1591,mixed
de,17,1.3059,0.0423,1.2863,0.1591,mixed
de,18,1.5607,0.0257,1.2264,0.1591,mixed
en,9,0.636,0.0221,1.4849,0.387,mixed
en,10,1.0333,0.0221,0.4981,0.387,mixed
en,11,1.3487,0.0217,0.9385,0.387,mixed
en,12,1.3565,0.0369,2.0844,0.387,mixed
en,13,1.2199,0.0325,2.073,0.387,mixed
en,14,1.1886,0.0619,2.5444,0.387,mixed
en,15,1.2941,0.0498,2.0189,0.387,mixed
en,16,1.2462,0.0432,1.1128,0.387,mixed
en,17,1.1413,0.0508,1.2005,0.387,mixed
en,18,1.1113,0.0392,1.5388,0.387,mixed
es,9,1.1543,0.0445,1.5824,0.0591,mixed
es,10,2.0943,0.0727,1.8102,0.0591,mixed
es,11,1.1371,0.0221,1.7182,0.0591,mixed
es,12,1.05,0.0357,3.0111,0.0591,mixed
es,13,1.579,0.0661,3.3005,0.0591,mixed
es,14,1.3042,0.0799,3.513,0.0591,mixed
es,15,1.2784,0.0632,2.5379,0.0591,mixed
es,16,1.2681,0.0575,1.3621,0.0591,mixed
es,17,0.9412,0.044,1.1212,0.0591,mixed
es,18,1.3373,0.0501,0.8394,0.0591,mixed
fr,9,1.6896,0.043,0.8662,0.0709,mixed
fr,10,0.7243,0.0254,1.2532,0.0709,mixed
fr,11,1.6679,0.0496,1.4814,0.0709,mixed
fr,12,1.5245,0.0469,1.9272,0.0709,mixed
fr,13,1.3775,0.056,1.6754,0.0709,mixed
fr,14,1.3085,0.0731,1.4605,0.0709,mixed
fr,15,1.4427,0.0721,0.8462,0.0709,mixed
fr,16,0.9655,0.0451,0.5515,0.0709,mixed
fr,17,1.2185,0.061,0.2116,0.0709,mixed
fr,18,1.1862,0.0348,0.8896,0.0709,mixed
gd,9,3.2324,0.0845,0.3776,-2.2949,downstream
gd,10,1.2034,0.0321,1.1201,-2.2949,downstream
gd,11,1.1933,0.0348,1.8881,-2.2949,downstream
gd,12,1.194,0.0625,1.6374,-2.2949,downstream
gd,13,1.1711,0.0266,2.4289,-2.2949,downstream
gd,14,1.1746,0.0178,1.8401,-2.2949,downstream
gd,15,1.1898,0.0158,1.5879,-2.2949,downstream
gd,16,1.1917,0.0219,1.049,-2.2949,downstream
gd,17,1.196,0.0171,1.2099,-2.2949,downstream
gd,18,1.1869,0.0295,0.6399,-2.2949,downstream
gn,9,1.1021,0.0206,-0.9862,-1.5439,downstream
gn,10,1.1083,0.0118,-0.6748,-1.5439,downstream
gn,11,1.1193,0.0326,0.1432,-1.5439,downstream
gn,12,1.1309,0.0412,0.1455,-1.5439,downstream
gn,13,1.1309,0.0361,-0.0514,-1.5439,downstream
gn,14,1.1354,0.0415,0.3805,-1.5439,downstream
gn,15,1.1463,0.0416,0.2037,-1.5439,downstream
gn,16,2.5252,0.0744,-0.125,-1.5439,downstream
gn,17,1.1588,0.0247,0.0382,-1.5439,downstream
gn,18,2.5408,0.0309,0.0249,-1.5439,downstream
hi,9,2.8369,0.0188,0.4843,-1.6045,downstream
hi,10,2.875,0.0543,0.2523,-1.6045,downstream
hi,11,2.864,0.01,0.9858,-1.6045,downstream
hi,12,2.8952,0.0007,0.6638,-1.6045,downstream
hi,13,2.7625,0.0114,0.6853,-1.6045,downstream
hi,14,2.7867,0.0081,1.4305,-1.6045,downstream
hi,15,2.595,0.0245,1.0232,-1.6045,downstream
hi,16,2.6611,0.0103,1.0999,-1.6045,downstream
hi,17,2.4857,0.0296,0.216,-1.6045,downstream
hi,18,2.4524,0.03,0.5429,-1.6045,downstream
id,9,1.8466,0.0307,1.1829,0.1135,mixed
id,10,1.2529,0.0323,0.8971,0.1135,mixed
id,11,2.1078,0.0453,1.6364,0.1135,mixed
id,12,1.5894,0.0224,2.0907,0.1135,mixed
id,13,1.8095,0.0427,1.8648,0.1135,mixed
id,14,1.4466,0.063,2.5691,0.1135,mixed
id,15,1.3934,0.0449,2.4263,0.1135,mixed
id,16,1.6518,0.0296,0.6737,0.1135,mixed
id,17,1.4883,0.0375,0.6162,0.1135,mixed
id,18,1.2371,0.018,-0.0756,0.1135,mixed
ja,9,1.2891,0.0354,0.8313,0.9268,mixed
ja,10,1.2451,0.0435,1.3369,0.9268,mixed
ja,11,1.1879,0.047,1.5016,0.9268,mixed
ja,12,1.5304,0.0686,1.1722,0.9268,mixed
ja,13,1.0602,0.0677,1.4964,0.9268,mixed
ja,14,1.5945,0.1004,0.8033,0.9268,mixed
ja,15,1.022,0.0576,0.5328,0.9268,mixed
ja,16,1.5244,0.0895,0.3499,0.9268,mixed
ja,17,1.4758,0.0696,0.0426,0.9268,mixed
ja,18,1.2962,0.0304,-0.0739,0.9268,mixed
ko,9,2.0407,0.104,0.993,0.519,mixed
ko,10,2.0133,0.0602,1.1201,0.519,mixed
ko,11,1.9507,0.0527,1.4562,0.519,mixed
ko,12,1.2235,0.0502,1.4877,0.519,mixed
ko,13,1.7452,0.0867,1.4475,0.519,mixed
ko,14,1.6752,0.0901,1.9214,0.519,mixed
ko,15,1.584,0.0615,1.8311,0.519,mixed
ko,16,1.553,0.0299,0.999,0.519,mixed
ko,17,1.4843,0.0235,0.6616,0.519,mixed
ko,18,1.4347,0.0085,0.9331,0.519,mixed
ru,9,0.759,0.0244,1.0007,0.031,mixed
ru,10,0.7457,0.0241,1.5579,0.031,mixed
ru,11,0.7342,0.0348,1.5736,0.031,mixed
ru,12,1.1103,0.0523,3.0038,0.031,mixed
ru,13,1.6772,0.0882,3.1037,0.031,mixed
ru,14,1.3888,0.0998,2.139,0.031,mixed
ru,15,1.6112,0.0992,1.7187,0.031,mixed
ru,16,1.5869,0.0837,0.983,0.031,mixed
ru,17,1.4304,0.0525,1.0152,0.031,mixed
ru,18,1.3507,0.0345,1.0281,0.031,mixed
sw,9,3.125,0.0326,-0.7123,-0.5015,downstream
sw,10,3.1264,0.0455,-0.6135,-0.5015,downstream
sw,11,3.1097,0.0954,-0.7377,-0.5015,downstream
sw,12,3.1024,0.0592,-0.7719,-0.5015,downstream
sw,13,1.216,0.0175,-0.7652,-0.5015,downstream
sw,14,1.2241,0.0024,-0.0533,-0.5015,downstream
sw,15,1.2344,0.0055,-0.4967,-0.5015,downstream
sw,16,1.2338,0.0055,-0.4074,-0.5015,downstream
sw,17,1.2307,0.0097,-0.2511,-0.5015,downstream
sw,18,1.2188,0.0221,-0.5794,-0.5015,downstream
tr,9,0.9283,0.0074,0.3504,0.7119,mixed
tr,10,0.8848,0.03,-0.7337,0.7119,mixed
tr,11,2.8651,0.121,-0.824,0.7119,mixed
tr,12,1.4207,0.0414,0.1517,0.7119,mixed
tr,13,2.0542,0.0879,0.1278,0.7119,mixed
tr,14,1.2992,0.0697,0.5349,0.7119,mixed
tr,15,2.3808,0.1469,1.0134,0.7119,mixed
tr,16,1.878,0.0749,0.5544,0.7119,mixed
tr,17,1.2101,0.0432,0.2215,0.7119,mixed
tr,18,1.1927,0.0343,0.4482,0.7119,mixed
yo,9,3.6068,0.0468,-0.3309,-3.1895,downstream
yo,10,3.6579,0.0273,0.0928,-3.1895,downstream
yo,11,3.6725,0.0893,-0.4022,-3.1895,downstream
