layer,language,effective_rank,top_sv
0,en,146,9.528314590454102
1,en,96,38.95469284057617
2,en,100,46.08903503417969
3,en,108,51.559566497802734
4,en,57,100.12117004394531
5,en,67,102.29173278808594
6,en,75,123.46300506591797
7,en,141,150.9663543701172
8,en,168,156.53892517089844
9,en,179,160.71434020996094
10,en,181,166.9606475830078
11,en,187,180.50318908691406
12,en,192,186.03196716308594
13,en,191,225.06333923339844
14,en,194,232.62969970703125
15,en,196,243.623779296875
16,en,198,249.45523071289062
17,en,199,261.78973388671875
18,en,195,265.3402099609375
19,en,191,292.27008056640625
20,en,193,337.0850830078125
21,en,193,392.7776184082031
22,en,194,464.96868896484375
23,en,195,574.386474609375
24,en,201,614.4696044921875
25,en,205,703.9714965820312
26,en,207,809.9513549804688
27,en,206,1461.636962890625
0,de,143,15.98387336730957
1,de,90,43.82806396484375
2,de,91,52.74506378173828
3,de,97,60.193153381347656
4,de,37,121.03025817871094
5,de,39,138.0728302001953
6,de,39,185.16998291015625
7,de,140,201.88961791992188
8,de,183,209.8951873779297
9,de,214,197.48580932617188
10,de,220,197.46971130371094
11,de,225,214.8634033203125
12,de,229,216.596435546875
13,de,231,210.84751892089844
14,de,233,222.95547485351562
15,de,235,220.3887176513672
16,de,237,230.56761169433594
17,de,237,241.43115234375
18,de,233,251.38035583496094
19,de,228,286.46112060546875
20,de,228,350.8757629394531
21,de,228,388.5407409667969
22,de,227,496.7298583984375
23,de,228,576.4432373046875
24,de,234,626.8421020507812
25,de,235,749.3335571289062
26,de,234,1115.0908203125
27,de,234,1729.79541015625
0,fr,138,17.60687255859375
1,fr,86,46.750003814697266
2,fr,86,56.37445831298828
3,fr,93,64.61146545410156
4,fr,40,123.12397003173828
5,fr,45,134.5768280029297
6,fr,47,169.21702575683594
7,fr,139,189.1267852783203
8,fr,179,199.1254425048828
9,fr,201,186.09310913085938
10,fr,209,184.82461547851562
11,fr,215,194.6407470703125
12,fr,219,197.7135467529297
13,fr,220,203.81871032714844
14,fr,222,211.34844970703125
15,fr,224,218.15139770507812
16,fr,225,226.0724639892578
17,fr,226,235.5714569091797
18,fr,223,242.66798400878906
19,fr,217,273.4144592285156
20,fr,217,323.6218566894531
21,fr,218,374.9519958496094
22,fr,218,474.99298095703125
23,fr,219,577.532470703125
24,fr,226,615.8114624023438
25,fr,228,712.7091064453125
26,fr,228,1027.4853515625
27,fr,228,1569.3194580078125
0,zh,141,12.018345832824707
1,zh,86,43.55316162109375
2,zh,86,52.93822479248047
3,zh,99,56.08558654785156
4,zh,56,105.58367156982422
5,zh,65,110.1309814453125
6,zh,77,135.7835235595703
7,zh,171,137.81167602539062
8,zh,197,140.00927734375
9,zh,200,155.12965393066406
10,zh,203,162.46754455566406
11,zh,210,174.65982055664062
12,zh,214,178.47474670410156
13,zh,212,219.03152465820312
14,zh,215,220.79672241210938
15,zh,217,229.4773406982422
16,zh,219,234.25953674316406
17,zh,220,245.3201904296875
18,zh,217,249.83262634277344
19,zh,213,272.0853271484375
20,zh,213,318.1245422363281
21,zh,213,370.5643005371094
22,zh,212,430.4106140136719
23,zh,214,521.3482055664062
24,zh,220,564.4992065429688
25,zh,223,651.05078125
26,zh,223,750.3771362304688
27,zh,220,1539.648681640625
0,es,142,14.063176155090332
1,es,84,42.47298049926758
2,es,81,52.73149871826172
3,es,89,59.81515884399414
4,es,38,114.1015396118164
5,es,44,120.47274017333984
6,es,53,149.8506622314453
7,es,153,164.23074340820312
8,es,181,175.4680938720703
9,es,198,165.51303100585938
10,es,202,167.41488647460938
11,es,207,185.38841247558594
12,es,212,190.48460388183594
13,es,213,223.25234985351562
14,es,216,230.40036010742188
15,es,218,236.2069854736328
16,es,219,246.0382843017578
17,es,220,257.74267578125
18,es,217,262.0934753417969
19,es,213,288.5135498046875
20,es,214,330.8166809082031
21,es,215,379.9878234863281
22,es,215,461.3562316894531
23,es,216,563.6162109375
24,es,222,594.1275024414062
25,es,224,677.4746704101562
26,es,224,869.5211791992188
27,es,223,1581.6248779296875
0,ar,150,16.65900230407715
1,ar,100,44.790313720703125
2,ar,97,54.82963562011719
3,ar,103,62.14043426513672
4,ar,47,119.31165313720703
5,ar,48,132.13453674316406
6,ar,40,180.41754150390625
7,ar,117,207.35484313964844
8,ar,160,224.923828125
9,ar,200,211.2139892578125
10,ar,211,202.14981079101562
11,ar,217,212.33346557617188
12,ar,221,217.03065490722656
13,ar,224,214.12881469726562
14,ar,225,225.2221221923828
15,ar,227,223.9595489501953
16,ar,228,230.2123260498047
17,ar,229,236.9060821533203
18,ar,225,256.3346862792969
19,ar,219,296.306884765625
20,ar,217,376.9468994140625
21,ar,218,415.1896667480469
22,ar,216,577.902587890625
23,ar,218,659.8624877929688
24,ar,224,731.23681640625
25,ar,225,901.0941162109375
26,ar,221,1354.374267578125
27,ar,224,1861.8778076171875
0,ru,151,15.204200744628906
1,ru,88,44.75325393676758
2,ru,82,57.26288986206055
3,ru,85,67.43255615234375
4,ru,31,127.67240142822266
5,ru,30,147.44784545898438
6,ru,29,196.700927734375
7,ru,120,223.70364379882812
8,ru,158,246.3071746826172
9,ru,196,228.94895935058594
10,ru,201,228.78573608398438
11,ru,207,248.63795471191406
12,ru,213,248.29934692382812
13,ru,216,239.2406005859375
14,ru,219,250.05897521972656
15,ru,219,248.85804748535156
16,ru,220,263.88983154296875
17,ru,220,273.115234375
18,ru,218,285.17144775390625
19,ru,213,334.0391845703125
20,ru,212,407.51348876953125
