language,layer,angle_idx,angle_rad,angle_deg
de,9,0,0.8814316599758315,50.50231404582539
de,10,0,0.8817121856905049,50.518386985321065
de,11,0,0.8463305440248681,48.491168245635855
de,12,0,0.8553790675661039,49.00961045537344
de,13,0,0.8493640110654763,48.66497310435474
de,14,0,0.8290549063452108,47.50134711819432
de,15,0,0.8371844007073137,47.96713283471821
de,16,0,0.8452773999465856,48.43082753473107
de,17,0,0.8369245084325971,47.952242104248896
de,18,0,0.8641151931719646,49.510153581885426
fr,9,0,0.7384072417724908,42.30761851545991
fr,10,0,0.7133370777782929,40.871203926891525
fr,11,0,0.7521704107252682,43.09619000917954
fr,12,0,0.7878475171204862,45.14033763086473
fr,13,0,0.7725920633384412,44.266264514596664
fr,14,0,0.7633856417251822,43.7387754117389
fr,15,0,0.7583265834707899,43.44891272545139
fr,16,0,0.7614884645183193,43.63007516479723
fr,17,0,0.7688435757143947,44.051491994181774
fr,18,0,0.7858419494770474,45.02542706936769
zh,9,0,0.6744670276746768,38.644114106492275
zh,10,0,0.669508354155723,38.360003041872936
zh,11,0,0.6631837537081576,37.99763012912089
zh,12,0,0.6988715626951205,40.04239096414292
zh,13,0,0.6876318722337122,39.398404137670774
zh,14,0,0.7160611504310637,41.02728179298229
zh,15,0,0.7134073417850968,40.87522975793307
zh,16,0,0.7187084028387722,41.17895818324985
zh,17,0,0.7487358974036606,42.89940689116997
zh,18,0,0.8008999901705431,45.888189248841236
es,9,0,0.6497901404798883,37.23023261871047
es,10,0,0.6646695043109773,38.082757368071476
es,11,0,0.6505609888700568,37.27439897811158
es,12,0,0.6992620049679102,40.06476165851726
es,13,0,0.6862241960282185,39.31775023217499
es,14,0,0.674865929081901,38.66696947356805
es,15,0,0.6874709995724907,39.38918681314374
es,16,0,0.6968400171973081,39.92599198122946
es,17,0,0.7063685691282288,40.47193779174244
es,18,0,0.7614310522961094,43.62678568677214
ar,9,0,0.9219227236354864,52.82228110151916
ar,10,0,0.8309850693029406,47.61193730944472
ar,11,0,0.8130855550571746,46.58637068782804
ar,12,0,0.933998196482057,53.514154731252475
ar,13,0,0.8605267219333101,49.30454932500644
ar,14,0,0.9211096126838735,52.775693275715874
ar,15,0,0.9360352377398832,53.63086859801994
ar,16,0,0.9403450574803576,53.87780307961129
ar,17,0,0.9526708698142995,54.58402010541646
ar,18,0,0.9339275092949574,53.51010465376602
ru,9,0,0.7530639781829462,43.14738765321472
ru,10,0,0.7574770284401899,43.40023680773391
ru,11,0,0.754622390427296,43.23667809755747
ru,12,0,0.8494230014727842,48.668353005725244
ru,13,0,0.8341691617236107,47.79437236672871
ru,14,0,0.8320585569276249,47.67344361969865
ru,15,0,0.8562797708197112,49.06121695039884
ru,16,0,0.8820617158664661,50.538413589216105
ru,17,0,0.908378838919249,52.04627366906701
ru,18,0,0.9250410674479962,53.0009490410467
ko,9,0,1.0187477416807262,58.36994598678944
ko,10,0,1.0275091580932711,58.87193816978491
ko,11,0,1.044726512357284,59.858419903494415
