language,layer,category,cv_accuracy,cv_auc,best_C,n_harmful,n_benign
en,0,unknown,0.9557422969187674,0.993422162253331,10.0,384,384
en,0,all,0.9557422969187674,0.993422162253331,10.0,384,384
en,1,unknown,0.9622527798998387,0.9885309495699106,0.1,384,384
en,1,all,0.9622527798998387,0.9885309495699106,0.1,384,384
en,2,unknown,0.9505220269926152,0.9917355371900827,10.0,384,384
en,2,all,0.9505220269926152,0.9917355371900827,10.0,384,384
en,3,unknown,0.9518122400475342,0.995614774835554,10.0,384,384
en,3,all,0.9518122400475342,0.995614774835554,10.0,384,384
en,4,unknown,0.967447585094644,1.0,10.0,384,384
en,4,all,0.967447585094644,1.0,10.0,384,384
en,5,unknown,0.9687717511246923,0.998988024962051,10.0,384,384
en,5,all,0.9687717511246923,0.998988024962051,10.0,384,384
en,6,unknown,0.9713776419658773,0.9988193624557261,10.0,384,384
en,6,all,0.9713776419658773,0.9988193624557261,10.0,384,384
en,7,unknown,0.990909090909091,0.9979760499241018,0.1,384,384
en,7,all,0.990909090909091,0.9979760499241018,0.1,384,384
en,8,unknown,0.9935064935064937,0.9969640748861528,1.0,384,384
en,8,all,0.9935064935064937,0.9969640748861528,1.0,384,384
en,9,unknown,0.9948051948051948,0.9993253499747006,0.01,384,384
en,9,all,0.9948051948051948,0.9993253499747006,0.01,384,384
en,10,unknown,0.99219930396401,1.0,0.1,384,384
en,10,all,0.99219930396401,1.0,0.1,384,384
en,11,unknown,0.9908921144215261,1.0,1.0,384,384
en,11,all,0.9908921144215261,1.0,1.0,384,384
en,12,unknown,0.9895934131228248,0.9988193624557261,10.0,384,384
en,12,all,0.9895934131228248,0.9988193624557261,10.0,384,384
en,13,unknown,0.9882947118241237,0.9984820374430764,1.0,384,384
en,13,all,0.9882947118241237,0.9984820374430764,1.0,384,384
en,14,unknown,0.9896019013666073,0.9994940124810254,1.0,384,384
en,14,all,0.9896019013666073,0.9994940124810254,1.0,384,384
en,15,unknown,0.9870044987692047,0.9988193624557261,10.0,384,384
en,15,all,0.9870044987692047,0.9988193624557261,10.0,384,384
en,16,unknown,0.9870044987692047,0.9988193624557261,10.0,384,384
en,16,all,0.9870044987692047,0.9988193624557261,10.0,384,384
en,17,unknown,0.9883116883116884,0.9983133749367515,1.0,384,384
en,17,all,0.9883116883116884,0.9983133749367515,1.0,384,384
en,18,unknown,0.990909090909091,0.9969640748861528,1.0,384,384
en,18,all,0.990909090909091,0.9969640748861528,1.0,384,384
en,19,unknown,0.990909090909091,0.9973013998988025,1.0,384,384
en,19,all,0.990909090909091,0.9973013998988025,1.0,384,384
en,20,unknown,0.9883032000679058,0.997807387417777,1.0,384,384
en,20,all,0.9883032000679058,0.997807387417777,1.0,384,384
en,21,unknown,0.9896103896103895,0.9967954123798279,0.1,384,384
en,21,all,0.9896103896103895,0.9967954123798279,0.1,384,384
en,22,unknown,0.9922077922077921,0.9954461123292292,1.0,384,384
en,22,all,0.9922077922077921,0.9954461123292292,1.0,384,384
en,23,unknown,0.9922077922077921,0.9935908247596559,1.0,384,384
en,23,all,0.9922077922077921,0.9935908247596559,1.0,384,384
en,24,unknown,0.9935064935064937,0.9940968122786304,1.0,384,384
en,24,all,0.9935064935064937,0.9940968122786304,1.0,384,384
en,25,unknown,0.990909090909091,0.9940968122786304,0.1,384,384
en,25,all,0.990909090909091,0.9940968122786304,0.1,384,384
en,26,unknown,0.9883032000679061,0.9952774498229043,1.0,384,384
en,26,all,0.9883032000679061,0.9952774498229043,1.0,384,384
en,27,unknown,0.985697309226721,0.9949401248102546,1.0,384,384
en,27,all,0.985697309226721,0.9949401248102546,1.0,384,384
de,0,unknown,0.8541719718190306,0.931860347444763,0.01,384,384
de,0,all,0.8541719718190306,0.931860347444763,0.01,384,384
de,1,unknown,0.8385705797470504,0.912464159217406,0.1,384,384
de,1,all,0.8385705797470504,0.912464159217406,0.1,384,384
de,2,unknown,0.8503183091418386,0.9121268342047563,0.1,384,384
de,2,all,0.8503183091418386,0.9121268342047563,0.1,384,384
de,3,unknown,0.851574569221628,0.9160060718502278,0.1,384,384
de,3,all,0.851574569221628,0.9160060718502278,0.1,384,384
de,4,unknown,0.8489601901366607,0.9074042840276606,0.1,384,384
de,4,all,0.8489601901366607,0.9074042840276606,0.1,384,384
de,5,unknown,0.8711399711399711,0.9348962725586102,0.1,384,384
de,5,all,0.8711399711399711,0.9348962725586102,0.1,384,384
de,6,unknown,0.8919531448943214,0.9544611232922922,10.0,384,384
de,6,all,0.8919531448943214,0.9544611232922922,10.0,384,384
de,7,unknown,0.932289279348103,0.992410187215382,0.1,384,384
de,7,all,0.932289279348103,0.992410187215382,0.1,384,384
de,8,unknown,0.9544351073762838,0.9961207623545285,0.1,384,384
de,8,all,0.9544351073762838,0.9961207623545285,0.1,384,384
de,9,unknown,0.9778626602156015,1.0,0.1,384,384
de,9,all,0.9778626602156015,1.0,0.1,384,384
de,10,unknown,0.9713606654783126,0.9994940124810254,1.0,384,384
de,10,all,0.9713606654783126,0.9994940124810254,1.0,384,384
de,11,unknown,0.9726593667770139,0.9994940124810254,0.1,384,384
de,11,all,0.9726593667770139,0.9994940124810254,0.1,384,384
de,12,unknown,0.9687802393684747,0.9974700624051273,0.1,384,384
de,12,all,0.9687802393684747,0.9974700624051273,0.1,384,384
de,13,unknown,0.9765809354044649,0.9993253499747006,1.0,384,384
de,13,all,0.9765809354044649,0.9993253499747006,1.0,384,384
de,14,unknown,0.9791783380018675,0.9986506999494013,1.0,384,384
