language,layer,silhouette_score
en,9,0.8194437150699158
en,10,0.8312701589271377
en,11,0.8425860267424475
en,12,0.8517229949358164
en,13,0.858038118384742
en,14,0.8608769181670688
en,15,0.8605131879598318
en,16,0.8634894894302031
en,17,0.8656710183334809
en,18,0.8649661494884159
de,9,0.7853630426527771
de,10,0.7968236130206175
de,11,0.7933774662685122
de,12,0.8091494660339217
de,13,0.8251463507169808
de,14,0.8317235158827714
de,15,0.8315957106546166
de,16,0.8343546286372537
de,17,0.8331669681563114
de,18,0.8332870781280278
fr,9,0.8004966534805517
fr,10,0.777287879576862
fr,11,0.8122733910792727
fr,12,0.8252568626445248
fr,13,0.829025324088982
fr,14,0.8452326803920281
fr,15,0.8473415018576352
fr,16,0.8436386834892096
fr,17,0.8502484041875499
fr,18,0.851355348349922
zh,9,0.8318215147304525
zh,10,0.8189437504701974
zh,11,0.830585317236039
zh,12,0.8322927127223281
zh,13,0.8482717686914726
zh,14,0.8500636823464623
zh,15,0.8526680337361238
zh,16,0.8545451613102025
zh,17,0.8586642941495025
zh,18,0.8551863430367526
es,9,0.8078410381903408
es,10,0.8119263596780391
es,11,0.8180603057806568
es,12,0.8288642312273388
es,13,0.8317851017672613
es,14,0.8383843313318998
es,15,0.839800728503323
es,16,0.8379571076043009
es,17,0.8424325260167639
es,18,0.849460386830981
ar,9,0.7797590211527292
ar,10,0.7671970585819762
ar,11,0.7780460927702864
ar,12,0.8076046983437687
ar,13,0.7883046434175477
ar,14,0.819044237995095
ar,15,0.8157987701069267
ar,16,0.8170055884173889
ar,17,0.826448055672978
ar,18,0.8281335210259448
ru,9,0.75225165943503
ru,10,0.7583959889371514
ru,11,0.7742843362294586
ru,12,0.8088596801931173
ru,13,0.8182484824580344
ru,14,0.831228927135285
ru,15,0.8328619998227856
ru,16,0.829574811910398
ru,17,0.8344552434475595
ru,18,0.832332548663282
ko,9,0.7872946216184188
ko,10,0.7877911305518254
ko,11,0.8076889554836274
ko,12,0.8091908840226587
ko,13,0.8195825853289794
ko,14,0.8223645376177401
ko,15,0.828287506804207
ko,16,0.8335799423832468
ko,17,0.8343498171390574
ko,18,0.8296421822912409
ja,9,0.8029983847822847
ja,10,0.8001815964866328
ja,11,0.8125062140527456
ja,12,0.8177128436381956
ja,13,0.8230999559715116
ja,14,0.8322904755715584
ja,15,0.8315517352574832
ja,16,0.8316052999022058
ja,17,0.8385752751554777
ja,18,0.8337663490301105
tr,9,0.7375810959629776
tr,10,0.736825741573648
tr,11,0.7761053180874127
tr,12,0.7764151607392167
tr,13,0.7948971623238243
tr,14,0.7951603019228924
tr,15,0.7984243632336218
tr,16,0.8018178463820478
tr,17,0.801156322814268
tr,18,0.794682536391821
id,9,0.7887929276528656
id,10,0.7868794929830848
id,11,0.8005115546342775
id,12,0.8205765751415942
id,13,0.8235238832542331
id,14,0.8309881604339049
id,15,0.8306150911890938
id,16,0.8369106822466268
id,17,0.8387794718750913
id,18,0.8428769784893909
hi,9,0.6175846135430062
hi,10,0.6118427575190265
hi,11,0.6053534529757482
hi,12,0.5776693206902119
hi,13,0.5605985853519697
hi,14,0.5871225994790675
hi,15,0.5981087255356109
hi,16,0.5984916548180744
hi,17,0.6224079166797188
hi,18,0.6232781624441883
sw,9,0.7042351729051006
sw,10,0.6827056782498747
sw,11,0.6761470962466158
sw,12,0.6246978801996783
sw,13,0.5926614706634222
sw,14,0.6161959871453315
sw,15,0.6002983500505558
sw,16,0.6111600349812655
sw,17,0.6143053979890926
sw,18,0.6219991559028794
yo,9,0.4010796085743273
yo,10,0.3896820055368702
yo,11,0.5525411259730704
yo,12,0.4719001763289368
yo,13,0.2836682137035274
yo,14,0.4926014510334555
yo,15,0.3881014790500948
yo,16,0.42899427578460947
yo,17,0.37664527378134904
yo,18,0.37959189351112843
zu,9,0.36467061947282425
zu,10,0.38540746510272167
zu,11,0.37737706947768596
zu,12,0.5663290888609797
zu,13,0.5815241044707475
zu,14,0.5469303038424552
zu,15,0.4866609016015073
zu,16,0.5295357591340509
zu,17,0.4379015938777066
zu,18,0.5992123864838049
gd,9,0.5156767077860148
gd,10,0.4980161757373387
gd,11,0.47417333757895125
gd,12,0.4309257103751379
gd,13,0.4936399495911963
gd,14,0.5133397704509352
gd,15,0.501840087726646
gd,16,0.5170313641204703
gd,17,0.5234867445983035
gd,18,0.5213563495262602
gn,9,0.6327237315609261
gn,10,0.6320260333381771
gn,11,0.617360985549607
gn,12,0.6107819036573553
gn,13,0.6303790291444068
gn,14,0.6098136673284655
gn,15,0.5812099552705879
gn,16,0.6523517671291669
gn,17,0.5884415320551871
gn,18,0.6707516800871463
