language,layer,category,cv_accuracy,cv_auc,best_C,n_harmful,n_benign
en,0,unknown,0.9548076923076924,0.9928624260355029,0.1,520,520
en,0,all,0.9548076923076924,0.9928624260355029,0.1,520,520
en,1,unknown,0.9701923076923077,0.9970968934911243,0.1,520,520
en,1,all,0.9701923076923077,0.9970968934911243,0.1,520,520
en,2,unknown,0.9740384615384615,0.9981213017751479,0.1,520,520
en,2,all,0.9740384615384615,0.9981213017751479,0.1,520,520
en,3,unknown,0.9701923076923077,0.9977810650887574,0.01,520,520
en,3,all,0.9701923076923077,0.9977810650887574,0.01,520,520
en,4,unknown,0.9711538461538461,0.9980029585798817,0.01,520,520
en,4,all,0.9711538461538461,0.9980029585798817,0.01,520,520
en,5,unknown,0.9692307692307692,0.997969674556213,0.01,520,520
en,5,all,0.9692307692307692,0.997969674556213,0.01,520,520
en,6,unknown,0.9711538461538461,0.997969674556213,0.01,520,520
en,6,all,0.9711538461538461,0.997969674556213,0.01,520,520
en,7,unknown,0.9711538461538461,0.9980843195266272,0.01,520,520
en,7,all,0.9711538461538461,0.9980843195266272,0.01,520,520
en,8,unknown,0.9701923076923077,0.9980362426035503,0.01,520,520
en,8,all,0.9701923076923077,0.9980362426035503,0.01,520,520
en,9,unknown,0.9711538461538461,0.9980399408284024,0.01,520,520
en,9,all,0.9711538461538461,0.9980399408284024,0.01,520,520
en,10,unknown,0.9701923076923077,0.9980103550295858,0.01,520,520
en,10,all,0.9701923076923077,0.9980103550295858,0.01,520,520
en,11,unknown,0.9701923076923077,0.9979992603550296,0.01,520,520
en,11,all,0.9701923076923077,0.9979992603550296,0.01,520,520
en,12,unknown,0.9692307692307692,0.9979844674556213,0.01,520,520
en,12,all,0.9692307692307692,0.9979844674556213,0.01,520,520
en,13,unknown,0.9692307692307692,0.9979696745562131,0.01,520,520
en,13,all,0.9692307692307692,0.9979696745562131,0.01,520,520
en,14,unknown,0.9701923076923077,0.9978550295857989,0.01,520,520
en,14,all,0.9701923076923077,0.9978550295857989,0.01,520,520
en,15,unknown,0.9692307692307692,0.9978365384615385,0.01,520,520
en,15,all,0.9692307692307692,0.9978365384615385,0.01,520,520
en,16,unknown,0.9692307692307692,0.9977736686390533,0.01,520,520
en,16,all,0.9692307692307692,0.9977736686390533,0.01,520,520
en,17,unknown,0.9701923076923077,0.9977884615384615,0.01,520,520
en,17,all,0.9701923076923077,0.9977884615384615,0.01,520,520
en,18,unknown,0.9711538461538461,0.997758875739645,0.01,520,520
en,18,all,0.9711538461538461,0.997758875739645,0.01,520,520
en,19,unknown,0.9701923076923077,0.9977921597633136,0.01,520,520
en,19,all,0.9701923076923077,0.9977921597633136,0.01,520,520
en,20,unknown,0.9711538461538461,0.9977884615384616,0.01,520,520
en,20,all,0.9711538461538461,0.9977884615384616,0.01,520,520
en,21,unknown,0.9711538461538461,0.9977403846153846,0.01,520,520
en,21,all,0.9711538461538461,0.9977403846153846,0.01,520,520
en,22,unknown,0.9711538461538461,0.997758875739645,0.01,520,520
en,22,all,0.9711538461538461,0.997758875739645,0.01,520,520
en,23,unknown,0.9701923076923077,0.9977440828402366,0.01,520,520
en,23,all,0.9701923076923077,0.9977440828402366,0.01,520,520
