layer,component,language,tier,perturbation,mean_delta,std_delta,n_pairs_used,n_pairs_skipped
0,residual,de,tier_1,standard_translation,-0.2121,0.4539,20,0
0,attn_out,de,tier_1,standard_translation,-0.2965,0.2346,20,0
0,mlp_out,de,tier_1,standard_translation,-0.2539,0.3966,20,0
1,residual,de,tier_1,standard_translation,-0.1889,0.3725,20,0
1,attn_out,de,tier_1,standard_translation,-0.0335,0.1201,20,0
1,mlp_out,de,tier_1,standard_translation,-0.0172,0.1277,20,0
2,residual,de,tier_1,standard_translation,-0.2131,0.426,20,0
2,attn_out,de,tier_1,standard_translation,-0.0762,0.0561,20,0
2,mlp_out,de,tier_1,standard_translation,-0.0131,0.0673,20,0
3,residual,de,tier_1,standard_translation,-0.2073,0.409,20,0
3,attn_out,de,tier_1,standard_translation,0.0209,0.0972,20,0
3,mlp_out,de,tier_1,standard_translation,-0.0159,0.1554,20,0
4,residual,de,tier_1,standard_translation,-0.2268,0.3681,20,0
4,attn_out,de,tier_1,standard_translation,-0.0363,0.0564,20,0
4,mlp_out,de,tier_1,standard_translation,-0.0387,0.1358,20,0
5,residual,de,tier_1,standard_translation,-0.1915,0.3671,20,0
5,attn_out,de,tier_1,standard_translation,-0.0831,0.1199,20,0
5,mlp_out,de,tier_1,standard_translation,-0.0931,0.0901,20,0
6,residual,de,tier_1,standard_translation,-0.1509,0.3875,20,0
6,attn_out,de,tier_1,standard_translation,0.0321,0.0244,20,0
6,mlp_out,de,tier_1,standard_translation,-0.0573,0.1327,20,0
7,residual,de,tier_1,standard_translation,0.0369,0.4074,20,0
7,attn_out,de,tier_1,standard_translation,-0.1358,0.0497,20,0
7,mlp_out,de,tier_1,standard_translation,0.0529,0.224,20,0
8,residual,de,tier_1,standard_translation,0.0159,0.3716,20,0
8,attn_out,de,tier_1,standard_translation,-0.009,0.0402,20,0
8,mlp_out,de,tier_1,standard_translation,-0.0241,0.2746,20,0
9,residual,de,tier_1,standard_translation,0.0728,0.3317,20,0
9,attn_out,de,tier_1,standard_translation,-0.029,0.0446,20,0
9,mlp_out,de,tier_1,standard_translation,0.0712,0.1632,20,0
10,residual,de,tier_1,standard_translation,0.0958,0.3327,20,0
10,attn_out,de,tier_1,standard_translation,0.0512,0.0877,20,0
10,mlp_out,de,tier_1,standard_translation,-0.1212,0.1285,20,0
11,residual,de,tier_1,standard_translation,0.1192,0.2633,20,0
11,attn_out,de,tier_1,standard_translation,-0.0045,0.0462,20,0
11,mlp_out,de,tier_1,standard_translation,0.0427,0.0497,20,0
12,residual,de,tier_1,standard_translation,0.1871,0.2855,20,0
12,attn_out,de,tier_1,standard_translation,-0.0089,0.0558,20,0
12,mlp_out,de,tier_1,standard_translation,0.0118,0.1699,20,0
13,residual,de,tier_1,standard_translation,0.2336,0.3033,20,0
13,attn_out,de,tier_1,standard_translation,-0.0259,0.0357,20,0
13,mlp_out,de,tier_1,standard_translation,-0.0882,0.0546,20,0
14,residual,de,tier_1,standard_translation,0.2392,0.2871,20,0
14,attn_out,de,tier_1,standard_translation,0.0018,0.0482,20,0
14,mlp_out,de,tier_1,standard_translation,0.053,0.1327,20,0
15,residual,de,tier_1,standard_translation,0.075,0.287,20,0
15,attn_out,de,tier_1,standard_translation,0.0133,0.0413,20,0
15,mlp_out,de,tier_1,standard_translation,-0.0798,0.0951,20,0
16,residual,de,tier_1,standard_translation,0.2404,0.3084,20,0
16,attn_out,de,tier_1,standard_translation,0.0524,0.0324,20,0
16,mlp_out,de,tier_1,standard_translation,-0.0187,0.0672,20,0
17,residual,de,tier_1,standard_translation,0.1319,0.2159,20,0
17,attn_out,de,tier_1,standard_translation,-0.0069,0.0201,20,0
17,mlp_out,de,tier_1,standard_translation,0.0466,0.0337,20,0
18,residual,de,tier_1,standard_translation,0.1052,0.2006,20,0
18,attn_out,de,tier_1,standard_translation,0.0001,0.0191,20,0
18,mlp_out,de,tier_1,standard_translation,-0.0103,0.0329,20,0
19,residual,de,tier_1,standard_translation,0.097,0.216,20,0
19,attn_out,de,tier_1,standard_translation,0.0274,0.0346,20,0
19,mlp_out,de,tier_1,standard_translation,-0.0147,0.0409,20,0
20,residual,de,tier_1,standard_translation,0.1275,0.1908,20,0
20,attn_out,de,tier_1,standard_translation,-0.0085,0.0226,20,0
20,mlp_out,de,tier_1,standard_translation,-0.0048,0.0199,20,0
21,residual,de,tier_1,standard_translation,0.1532,0.1744,20,0
21,attn_out,de,tier_1,standard_translation,0.0121,0.0183,20,0
21,mlp_out,de,tier_1,standard_translation,-0.0153,0.0423,20,0
22,residual,de,tier_1,standard_translation,0.1774,0.193,20,0
22,attn_out,de,tier_1,standard_translation,0.0043,0.0062,20,0
22,mlp_out,de,tier_1,standard_translation,-0.0033,0.0269,20,0
23,residual,de,tier_1,standard_translation,0.1597,0.1799,20,0
23,attn_out,de,tier_1,standard_translation,0.0161,0.0082,20,0
23,mlp_out,de,tier_1,standard_translation,-0.0244,0.0341,20,0
24,residual,de,tier_1,standard_translation,0.1393,0.1875,20,0
24,attn_out,de,tier_1,standard_translation,0.0068,0.0144,20,0
24,mlp_out,de,tier_1,standard_translation,-0.017,0.032,20,0
25,residual,de,tier_1,standard_translation,0.1325,0.174,20,0
25,attn_out,de,tier_1,standard_translation,0.0096,0.0104,20,0
25,mlp_out,de,tier_1,standard_translation,0.0143,0.0205,20,0
26,residual,de,tier_1,standard_translation,0.1439,0.1727,20,0
26,attn_out,de,tier_1,standard_translation,0.0074,0.0135,20,0
26,mlp_out,de,tier_1,standard_translation,0.0346,0.0379,20,0
27,residual,de,tier_1,standard_translation,0.1066,0.1114,20,0
27,attn_out,de,tier_1,standard_translation,0.0064,0.0047,20,0
27,mlp_out,de,tier_1,standard_translation,0.0234,0.0427,20,0
28,residual,de,tier_1,standard_translation,0.0857,0.0931,20,0
28,attn_out,de,tier_1,standard_translation,0.0095,0.01,20,0
28,mlp_out,de,tier_1,standard_translation,0.0136,0.0185,20,0
29,residual,de,tier_1,standard_translation,0.0592,0.0802,20,0
29,attn_out,de,tier_1,standard_translation,-0.0074,0.009,20,0
29,mlp_out,de,tier_1,standard_translation,0.0357,0.0428,20,0
30,residual,de,tier_1,standard_translation,-0.0017,0.027,20,0
30,attn_out,de,tier_1,standard_translation,0.0054,0.0048,20,0
30,mlp_out,de,tier_1,standard_translation,0.0062,0.0247,20,0
31,residual,de,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,de,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,de,tier_1,standard_translation,0.0,0.0,20,0
0,residual,fr,tier_1,standard_translation,-0.4357,0.6164,20,0
0,attn_out,fr,tier_1,standard_translation,-0.2989,0.2171,20,0
0,mlp_out,fr,tier_1,standard_translation,-0.5405,0.4941,20,0
1,residual,fr,tier_1,standard_translation,-0.36,0.5514,20,0
1,attn_out,fr,tier_1,standard_translation,-0.1227,0.1663,20,0
1,mlp_out,fr,tier_1,standard_translation,-0.0361,0.1234,20,0
2,residual,fr,tier_1,standard_translation,-0.3056,0.4402,20,0
2,attn_out,fr,tier_1,standard_translation,0.0069,0.0705,20,0
2,mlp_out,fr,tier_1,standard_translation,-0.0418,0.1032,20,0
3,residual,fr,tier_1,standard_translation,-0.3003,0.4459,20,0
3,attn_out,fr,tier_1,standard_translation,-0.0479,0.0372,20,0
3,mlp_out,fr,tier_1,standard_translation,-0.0039,0.0382,20,0
4,residual,fr,tier_1,standard_translation,-0.2925,0.421,20,0
4,attn_out,fr,tier_1,standard_translation,0.0463,0.0932,20,0
4,mlp_out,fr,tier_1,standard_translation,0.0105,0.1602,20,0
5,residual,fr,tier_1,standard_translation,-0.2833,0.3301,20,0
5,attn_out,fr,tier_1,standard_translation,-0.1679,0.0581,20,0
5,mlp_out,fr,tier_1,standard_translation,-0.0425,0.0923,20,0
6,residual,fr,tier_1,standard_translation,-0.2909,0.2306,20,0
6,attn_out,fr,tier_1,standard_translation,-0.0914,0.0458,20,0
6,mlp_out,fr,tier_1,standard_translation,-0.0151,0.0847,20,0
7,residual,fr,tier_1,standard_translation,-0.247,0.2367,20,0
7,attn_out,fr,tier_1,standard_translation,-0.1731,0.0453,20,0
7,mlp_out,fr,tier_1,standard_translation,-0.0103,0.1127,20,0
8,residual,fr,tier_1,standard_translation,-0.2335,0.2305,20,0
8,attn_out,fr,tier_1,standard_translation,-0.034,0.0663,20,0
8,mlp_out,fr,tier_1,standard_translation,-0.1133,0.1043,20,0
9,residual,fr,tier_1,standard_translation,-0.2421,0.2228,20,0
9,attn_out,fr,tier_1,standard_translation,-0.0692,0.0958,20,0
9,mlp_out,fr,tier_1,standard_translation,-0.0323,0.1366,20,0
10,residual,fr,tier_1,standard_translation,-0.1907,0.1959,20,0
10,attn_out,fr,tier_1,standard_translation,-0.0368,0.1242,20,0
10,mlp_out,fr,tier_1,standard_translation,-0.0683,0.0508,20,0
11,residual,fr,tier_1,standard_translation,-0.1858,0.1996,20,0
11,attn_out,fr,tier_1,standard_translation,0.0234,0.0947,20,0
11,mlp_out,fr,tier_1,standard_translation,-0.0063,0.0973,20,0
12,residual,fr,tier_1,standard_translation,-0.1421,0.188,20,0
12,attn_out,fr,tier_1,standard_translation,0.0102,0.0533,20,0
12,mlp_out,fr,tier_1,standard_translation,-0.0564,0.0762,20,0
13,residual,fr,tier_1,standard_translation,-0.144,0.2213,20,0
13,attn_out,fr,tier_1,standard_translation,0.0311,0.0747,20,0
13,mlp_out,fr,tier_1,standard_translation,-0.2097,0.1189,20,0
14,residual,fr,tier_1,standard_translation,-0.1442,0.2719,20,0
14,attn_out,fr,tier_1,standard_translation,0.027,0.0653,20,0
14,mlp_out,fr,tier_1,standard_translation,-0.0414,0.0808,20,0
15,residual,fr,tier_1,standard_translation,-0.166,0.2308,20,0
15,attn_out,fr,tier_1,standard_translation,0.0133,0.0229,20,0
15,mlp_out,fr,tier_1,standard_translation,-0.0782,0.0954,20,0
16,residual,fr,tier_1,standard_translation,-0.0756,0.194,20,0
16,attn_out,fr,tier_1,standard_translation,-0.0006,0.0219,20,0
16,mlp_out,fr,tier_1,standard_translation,-0.0883,0.0995,20,0
17,residual,fr,tier_1,standard_translation,-0.062,0.1669,20,0
17,attn_out,fr,tier_1,standard_translation,0.0013,0.0184,20,0
17,mlp_out,fr,tier_1,standard_translation,0.0125,0.0525,20,0
18,residual,fr,tier_1,standard_translation,-0.0362,0.1716,20,0
18,attn_out,fr,tier_1,standard_translation,-0.0048,0.0191,20,0
18,mlp_out,fr,tier_1,standard_translation,-0.0207,0.0365,20,0
19,residual,fr,tier_1,standard_translation,-0.041,0.182,20,0
19,attn_out,fr,tier_1,standard_translation,0.0194,0.048,20,0
19,mlp_out,fr,tier_1,standard_translation,-0.0326,0.039,20,0
20,residual,fr,tier_1,standard_translation,-0.0568,0.1892,20,0
20,attn_out,fr,tier_1,standard_translation,-0.0128,0.031,20,0
20,mlp_out,fr,tier_1,standard_translation,-0.0207,0.0608,20,0
21,residual,fr,tier_1,standard_translation,-0.0119,0.1597,20,0
21,attn_out,fr,tier_1,standard_translation,0.0212,0.0318,20,0
21,mlp_out,fr,tier_1,standard_translation,-0.0195,0.0249,20,0
22,residual,fr,tier_1,standard_translation,-0.0061,0.1709,20,0
22,attn_out,fr,tier_1,standard_translation,-0.0045,0.0066,20,0
22,mlp_out,fr,tier_1,standard_translation,-0.022,0.0444,20,0
23,residual,fr,tier_1,standard_translation,0.0406,0.1422,20,0
23,attn_out,fr,tier_1,standard_translation,-0.0028,0.0148,20,0
23,mlp_out,fr,tier_1,standard_translation,-0.0309,0.0328,20,0
24,residual,fr,tier_1,standard_translation,0.026,0.1127,20,0
24,attn_out,fr,tier_1,standard_translation,0.0102,0.0269,20,0
24,mlp_out,fr,tier_1,standard_translation,0.0285,0.0467,20,0
25,residual,fr,tier_1,standard_translation,0.0329,0.1039,20,0
25,attn_out,fr,tier_1,standard_translation,-0.0032,0.0087,20,0
25,mlp_out,fr,tier_1,standard_translation,0.042,0.0628,20,0
26,residual,fr,tier_1,standard_translation,0.03,0.1121,20,0
26,attn_out,fr,tier_1,standard_translation,0.0024,0.0099,20,0
26,mlp_out,fr,tier_1,standard_translation,0.0159,0.0347,20,0
27,residual,fr,tier_1,standard_translation,0.0257,0.1193,20,0
27,attn_out,fr,tier_1,standard_translation,0.0018,0.0108,20,0
27,mlp_out,fr,tier_1,standard_translation,-0.0031,0.0194,20,0
28,residual,fr,tier_1,standard_translation,-0.0186,0.0092,20,0
28,attn_out,fr,tier_1,standard_translation,-0.0002,0.0122,20,0
28,mlp_out,fr,tier_1,standard_translation,0.0003,0.0117,20,0
29,residual,fr,tier_1,standard_translation,-0.016,0.0079,20,0
29,attn_out,fr,tier_1,standard_translation,-0.0043,0.0126,20,0
29,mlp_out,fr,tier_1,standard_translation,-0.0012,0.0184,20,0
30,residual,fr,tier_1,standard_translation,-0.0174,0.0126,20,0
30,attn_out,fr,tier_1,standard_translation,0.0053,0.0079,20,0
30,mlp_out,fr,tier_1,standard_translation,-0.009,0.0089,20,0
31,residual,fr,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,fr,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,fr,tier_1,standard_translation,0.0,0.0,20,0
0,residual,zh,tier_1,standard_translation,-0.5299,0.9745,20,0
0,attn_out,zh,tier_1,standard_translation,-0.1031,0.2545,20,0
0,mlp_out,zh,tier_1,standard_translation,-0.5967,0.9692,20,0
1,residual,zh,tier_1,standard_translation,-0.549,1.0718,20,0
1,attn_out,zh,tier_1,standard_translation,-0.112,0.1748,20,0
1,mlp_out,zh,tier_1,standard_translation,-0.0729,0.1608,20,0
2,residual,zh,tier_1,standard_translation,-0.5573,1.0926,20,0
2,attn_out,zh,tier_1,standard_translation,0.1161,0.4265,20,0
2,mlp_out,zh,tier_1,standard_translation,-0.0332,0.2035,20,0
3,residual,zh,tier_1,standard_translation,-0.5704,1.0733,20,0
3,attn_out,zh,tier_1,standard_translation,0.0005,0.0519,20,0
3,mlp_out,zh,tier_1,standard_translation,0.1886,0.2011,20,0
4,residual,zh,tier_1,standard_translation,-0.5452,1.0133,20,0
4,attn_out,zh,tier_1,standard_translation,0.0305,0.1428,20,0
4,mlp_out,zh,tier_1,standard_translation,0.254,0.4328,20,0
5,residual,zh,tier_1,standard_translation,-0.4987,0.9214,20,0
5,attn_out,zh,tier_1,standard_translation,-0.2049,0.2192,20,0
5,mlp_out,zh,tier_1,standard_translation,0.1855,0.3917,20,0
6,residual,zh,tier_1,standard_translation,-0.4093,0.8635,20,0
6,attn_out,zh,tier_1,standard_translation,-0.0547,0.1206,20,0
6,mlp_out,zh,tier_1,standard_translation,-0.1307,0.2181,20,0
7,residual,zh,tier_1,standard_translation,-0.1784,0.7813,20,0
7,attn_out,zh,tier_1,standard_translation,-0.0846,0.19,20,0
7,mlp_out,zh,tier_1,standard_translation,0.0794,0.1949,20,0
8,residual,zh,tier_1,standard_translation,-0.1459,0.7097,20,0
8,attn_out,zh,tier_1,standard_translation,-0.0467,0.0892,20,0
8,mlp_out,zh,tier_1,standard_translation,0.121,0.2295,20,0
9,residual,zh,tier_1,standard_translation,0.0625,0.6575,20,0
9,attn_out,zh,tier_1,standard_translation,-0.0252,0.1043,20,0
9,mlp_out,zh,tier_1,standard_translation,0.2142,0.2605,20,0
10,residual,zh,tier_1,standard_translation,0.0533,0.5844,20,0
10,attn_out,zh,tier_1,standard_translation,-0.0348,0.0837,20,0
10,mlp_out,zh,tier_1,standard_translation,-0.1097,0.2431,20,0
11,residual,zh,tier_1,standard_translation,0.101,0.4899,20,0
11,attn_out,zh,tier_1,standard_translation,-0.0336,0.0475,20,0
11,mlp_out,zh,tier_1,standard_translation,-0.0511,0.2252,20,0
12,residual,zh,tier_1,standard_translation,0.0922,0.4105,20,0
12,attn_out,zh,tier_1,standard_translation,-0.0454,0.0621,20,0
12,mlp_out,zh,tier_1,standard_translation,-0.127,0.2975,20,0
13,residual,zh,tier_1,standard_translation,0.072,0.4228,20,0
13,attn_out,zh,tier_1,standard_translation,0.0682,0.1232,20,0
13,mlp_out,zh,tier_1,standard_translation,-0.1748,0.1735,20,0
14,residual,zh,tier_1,standard_translation,0.1163,0.2282,20,0
14,attn_out,zh,tier_1,standard_translation,0.0198,0.0245,20,0
14,mlp_out,zh,tier_1,standard_translation,0.0082,0.0348,20,0
15,residual,zh,tier_1,standard_translation,0.134,0.1829,20,0
15,attn_out,zh,tier_1,standard_translation,0.0065,0.0341,20,0
15,mlp_out,zh,tier_1,standard_translation,0.0272,0.0253,20,0
16,residual,zh,tier_1,standard_translation,0.2025,0.1423,20,0
16,attn_out,zh,tier_1,standard_translation,0.0227,0.0359,20,0
16,mlp_out,zh,tier_1,standard_translation,0.0322,0.0602,20,0
17,residual,zh,tier_1,standard_translation,0.1027,0.1884,20,0
17,attn_out,zh,tier_1,standard_translation,-0.0166,0.027,20,0
17,mlp_out,zh,tier_1,standard_translation,-0.0325,0.058,20,0
18,residual,zh,tier_1,standard_translation,0.0821,0.2007,20,0
18,attn_out,zh,tier_1,standard_translation,-0.0001,0.0167,20,0
18,mlp_out,zh,tier_1,standard_translation,-0.0222,0.0354,20,0
19,residual,zh,tier_1,standard_translation,0.1207,0.1832,20,0
19,attn_out,zh,tier_1,standard_translation,-0.0007,0.0094,20,0
19,mlp_out,zh,tier_1,standard_translation,0.0361,0.0769,20,0
20,residual,zh,tier_1,standard_translation,0.1092,0.1724,20,0
20,attn_out,zh,tier_1,standard_translation,-0.0001,0.0179,20,0
20,mlp_out,zh,tier_1,standard_translation,0.0043,0.0581,20,0
21,residual,zh,tier_1,standard_translation,0.0757,0.1737,20,0
21,attn_out,zh,tier_1,standard_translation,-0.0077,0.0149,20,0
21,mlp_out,zh,tier_1,standard_translation,0.0181,0.0202,20,0
22,residual,zh,tier_1,standard_translation,0.0767,0.1695,20,0
22,attn_out,zh,tier_1,standard_translation,0.0013,0.0036,20,0
22,mlp_out,zh,tier_1,standard_translation,0.0178,0.0342,20,0
23,residual,zh,tier_1,standard_translation,0.0727,0.0866,20,0
23,attn_out,zh,tier_1,standard_translation,-0.0196,0.0275,20,0
23,mlp_out,zh,tier_1,standard_translation,-0.0195,0.0165,20,0
24,residual,zh,tier_1,standard_translation,0.0461,0.0752,20,0
24,attn_out,zh,tier_1,standard_translation,-0.0037,0.0163,20,0
24,mlp_out,zh,tier_1,standard_translation,0.0223,0.0252,20,0
25,residual,zh,tier_1,standard_translation,0.0541,0.0771,20,0
25,attn_out,zh,tier_1,standard_translation,-0.001,0.0086,20,0
25,mlp_out,zh,tier_1,standard_translation,0.037,0.0513,20,0
26,residual,zh,tier_1,standard_translation,0.0529,0.0819,20,0
26,attn_out,zh,tier_1,standard_translation,0.0016,0.0069,20,0
26,mlp_out,zh,tier_1,standard_translation,0.0346,0.0225,20,0
27,residual,zh,tier_1,standard_translation,0.0565,0.0742,20,0
27,attn_out,zh,tier_1,standard_translation,-0.0017,0.0013,20,0
27,mlp_out,zh,tier_1,standard_translation,0.0186,0.0379,20,0
28,residual,zh,tier_1,standard_translation,0.048,0.0413,20,0
28,attn_out,zh,tier_1,standard_translation,-0.0031,0.0133,20,0
28,mlp_out,zh,tier_1,standard_translation,0.0188,0.018,20,0
29,residual,zh,tier_1,standard_translation,0.0432,0.0384,20,0
29,attn_out,zh,tier_1,standard_translation,-0.0132,0.016,20,0
29,mlp_out,zh,tier_1,standard_translation,0.0167,0.0112,20,0
30,residual,zh,tier_1,standard_translation,0.0277,0.0292,20,0
30,attn_out,zh,tier_1,standard_translation,0.0001,0.0034,20,0
30,mlp_out,zh,tier_1,standard_translation,0.0124,0.0106,20,0
31,residual,zh,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,zh,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,zh,tier_1,standard_translation,0.0,0.0,20,0
0,residual,es,tier_1,standard_translation,-0.3528,0.4209,20,0
0,attn_out,es,tier_1,standard_translation,-0.1122,0.2965,20,0
0,mlp_out,es,tier_1,standard_translation,-0.2356,0.4356,20,0
1,residual,es,tier_1,standard_translation,-0.334,0.2879,20,0
1,attn_out,es,tier_1,standard_translation,0.0987,0.0634,20,0
1,mlp_out,es,tier_1,standard_translation,0.0037,0.0958,20,0
2,residual,es,tier_1,standard_translation,-0.3082,0.283,20,0
2,attn_out,es,tier_1,standard_translation,-0.0435,0.0818,20,0
2,mlp_out,es,tier_1,standard_translation,0.0253,0.0781,20,0
3,residual,es,tier_1,standard_translation,-0.337,0.2918,20,0
3,attn_out,es,tier_1,standard_translation,0.0068,0.0731,20,0
3,mlp_out,es,tier_1,standard_translation,-0.0305,0.0781,20,0
4,residual,es,tier_1,standard_translation,-0.3182,0.2742,20,0
4,attn_out,es,tier_1,standard_translation,0.0748,0.0421,20,0
4,mlp_out,es,tier_1,standard_translation,-0.0258,0.1462,20,0
5,residual,es,tier_1,standard_translation,-0.3965,0.2539,20,0
5,attn_out,es,tier_1,standard_translation,-0.2548,0.1897,20,0
5,mlp_out,es,tier_1,standard_translation,-0.038,0.0605,20,0
6,residual,es,tier_1,standard_translation,-0.4102,0.1832,20,0
6,attn_out,es,tier_1,standard_translation,-0.0718,0.1411,20,0
6,mlp_out,es,tier_1,standard_translation,-0.0137,0.1113,20,0
7,residual,es,tier_1,standard_translation,-0.3022,0.1515,20,0
7,attn_out,es,tier_1,standard_translation,-0.2711,0.1989,20,0
7,mlp_out,es,tier_1,standard_translation,0.0079,0.1218,20,0
8,residual,es,tier_1,standard_translation,-0.3174,0.1633,20,0
8,attn_out,es,tier_1,standard_translation,0.0024,0.0384,20,0
8,mlp_out,es,tier_1,standard_translation,-0.1521,0.152,20,0
9,residual,es,tier_1,standard_translation,-0.2321,0.1215,20,0
9,attn_out,es,tier_1,standard_translation,-0.1965,0.0807,20,0
9,mlp_out,es,tier_1,standard_translation,-0.0515,0.194,20,0
10,residual,es,tier_1,standard_translation,-0.2096,0.1264,20,0
10,attn_out,es,tier_1,standard_translation,-0.0839,0.0579,20,0
10,mlp_out,es,tier_1,standard_translation,-0.2005,0.0926,20,0
11,residual,es,tier_1,standard_translation,-0.1857,0.1052,20,0
11,attn_out,es,tier_1,standard_translation,-0.0145,0.0847,20,0
11,mlp_out,es,tier_1,standard_translation,-0.1043,0.2103,20,0
12,residual,es,tier_1,standard_translation,-0.152,0.1272,20,0
12,attn_out,es,tier_1,standard_translation,-0.0084,0.1272,20,0
12,mlp_out,es,tier_1,standard_translation,-0.2354,0.0881,20,0
13,residual,es,tier_1,standard_translation,-0.0841,0.0919,20,0
13,attn_out,es,tier_1,standard_translation,-0.0174,0.0111,20,0
13,mlp_out,es,tier_1,standard_translation,-0.3743,0.0212,20,0
14,residual,es,tier_1,standard_translation,0.0078,0.1235,20,0
14,attn_out,es,tier_1,standard_translation,0.0314,0.0478,20,0
14,mlp_out,es,tier_1,standard_translation,-0.2315,0.0568,20,0
15,residual,es,tier_1,standard_translation,-0.0047,0.1116,20,0
15,attn_out,es,tier_1,standard_translation,0.0225,0.0454,20,0
15,mlp_out,es,tier_1,standard_translation,-0.073,0.0617,20,0
16,residual,es,tier_1,standard_translation,0.1152,0.0892,20,0
16,attn_out,es,tier_1,standard_translation,-0.0144,0.0112,20,0
16,mlp_out,es,tier_1,standard_translation,-0.0123,0.0668,20,0
17,residual,es,tier_1,standard_translation,0.0833,0.0812,20,0
17,attn_out,es,tier_1,standard_translation,0.0241,0.0356,20,0
17,mlp_out,es,tier_1,standard_translation,-0.0039,0.0743,20,0
18,residual,es,tier_1,standard_translation,0.1021,0.0745,20,0
18,attn_out,es,tier_1,standard_translation,-0.0104,0.0238,20,0
18,mlp_out,es,tier_1,standard_translation,0.0065,0.0384,20,0
19,residual,es,tier_1,standard_translation,0.0365,0.0957,20,0
19,attn_out,es,tier_1,standard_translation,0.0426,0.0408,20,0
19,mlp_out,es,tier_1,standard_translation,-0.0176,0.0361,20,0
20,residual,es,tier_1,standard_translation,0.0304,0.0915,20,0
20,attn_out,es,tier_1,standard_translation,-0.042,0.043,20,0
20,mlp_out,es,tier_1,standard_translation,-0.0262,0.039,20,0
21,residual,es,tier_1,standard_translation,0.0704,0.0907,20,0
21,attn_out,es,tier_1,standard_translation,0.0175,0.013,20,0
21,mlp_out,es,tier_1,standard_translation,-0.0177,0.0494,20,0
22,residual,es,tier_1,standard_translation,0.0819,0.0917,20,0
22,attn_out,es,tier_1,standard_translation,0.0084,0.0112,20,0
22,mlp_out,es,tier_1,standard_translation,-0.0346,0.0526,20,0
23,residual,es,tier_1,standard_translation,0.1001,0.0878,20,0
23,attn_out,es,tier_1,standard_translation,0.0238,0.0163,20,0
23,mlp_out,es,tier_1,standard_translation,-0.045,0.0416,20,0
24,residual,es,tier_1,standard_translation,0.0884,0.0813,20,0
24,attn_out,es,tier_1,standard_translation,-0.0073,0.0199,20,0
24,mlp_out,es,tier_1,standard_translation,0.0183,0.0331,20,0
25,residual,es,tier_1,standard_translation,0.0983,0.0776,20,0
25,attn_out,es,tier_1,standard_translation,0.0053,0.0151,20,0
25,mlp_out,es,tier_1,standard_translation,0.02,0.0663,20,0
26,residual,es,tier_1,standard_translation,0.1127,0.0832,20,0
26,attn_out,es,tier_1,standard_translation,0.0045,0.0218,20,0
26,mlp_out,es,tier_1,standard_translation,0.037,0.0593,20,0
27,residual,es,tier_1,standard_translation,0.1061,0.0901,20,0
27,attn_out,es,tier_1,standard_translation,-0.0064,0.0222,20,0
27,mlp_out,es,tier_1,standard_translation,0.0038,0.0363,20,0
28,residual,es,tier_1,standard_translation,0.0518,0.0821,20,0
28,attn_out,es,tier_1,standard_translation,-0.0227,0.0251,20,0
28,mlp_out,es,tier_1,standard_translation,0.0566,0.0275,20,0
29,residual,es,tier_1,standard_translation,0.0525,0.0697,20,0
29,attn_out,es,tier_1,standard_translation,-0.0256,0.0351,20,0
29,mlp_out,es,tier_1,standard_translation,0.0472,0.0425,20,0
30,residual,es,tier_1,standard_translation,0.018,0.0676,20,0
30,attn_out,es,tier_1,standard_translation,0.0137,0.0126,20,0
30,mlp_out,es,tier_1,standard_translation,0.0147,0.0375,20,0
31,residual,es,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,es,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,es,tier_1,standard_translation,0.0,0.0,20,0
0,residual,ar,tier_2,standard_translation,-0.0901,0.3286,20,0
0,attn_out,ar,tier_2,standard_translation,0.0005,0.2579,20,0
0,mlp_out,ar,tier_2,standard_translation,0.153,0.6129,20,0
1,residual,ar,tier_2,standard_translation,-0.0081,0.3646,20,0
1,attn_out,ar,tier_2,standard_translation,0.064,0.297,20,0
1,mlp_out,ar,tier_2,standard_translation,-0.0228,0.3882,20,0
2,residual,ar,tier_2,standard_translation,0.0351,0.3399,20,0
2,attn_out,ar,tier_2,standard_translation,-0.0007,0.0445,20,0
2,mlp_out,ar,tier_2,standard_translation,0.0542,0.2322,20,0
3,residual,ar,tier_2,standard_translation,0.0334,0.2844,20,0
3,attn_out,ar,tier_2,standard_translation,-0.0703,0.1106,20,0
