language,layer,harm_component_norm,refusal_component_norm,t_inst_harm_signal,t_post_inst_refusal_signal,failure_type
ar,10,1.8203,0.1571,0.8645,4.0859,mixed
ar,11,1.7461,0.1511,0.5685,4.0859,mixed
ar,12,1.0821,0.1261,0.5976,4.0859,mixed
ar,13,1.0152,0.1087,0.6726,4.0859,mixed
ar,14,0.9278,0.1171,1.0903,4.0859,mixed
ar,15,1.2468,0.1382,1.0096,4.0859,mixed
ar,16,1.344,0.141,0.8561,4.0859,mixed
ar,17,0.4393,0.0926,1.3489,4.0859,upstream
ar,18,0.4288,0.0712,1.1896,4.0859,upstream
ar,19,0.4273,0.064,1.2541,4.0859,upstream
ar,20,0.7822,0.0706,1.0274,4.0859,mixed
ar,21,0.7832,0.07,0.6946,4.0859,mixed
de,10,1.142,0.1209,1.8718,1.8271,mixed
de,11,1.1109,0.116,1.1891,1.8271,mixed
de,12,1.6278,0.2162,1.2359,1.8271,mixed
de,13,0.955,0.1254,1.4093,1.8271,mixed
de,14,1.3654,0.1666,1.6506,1.8271,mixed
de,15,0.4783,0.0871,1.5902,1.8271,upstream
de,16,1.2678,0.1781,0.3465,1.8271,mixed
de,17,0.4485,0.0973,0.921,1.8271,upstream
de,18,0.7882,0.1275,0.2524,1.8271,mixed
de,19,1.2123,0.1634,0.1374,1.8271,mixed
de,20,0.7908,0.1044,0.414,1.8271,mixed
de,21,1.1272,0.1318,0.5713,1.8271,mixed
en,10,1.6313,0.1326,1.7768,1.9756,mixed
en,11,1.9175,0.1483,1.3496,1.9756,mixed
en,12,1.003,0.1226,1.3586,1.9756,mixed
en,13,0.94,0.1245,1.5036,1.9756,mixed
en,14,0.8312,0.1157,1.8424,1.9756,mixed
en,15,1.0856,0.14,1.1398,1.9756,mixed
en,16,0.7775,0.1324,0.7008,1.9756,mixed
en,17,0.992,0.1891,0.7181,1.9756,mixed
en,18,1.17,0.1928,0.6325,1.9756,mixed
en,19,1.0672,0.1603,0.6588,1.9756,mixed
en,20,0.7453,0.1051,0.3182,1.9756,mixed
en,21,0.7467,0.105,0.0722,1.9756,mixed
es,10,1.5983,0.1678,1.8437,1.3887,mixed
es,11,1.8468,0.2056,1.6183,1.3887,mixed
es,12,1.6152,0.2099,1.4302,1.3887,mixed
es,13,1.6364,0.1909,1.4729,1.3887,mixed
es,14,1.4995,0.1608,1.5424,1.3887,mixed
es,15,1.4301,0.154,1.0268,1.3887,mixed
es,16,1.5286,0.1369,0.4449,1.3887,mixed
es,17,1.4706,0.1394,0.5772,1.3887,mixed
es,18,1.5415,0.1359,0.4961,1.3887,mixed
es,19,1.5314,0.1214,0.8031,1.3887,mixed
es,20,1.5913,0.1103,1.2226,1.3887,mixed
es,21,1.5943,0.1151,1.0388,1.3887,mixed
fr,10,1.9124,0.1996,1.7204,2.7539,mixed
fr,11,1.815,0.1893,1.1952,2.7539,mixed
fr,12,1.9736,0.2351,1.2397,2.7539,mixed
fr,13,1.8139,0.2093,1.102,2.7539,mixed
fr,14,1.7044,0.2126,0.9913,2.7539,mixed
fr,15,1.3954,0.1868,0.6282,2.7539,mixed
fr,16,1.7239,0.212,-0.0312,2.7539,mixed
fr,17,1.4069,0.2139,0.2301,2.7539,mixed
fr,18,0.9747,0.1431,-0.0808,2.7539,mixed
fr,19,0.9772,0.1361,0.0247,2.7539,mixed
fr,20,0.988,0.1071,0.1815,2.7539,mixed
fr,21,1.7079,0.1804,0.3634,2.7539,mixed
gd,10,5.7655,0.0322,-0.5013,4.707,mixed
gd,11,5.765,0.0425,-0.7657,4.707,mixed
gd,12,5.9303,0.0653,-0.5821,4.707,mixed
gd,13,4.3335,0.0354,0.0571,4.707,mixed
gd,14,4.4334,0.0009,0.1636,4.707,mixed
gd,15,4.4843,0.0126,0.4547,4.707,mixed
gd,16,4.6255,0.0357,0.3932,4.707,mixed
gd,17,6.6328,0.0355,0.4987,4.707,mixed
gd,18,4.8552,0.0441,0.2192,4.707,mixed
gd,19,5.0015,0.0034,-0.1303,4.707,mixed
gd,20,4.9804,0.0317,-0.2091,4.707,mixed
gd,21,7.3823,0.0513,-0.0734,4.707,mixed
gn,10,4.4296,0.188,-0.1163,5.5664,mixed
gn,11,4.3553,0.2278,-0.1568,5.5664,mixed
gn,12,4.4842,0.2786,-0.3724,5.5664,mixed
gn,13,2.0852,0.1297,-0.3661,5.5664,mixed
gn,14,2.1146,0.1303,-0.215,5.5664,mixed
gn,15,1.0216,0.0799,-0.1752,5.5664,mixed
gn,16,2.141,0.1643,-0.1933,5.5664,mixed
gn,17,2.1707,0.2014,-0.4645,5.5664,mixed
gn,18,3.6341,0.2597,-0.2572,5.5664,mixed
gn,19,3.7428,0.2065,-0.2442,5.5664,mixed
gn,20,2.2942,0.113,-0.6625,5.5664,mixed
gn,21,2.3542,0.0838,-0.2951,5.5664,mixed
hi,10,0.7409,0.0677,1.5488,3.875,upstream
hi,11,0.7309,0.0724,1.5391,3.875,upstream
hi,12,1.7682,0.1571,1.608,3.875,mixed
hi,13,1.9678,0.1268,1.4702,3.875,mixed
hi,14,1.6187,0.124,1.4125,3.875,mixed
hi,15,1.5153,0.1224,1.1116,3.875,mixed
hi,16,1.5858,0.1072,1.0503,3.875,mixed
hi,17,1.6355,0.1146,1.2606,3.875,mixed
hi,18,1.5394,0.0948,0.9813,3.875,mixed
hi,19,1.5438,0.0626,1.455,3.875,mixed
hi,20,1.8548,0.055,1.2939,3.875,mixed
hi,21,1.6154,0.0511,1.1383,3.875,mixed
id,10,2.1156,0.182,2.0941,2.6738,mixed
id,11,1.9811,0.1732,1.8291,2.6738,mixed
id,12,1.0567,0.1289,1.8209,2.6738,mixed
id,13,1.0078,0.1091,1.4491,2.6738,mixed
id,14,1.6459,0.1507,0.6941,2.6738,mixed
id,15,0.867,0.0955,0.7703,2.6738,mixed
id,16,1.5782,0.1036,0.3221,2.6738,mixed
id,17,1.3562,0.1389,0.333,2.6738,mixed
id,18,1.4157,0.1342,-0.1411,2.6738,mixed
id,19,1.4489,0.1406,0.1363,2.6738,mixed
id,20,1.464,0.1324,0.1933,2.6738,mixed
id,21,0.8434,0.0784,0.0965,2.6738,mixed
ja,10,2.0714,0.1746,0.8467,3.3047,mixed
ja,11,1.9833,0.1678,0.1785,3.3047,mixed
ja,12,1.836,0.1871,0.2342,3.3047,mixed
ja,13,1.7263,0.1171,0.5871,3.3047,mixed
ja,14,1.9948,0.1274,0.6525,3.3047,mixed
ja,15,1.4699,0.1319,0.0778,3.3047,mixed
ja,16,1.5263,0.0978,0.0871,3.3047,mixed
ja,17,1.5191,0.1455,0.0292,3.3047,mixed
ja,18,0.9535,0.1017,-0.0585,3.3047,mixed
ja,19,1.3951,0.1334,-0.0044,3.3047,mixed
ja,20,1.6904,0.1281,0.1554,3.3047,mixed
ja,21,1.6367,0.1347,-0.1366,3.3047,mixed
ko,10,1.7292,0.1594,0.978,2.8262,mixed
ko,11,2.0024,0.1643,0.2916,2.8262,mixed
ko,12,1.5703,0.1447,0.2894,2.8262,mixed
ko,13,1.6193,0.1164,0.0291,2.8262,mixed
ko,14,1.5924,0.1152,0.1639,2.8262,mixed
ko,15,1.5907,0.1319,0.592,2.8262,mixed
ko,16,1.4774,0.1175,0.434,2.8262,mixed
ko,17,1.3247,0.1399,0.6165,2.8262,mixed
ko,18,1.3741,0.1517,0.3896,2.8262,mixed
ko,19,1.4927,0.1413,0.8218,2.8262,mixed
ko,20,0.9194,0.0773,1.5736,2.8262,mixed
ko,21,1.3581,0.1173,1.3758,2.8262,mixed
ru,10,0.6735,0.0683,2.5008,1.5381,upstream
ru,11,1.1483,0.1005,1.6422,1.5381,mixed
ru,12,1.8559,0.1672,1.734,1.5381,mixed
ru,13,1.7559,0.1349,1.6551,1.5381,mixed
ru,14,1.4539,0.1061,1.4307,1.5381,mixed
ru,15,1.5594,0.1068,0.8613,1.5381,mixed
ru,16,1.6866,0.1048,0.2758,1.5381,mixed
ru,17,1.6024,0.152,0.7985,1.5381,mixed
ru,18,1.4767,0.1114,0.8755,1.5381,mixed
ru,19,1.4686,0.0941,1.1484,1.5381,mixed
ru,20,1.4862,0.067,1.0279,1.5381,mixed
ru,21,1.4755,0.0789,1.02,1.5381,mixed
sw,10,5.5408,0.2716,-0.226,5.8867,mixed
