language,layer,silhouette_score
en,10,0.7529784202258173
en,11,0.761251571066281
en,12,0.7618325934875898
en,13,0.7659943642391402
en,14,0.7762982696149906
en,15,0.7958540333468802
en,16,0.7961725594075199
en,17,0.8274690842321627
en,18,0.8396053213917746
en,19,0.8468216137962861
en,20,0.8521501315033114
en,21,0.8538379128094564
de,10,0.754058827169286
de,11,0.7613768608979953
de,12,0.7695555292734406
de,13,0.7684402192857721
de,14,0.7853078082601478
de,15,0.7874933974501587
de,16,0.802627385788889
de,17,0.8133969313785445
de,18,0.8348281019373213
de,19,0.8399175453023918
de,20,0.8471578437599158
de,21,0.8439610286761573
fr,10,0.7410954683243379
fr,11,0.7521302493640475
fr,12,0.7521198321936028
fr,13,0.7593110566800334
fr,14,0.7636704786286845
fr,15,0.782260194142718
fr,16,0.7873918701624332
fr,17,0.8113367965117627
fr,18,0.8158340463237845
fr,19,0.8213934807358227
fr,20,0.8240670971591898
fr,21,0.8229468161668988
zh,10,0.7533392223170964
zh,11,0.765985824584502
zh,12,0.7689361178485116
zh,13,0.7744920468523677
zh,14,0.7859602788926203
zh,15,0.8065644478610595
zh,16,0.8042038403934834
zh,17,0.8201167221918154
zh,18,0.8250558354422912
zh,19,0.8328489977782022
zh,20,0.8346706993053693
zh,21,0.8349367119226011
es,10,0.7600992382223253
es,11,0.7667696799478264
es,12,0.7766051707499276
es,13,0.7800662487042631
es,14,0.7842813908310632
es,15,0.8058937990341303
es,16,0.8104445979452352
es,17,0.8308507091535025
es,18,0.8357004408330236
es,19,0.8338672135684786
es,20,0.8395408377780144
es,21,0.8391808507984114
ar,10,0.7757263238751992
ar,11,0.7861665263658487
ar,12,0.7771601533846244
ar,13,0.7769474032539581
ar,14,0.7621809545688002
ar,15,0.7733654910260731
ar,16,0.7626618551917672
ar,17,0.7981588534566355
ar,18,0.8118829487864804
ar,19,0.8288404992048074
ar,20,0.838437365425599
ar,21,0.8449579188052446
ru,10,0.7303064585913462
ru,11,0.7544372200798571
ru,12,0.7765221011908287
ru,13,0.7839510277063916
ru,14,0.7878984705437718
ru,15,0.8122596400528349
ru,16,0.8134477966001983
ru,17,0.8296633256568512
ru,18,0.8409890378238468
ru,19,0.8479108729129825
ru,20,0.8534348662686364
ru,21,0.8446295401577263
ko,10,0.755694282672152
ko,11,0.7591778719680936
ko,12,0.7600295989384511
ko,13,0.7684659207166881
ko,14,0.7718577910938981
ko,15,0.7936636312922859
ko,16,0.7962555858466218
ko,17,0.8190436998160034
ko,18,0.8286177921655483
ko,19,0.8310126181472451
ko,20,0.8343036945572594
ko,21,0.8347756059831514
ja,10,0.7388535313413319
ja,11,0.7483513772655183
ja,12,0.7545939073487508
ja,13,0.7613615125478669
ja,14,0.762636787600074
ja,15,0.7863770753244865
ja,16,0.7916806511451494
ja,17,0.8108411380216006
ja,18,0.81568179149538
ja,19,0.8245772334475743
ja,20,0.8269413060373534
ja,21,0.828966704813844
tr,10,0.7413523879177927
tr,11,0.7438015450343528
tr,12,0.7094597739475278
tr,13,0.7413276398415887
tr,14,0.6907770840571573
tr,15,0.698767014846104
tr,16,0.6722558264441415
tr,17,0.7174339884672273
tr,18,0.7226442272322265
tr,19,0.7428054306121483
tr,20,0.7473156960945723
tr,21,0.7569864091155948
id,10,0.7448349833977685
id,11,0.7510224427722213
id,12,0.7564204831768261
id,13,0.7588047343717189
id,14,0.7712354725804423
id,15,0.7874598275285439
id,16,0.8003985525640847
id,17,0.8299588776443065
id,18,0.8340200778507395
id,19,0.8404823692625397
id,20,0.8396495346542503
id,21,0.8459976600388625
hi,10,0.7449251925801503
hi,11,0.7445908379332812
hi,12,0.7647407941183605
hi,13,0.7632691031605292
hi,14,0.752759638949903
hi,15,0.7636680015808387
hi,16,0.7482700135724197
hi,17,0.7843729346133261
hi,18,0.7835215598096155
hi,19,0.7988360496258764
hi,20,0.8055817427758774
hi,21,0.8103958040335838
sw,10,0.7432061434575804
sw,11,0.7420684381842527
sw,12,0.7410815923773205
sw,13,0.7364449536424749
sw,14,0.7257150654741996
