tier,layer,component,perturbation,mean_restoration,std_restoration
tier_1,0,attn_out,code_switching,-0.0008249999999999924,0.47324999999999995
tier_1,0,attn_out,standard_translation,0.187275,0.2796
tier_1,0,attn_out,transliteration,0.16494999999999999,0.434025
tier_1,0,mlp_out,code_switching,0.0333,0.466825
tier_1,0,mlp_out,standard_translation,1.7901,3.2535000000000003
tier_1,0,mlp_out,transliteration,0.431,1.046225
tier_1,0,residual,code_switching,0.083875,0.443825
tier_1,0,residual,standard_translation,2.000375,3.681475
tier_1,0,residual,transliteration,0.45625000000000004,1.200875
tier_1,1,attn_out,code_switching,0.157875,0.25785
tier_1,1,attn_out,standard_translation,-0.021650000000000003,0.105425
tier_1,1,attn_out,transliteration,0.16667500000000002,0.36124999999999996
tier_1,1,mlp_out,code_switching,0.013549999999999998,0.3014
tier_1,1,mlp_out,standard_translation,0.114325,0.2176
tier_1,1,mlp_out,transliteration,0.1655,0.5073749999999999
tier_1,1,residual,code_switching,0.231025,0.295375
tier_1,1,residual,standard_translation,2.3377000000000003,4.3114
tier_1,1,residual,transliteration,0.5272,1.161725
tier_1,2,attn_out,code_switching,0.00027500000000000094,0.190425
tier_1,2,attn_out,standard_translation,0.001275,0.166225
tier_1,2,attn_out,transliteration,0.05465,0.119075
tier_1,2,mlp_out,code_switching,0.142175,0.257775
tier_1,2,mlp_out,standard_translation,-0.14434999999999998,0.361225
tier_1,2,mlp_out,transliteration,0.074875,0.3054
tier_1,2,residual,code_switching,0.2454,0.3263
tier_1,2,residual,standard_translation,2.204525,4.040875
tier_1,2,residual,transliteration,0.38480000000000003,0.8003
tier_1,3,attn_out,code_switching,-0.011574999999999995,0.276275
tier_1,3,attn_out,standard_translation,-0.086975,0.195375
tier_1,3,attn_out,transliteration,0.06762500000000002,0.24482500000000001
tier_1,3,mlp_out,code_switching,0.015549999999999994,0.184725
tier_1,3,mlp_out,standard_translation,0.14115,0.316175
tier_1,3,mlp_out,transliteration,0.1033,0.186225
tier_1,3,residual,code_switching,0.08710000000000001,0.405525
tier_1,3,residual,standard_translation,2.101825,3.8320250000000002
tier_1,3,residual,transliteration,0.34425,0.719725
tier_1,4,attn_out,code_switching,0.040825,0.08879999999999999
tier_1,4,attn_out,standard_translation,0.03285,0.14114999999999997
tier_1,4,attn_out,transliteration,0.0708,0.154075
tier_1,4,mlp_out,code_switching,0.024575,0.36065
tier_1,4,mlp_out,standard_translation,-0.18177500000000002,0.2953
tier_1,4,mlp_out,transliteration,0.07975,0.2871
tier_1,4,residual,code_switching,0.10665,0.37670000000000003
tier_1,4,residual,standard_translation,1.973775,3.5953000000000004
tier_1,4,residual,transliteration,0.309575,0.673275
tier_1,5,attn_out,code_switching,0.13265,0.2742
tier_1,5,attn_out,standard_translation,0.553425,1.02495
tier_1,5,attn_out,transliteration,-0.0648,0.144175
tier_1,5,mlp_out,code_switching,0.1611,0.30552499999999994
tier_1,5,mlp_out,standard_translation,-0.0121,0.11970000000000001
tier_1,5,mlp_out,transliteration,0.06459999999999999,0.1611
tier_1,5,residual,code_switching,0.157775,0.53615
tier_1,5,residual,standard_translation,1.77325,3.198975
tier_1,5,residual,transliteration,0.14575,0.38677500000000004
tier_1,6,attn_out,code_switching,0.073125,0.17197500000000002
tier_1,6,attn_out,standard_translation,-0.09885000000000001,0.254175
tier_1,6,attn_out,transliteration,0.013349999999999999,0.087
tier_1,6,mlp_out,code_switching,0.1471,0.267125
tier_1,6,mlp_out,standard_translation,0.175325,0.30545
tier_1,6,mlp_out,transliteration,0.031424999999999995,0.1931
tier_1,6,residual,code_switching,0.180875,0.4841
tier_1,6,residual,standard_translation,1.224825,2.097925
tier_1,6,residual,transliteration,0.120075,0.384
tier_1,7,attn_out,code_switching,0.1104,0.18792499999999998
tier_1,7,attn_out,standard_translation,0.1456,0.18842499999999998
tier_1,7,attn_out,transliteration,-0.042025,0.20415
tier_1,7,mlp_out,code_switching,0.0665,0.13954999999999998
