language,layer,category,cv_accuracy,cv_auc,best_C,n_harmful,n_benign
en,0,unknown,0.0,0.0,1.0,384,384
en,0,all,0.0,0.0,1.0,384,384
en,1,unknown,0.0,0.0,1.0,384,384
en,1,all,0.0,0.0,1.0,384,384
en,2,unknown,0.0,0.0,1.0,384,384
en,2,all,0.0,0.0,1.0,384,384
en,3,unknown,0.0,0.0,1.0,384,384
en,3,all,0.0,0.0,1.0,384,384
en,4,unknown,0.0,0.0,1.0,384,384
en,4,all,0.0,0.0,1.0,384,384
en,5,unknown,0.0,0.0,1.0,384,384
en,5,all,0.0,0.0,1.0,384,384
en,6,unknown,0.0,0.0,1.0,384,384
en,6,all,0.0,0.0,1.0,384,384
en,7,unknown,0.0,0.0,1.0,384,384
en,7,all,0.0,0.0,1.0,384,384
en,8,unknown,0.0,0.0,1.0,384,384
en,8,all,0.0,0.0,1.0,384,384
en,9,unknown,0.0,0.0,1.0,384,384
en,9,all,0.0,0.0,1.0,384,384
en,10,unknown,0.0,0.0,1.0,384,384
en,10,all,0.0,0.0,1.0,384,384
en,11,unknown,0.0,0.0,1.0,384,384
en,11,all,0.0,0.0,1.0,384,384
en,12,unknown,0.0,0.0,1.0,384,384
en,12,all,0.0,0.0,1.0,384,384
en,13,unknown,0.0,0.0,1.0,384,384
en,13,all,0.0,0.0,1.0,384,384
en,14,unknown,0.0,0.0,1.0,384,384
en,14,all,0.0,0.0,1.0,384,384
en,15,unknown,0.0,0.0,1.0,384,384
en,15,all,0.0,0.0,1.0,384,384
en,16,unknown,0.0,0.0,1.0,384,384
en,16,all,0.0,0.0,1.0,384,384
en,17,unknown,0.0,0.0,1.0,384,384
en,17,all,0.0,0.0,1.0,384,384
en,18,unknown,0.0,0.0,1.0,384,384
en,18,all,0.0,0.0,1.0,384,384
en,19,unknown,0.0,0.0,1.0,384,384
en,19,all,0.0,0.0,1.0,384,384
en,20,unknown,0.0,0.0,1.0,384,384
en,20,all,0.0,0.0,1.0,384,384
en,21,unknown,0.0,0.0,1.0,384,384
en,21,all,0.0,0.0,1.0,384,384
en,22,unknown,0.0,0.0,1.0,384,384
en,22,all,0.0,0.0,1.0,384,384
en,23,unknown,0.0,0.0,1.0,384,384
